UID,Symbol,Name,Half-lives in LB,Half-lives in M9
B0888,trxB,trxB thioredoxin reductase ,3.5,3.9
B0890,ftsK,ftsK cell division protein ,8.8,4.5
B0891,lolA,lolA periplasmic protein effects translocation of lipoproteins from inner membrane to outer ,3.2,3.1
B0892,ycaJ,ycaJ putative polynucleotide enzyme ,2.2,
B0893,serS,serS serine tRNA synthetase; also charges selenocystein tRNA with serine ,1.6,2.6
B0894,dmsA,dmsA anaerobic dimethyl sulfoxide reductase subunit A ,,
B0895,dmsB,dmsB anaerobic dimethyl sulfoxide reductase subunit B ,,5.9
B0896,dmsC,dmsC anaerobic dimethyl sulfoxide reductase subunit C ,,6.7
B0897,ycaC,"ycaC orf, hypothetical protein ",,
B0898,ycaD,ycaD putative transport ,,5.4
B0899,B0899,B0899 putative transport ,4.7,7.2
B0900,ycaN,ycaN putative transcriptional regulator LYSR-type ,,6.4
B0901,ycaK,"ycaK orf, hypothetical protein ",,5.2
B0902,pflA,pflA pyruvate formate lyase activating enzyme 1 ,2.8,4.3
B0903,pflB,pflB formate acetyltransferase 1 ,5.7,5.8
B0904,focA,focA probable formate transporter (formate channel 1) ,,6
B0905,ycaO,"ycaO orf, hypothetical protein ",3.9,4.9
B0906,ycaP,"ycaP orf, hypothetical protein ",4.4,3.1
B0907,serC,serC 3-phosphoserine aminotransferase ,2.9,2
B0908,aroA,aroA 5-enolpyruvylshikimate-3-phosphate synthetase ,3.4,1.9
B0909,ycaL,ycaL putative heat shock protein ,10.4,3.7
B0910,cmk,cmk cytidylate kinase ,4.1,4.7
B0911,rpsA,rpsA 30S ribosomal subunit protein S1 ,5.1,4.2
B0914,msbA,msbA ATP-binding transport protein; multicopy suppressor of htrB ,3.2,3
B0915,ycaH,ycaH putative EC 1.2 enzyme ,3.8,4
B0916,ycaQ,"ycaQ orf, hypothetical protein ",4.7,4.8
B0917,ycaR,"ycaR orf, hypothetical protein ",3.3,5.3
B0918,kdsB,kdsB CTP:CMP-3-deoxy-D-manno-octulosonate transferase ,4.4,4
B0919,B0919,"B0919 orf, hypothetical protein ",3.5,5.3
B0920,ycbC,"ycbC orf, hypothetical protein ",3.5,7.1
B0921,smtA,smtA S-adenosylmethionine-dependent methyltransferase ,3.1,4.2
B0922,mukF,mukF mukF protein (killing factor KICB) ,3.7,7.7
B0923,mukE,"mukE orf, hypothetical protein ",2.4,3
B0924,mukB,mukB kinesin-like cell division protein involved in chromosome partitioning ,2.6,2.8
B0925,ycbB,ycbB putative amidase ,3.7,4.2
B0926,ycbK,"ycbK orf, hypothetical protein ",2.2,1.6
B0927,ycbL,"ycbL orf, hypothetical protein ",,
B0928,aspC,aspC aspartate aminotransferase ,,4.3
B0929,ompF,ompF outer membrane protein 1a (Ia;b;F) ,,8.5
B0930,asnS,asnS asparagine tRNA synthetase ,1.7,1.7
B0931,pncB,pncB nicotinate phosphoribosyltransferase ,,3
B0932,pepN,pepN aminopeptidase N ,2.3,2.1
B0933,ycbE,ycbE putative ATP-binding component of a transport system ,3.2,5.7
B0934,ycbM,ycbM putative transport system permease protein ,,6.8
B0935,ycbN,"ycbN orf, hypothetical protein ",5,9.8
B0936,ycbO,"ycbO orf, hypothetical protein ",,4.9
B0937,ycbP,"ycbP orf, hypothetical protein ",,6
B0939,ycbR,ycbR putative chaperone ,,7.7
B0940,ycbS,ycbS putative outer membrane protein ,,8.5
B0941,B0941,B0941 homolog of Salmonella FimH protein ,,7.4
B0942,B0942,B0942 putative fimbrial-like protein ,3.6,7.8
B0943,B0943,B0943 putative fimbrial-like protein ,3.6,7.5
B0944,ycbF,ycbF putative chaperone ,,
B0945,pyrD,pyrD dihydro-orotate dehydrogenase ,5,4.7
B0946,ycbW,"ycbW orf, hypothetical protein ",,4.3
B0947,B0947,"B0947 orf, hypothetical protein ",3.9,2.9
B0948,ycbY,ycbY putative oxidoreductase ,2.5,3.7
B0949,uup,uup putative ATP-binding component of a transport system ,1.5,3.3
B0950,pqiA,pqiA paraquat-inducible protein A ,,4.9
B0951,pqiB,pqiB paraquat-inducible protein B ,,6.1
B0952,ymbA,"ymbA orf, hypothetical protein ",8.7,5.4
B0953,rmf,rmf ribosome modulation factor ,,
B0954,fabA,"fabA beta-hydroxydecanoyl thioester dehydrase, trans-2-decenoyl-ACP isomerase ",,3.4
B0956,ycbG,ycbG putative dehydrogenase ,3.6,5.7
B0957,ompA,ompA outer membrane protein 3a (II*;G;d) ,8.8,13.2
B0958,sulA,sulA suppressor of lon; inhibits cell division and ftsZ ring formation ,11.5,4.4
B0959,B0959,"B0959 orf, hypothetical protein ",4.8,6.5
B0960,B0960,"B0960 orf, hypothetical protein ",2.8,3.6
B0961,yccF,"yccF orf, hypothetical protein ",3.3,5.5
B0962,helD,helD DNA helicase IV ,5.8,4.8
B0963,mgsA,mgsA methylglyoxal synthase ,2.2,3.9
B0964,B0964,"B0964 orf, hypothetical protein ",,6.1
B0965,B0965,"B0965 orf, hypothetical protein ",4.7,9.1
B0966,yccV,"yccV orf, hypothetical protein ",6.2,6.7
B0967,B0967,B0967 putative oxidoreductase ,2.5,4.6
B0968,B0968,"B0968 orf, hypothetical protein ",3.8,4
B0969,yccK,yccK putative sulfite reductase (EC 1.8.-.-) ,3.8,7
B0970,yccA,yccA putative carrier/transport protein ,2.3,2.6
B0972,hyaA,hyaA hydrogenase-1 small subunit ,7.2,5.8
B0973,hyaB,hyaB hydrogenase-1 large subunit ,,5.9
B0974,hyaC,hyaC probable Ni/Fe-hydrogenase 1 b-type cytochrome subunit ,5.9,6.5
B0975,hyaD,hyaD processing of HyaA and HyaB proteins ,6.1,12.9
B0976,hyaE,hyaE processing of HyaA and HyaB proteins ,,5.8
B0977,hyaF,hyaF nickel incorporation into hydrogenase-1 proteins ,,4.4
B0978,appC,"appC probable third cytochrome oxidase, subunit I ",,7.3
B0979,appB,"appB probable third cytochrome oxidase, subunit II ",,4
B0980,appA,appA phosphoanhydride phosphorylase; pH 2.5 acid phosphatase; periplasmic ,,
B0981,yccC,"yccC orf, hypothetical protein ",,6.4
B0982,yccY,yccY putative phosphatase ,,6.7
B0983,yccZ,yccZ putative function in exopolysaccharide production ,,8.5
B0984,ymcA,"ymcA orf, hypothetical protein ",,6.1
B0985,ymcB,"ymcB orf, hypothetical protein ",5.1,5.5
B0986,ymcC,ymcC putative regulator ,,6.7
B0987,ymcD,"ymcD orf, hypothetical protein ",7.8,5.1
B0988,insB_4,insB_4 IS1 protein InsB ,,10
B0989,cspH,cspH cold shock-like protein ,6.2,5
B0990,cspG,cspG homolog of Salmonella cold shock protein ,,4.7
B0992,yccM,"yccM orf, hypothetical protein ",7.7,8.9
B0993,torS,torS sensor protein torS (regulator TorR) ,,6.9
B0994,torT,"torT part of regulation of tor operon, periplasmic ",,
B0995,torR,torR response transcriptional regulator for torA (sensor TorS) ,7.1,6.9
B0996,torC,"torC trimethylamine N-oxide reductase, cytochrome c-type subunit ",,
B0997,torA,torA trimethylamine N-oxide reductase subunit ,,6.3
B0998,torD,torD part of trimethylamine-N-oxide oxidoreductase ,4.7,7.5
B0999,yccD,"yccD orf, hypothetical protein ",6.3,3.3
B1000,cbpA,cbpA curved DNA-binding protein; functions closely related to DnaJ ,5.7,2.7
B1001,yccE,"yccE orf, hypothetical protein ",5.1,6
B1002,agp,agp periplasmic glucose-1-phosphatase ,5.4,18.3
B1003,yccJ,"yccJ orf, hypothetical protein ",,13.8
B1004,wrbA,wrbA trp repressor binding protein; affects association of trp repressor and operator ,22.7,8.3
B1005,ycdF,"ycdF orf, hypothetical protein ",7.3,
B1006,ycdG,ycdG putative transport protein ,,7.5
B1007,B1007,"B1007 orf, hypothetical protein ",4.4,6
B1008,B1008,B1008 putative enzyme ,3.7,6.7
B1009,B1009,B1009 putative acetyltransferase ,,11.1
B1010,B1010,"B1010 orf, hypothetical protein ",,6.1
B1011,B1011,B1011 putative synthetase ,,7.1
B1012,B1012,"B1012 orf, hypothetical protein ",4.6,9.8
B1013,ycdC,ycdC putative tet operon regulator ,,5.8
B1014,putA,"putA proline dehydrogenase, P5C dehydrogenase ",,8.1
B1015,putP,putP major sodium/proline symporter ,7.4,4.1
B1016,B1016,"B1016 orf, hypothetical protein ",13.6,3.8
B1017,B1017,B1017 putative cytochrome ,6.2,3.4
B1018,ycdO,"ycdO orf, hypothetical protein ",2.7,2
B1020,phoH,"phoH PhoB-dependent, ATP-binding pho regulon component; may be helicase; induced by P starvation ",,12.6
B1021,ycdP,"ycdP orf, hypothetical protein ",4.2,4
B1022,ycdQ,"ycdQ orf, hypothetical protein ",4.8,6
B1023,ycdR,"ycdR orf, hypothetical protein ",5.1,10
B1024,ycdS,ycdS putative outer membrane protein ,,4
B1025,ycdT,"ycdT orf, hypothetical protein ",4.2,4.8
B1026,tra5_3,tra5_3 IS3 putative transposase ,,
B1027,B1027,"B1027 orf, hypothetical protein ",,4.8
B1028,B1028,"B1028 orf, hypothetical protein ",6.3,6.1
B1029,ycdU,"ycdU orf, hypothetical protein ",,5.2
B1033,ycdW,ycdW putative dehydrogenase ,,3.4
B1034,ycdX,"ycdX orf, hypothetical protein ",,3.4
B1035,ycdY,ycdY putative oxidoreductase component ,4.6,3.4
B1036,ycdZ,"ycdZ orf, hypothetical protein ",4.8,5.6
B1037,csgG,"csgG curli production assembly/transport component, 2nd curli operon ",3.4,3.5
B1038,csgF,"csgF curli production assembly/transport component, 2nd curli operon ",5.5,3.4
B1039,csgE,"csgE curli production assembly/transport component, 2nd curli operon ",,4.5
B1040,csgD,csgD putative 2-component transcriptional regulator for 2nd curli operon ,5.4,4.7
B1041,csgB,"csgB minor curlin subunit precursor, similar ro CsgA ",6.6,
B1042,csgA,"csgA curlin major subunit, coiled surface structures; cryptic ",,
B1043,csgC,csgC putative curli production protein ,,6.9
B1044,B1044,"B1044 orf, hypothetical protein ",5.2,4.9
B1045,B1045,B1045 putative polyprotein ,5.5,3.2
B1046,ymdC,ymdC putative synthase ,5.3,3
B1047,ymdD,"ymdD orf, hypothetical protein ",,3.8
B1048,mdoG,mdoG periplasmic glucans biosynthesis protein ,3.2,2.1
B1049,mdoH,mdoH membrane glycosyltransferase; synthesis of membrane-derived oligosaccharide (MDO) ,3.1,2.8
B1050,yceK,"yceK orf, hypothetical protein ",7.4,5.7
B1051,msyB,msyB acidic protein suppresses mutants lacking function of protein export ,,6.9
B1052,B1052,"B1052 orf, hypothetical protein ",,8
B1053,yceE,yceE putative transport protein ,,6.7
B1054,htrB,htrB heat shock protein ,4.1,6.2
B1055,yceA,"yceA orf, hypothetical protein ",3.2,2.5
B1056,yceI,"yceI orf, hypothetical protein ",,7.7
B1057,B1057,B1057 putative cytochrome ,,4.7
B1058,yceO,"yceO orf, hypothetical protein ",12.2,4.2
B1059,solA,solA sarcosine oxidase-like protein ,7.8,4
B1060,yceP,"yceP orf, hypothetical protein ",5.6,7.5
B1061,dinI,dinI damage-inducible protein I ,,4.4
B1062,pyrC,pyrC dihydro-orotase ,,6.9
B1063,yceB,"yceB orf, hypothetical protein ",,3.2
B1064,grxB,grxB glutaredoxin 2 ,,
B1065,yceL,"yceL orf, hypothetical protein ",,6.8
B1066,rimJ,rimJ acetylation of N-terminal alanine of 30S ribosomal subunit protein S5 ,,2.9
B1067,yceH,"yceH orf, hypothetical protein ",5,5.3
B1068,mviM,mviM putative virulence factor ,4,5.2
B1069,mviN,mviN putative virulence factor ,4.2,5
B1070,flgN,flgN protein of flagellar biosynthesis ,4.2,5.6
B1071,flgM,flgM anti-FliA (anti-sigma) factor; also known as RflB protein ,,6.4
B1072,flgA,flgA flagellar biosynthesis; assembly of basal-body periplasmic P ring ,9.7,6.5
B1073,flgB,"flgB flagellar biosynthesis, cell-proximal portion of basal-body rod ",4.8,8.3
B1074,flgC,"flgC flagellar biosynthesis, cell-proximal portion of basal-body rod ",4.5,7.2
B1075,flgD,"flgD flagellar biosynthesis, initiation of hook assembly ",5.8,9.8
B1076,flgE,"flgE flagellar biosynthesis, hook protein ",5.3,4.1
B1077,flgF,"flgF flagellar biosynthesis, cell-proximal portion of basal-body rod ",7.8,7.3
B1078,flgG,"flgG flagellar biosynthesis, cell-distal portion of basal-body rod ",,4.8
B1079,flgH,"flgH flagellar biosynthesis, basal-body outer-membrane L (lipopolysaccharide layer) ring protein ",4.8,6.3
B1080,flgI,flgI homolog of Salmonella P-ring of flagella basal body ,4,7.6
B1081,flgJ,flgJ flagellar biosynthesis ,,5.5
B1082,flgK,"flgK flagellar biosynthesis, hook-filament junction protein 1 ",,6
B1083,flgL,flgL flagellar biosynthesis; hook-filament junction protein ,,7
B1085,B1085,"B1085 orf, hypothetical protein ",,4.9
B1086,yceC,"yceC orf, hypothetical protein ",3.4,5.2
B1087,yceF,"yceF orf, hypothetical protein ",3.7,3.1
B1088,yceD,"yceD orf, hypothetical protein ",5.3,7.1
B1089,rpmF,rpmF 50S ribosomal subunit protein L32 ,,5.5
B1090,plsX,plsX glycerolphosphate auxotrophy in plsB background ,,3.4
B1091,fabH,fabH 3-oxoacyl-[acyl-carrier-protein] synthase III; acetylCoA ACP transacylase ,2.4,2.4
B1092,fabD,fabD malonyl-CoA-[acyl-carrier-protein] transacylase ,2.3,2.9
B1093,fabG,fabG 3-oxoacyl-[acyl-carrier-protein] reductase ,5.7,5.4
B1094,acpP,acpP acyl carrier protein ,4.4,7
B1097,yceG,yceG putative thymidylate kinase (EC 2.7.4.9) ,,2.6
B1098,tmk,tmk thymidylate kinase ,2.9,3.9
B1099,holB,"holB DNA polymerase III, delta prime subunit ",2.8,2.9
B1100,ycfH,"ycfH orf, hypothetical protein ",,4.8
B1101,ptsG,"ptsG PTS system, glucose-specific IIBC component ",,5.4
B1102,fhuE,fhuE outer membrane receptor for ferric iron uptake ,,1.9
B1103,ycfF,"ycfF orf, hypothetical protein ",9.3,4.7
B1104,ycfL,"ycfL orf, hypothetical protein ",,4.8
B1105,ycfM,"ycfM orf, hypothetical protein ",,3.9
B1106,ycfN,ycfN putative beta-glucosidase (EC 3.2.1.21) ,,5.4
B1107,ycfO,"ycfO orf, hypothetical protein ",4.3,3
B1108,ycfP,"ycfP orf, hypothetical protein ",,4.4
B1109,ndh,ndh respiratory NADH dehydrogenase ,2.7,3.3
B1110,ycfJ,"ycfJ orf, hypothetical protein ",4.5,5.2
B1111,ycfQ,"ycfQ orf, hypothetical protein ",8.4,4.2
B1112,ycfR,"ycfR orf, hypothetical protein ",5.9,5
B1113,ycfS,"ycfS orf, hypothetical protein ",,5
B1114,mfd,mfd transcription-repair coupling factor; mutation frequency decline ,2.1,2.6
B1115,ycfT,"ycfT orf, hypothetical protein ",,6.8
B1116,ycfU,"ycfU orf, hypothetical protein ",6,4.3
B1117,ycfV,ycfV putative ATP-binding component of a transport system ,,8.2
B1118,ycfW,ycfW putative kinase ,7.5,4.2
B1119,ycfX,ycfX putative NAGC-like transcriptional regulator ,2.7,3.9
B1120,cobB,"cobB putative nicotinic acid mononucleotide:5,6-dimethylbenzimidazole (DMB) phosphoribosyltransferase ",3.1,4.4
B1121,B1121,B1121 homolog of virulence factor ,,5
B1122,ymfA,"ymfA orf, hypothetical protein ",,7
B1123,potD,potD spermidine/putrescine periplasmic transport protein ,,
B1124,potC,potC spermidine/putrescine transport system permease ,2.8,6.5
B1125,potB,potB spermidine/putrescine transport system permease ,2.5,4.9
B1126,potA,potA ATP-binding component of spermidine/putrescine transport ,2.6,4.4
B1127,pepT,pepT putative peptidase T ,,4.8
B1128,ycfD,"ycfD orf, hypothetical protein ",3.1,2.5
B1129,phoQ,phoQ sensor protein PhoQ ,,10.5
B1130,phoP,phoP transcriptional regulatory protein ,,3.3
B1131,purB,purB adenylosuccinate lyase ,2.9,3.6
B1132,ycfC,"ycfC orf, hypothetical protein ",3.7,2.5
B1133,ycfB,"ycfB orf, hypothetical protein ",,5.1
B1134,B1134,B1134 putative phosphohydrolase ,,4.6
B1135,ymfC,"ymfC orf, hypothetical protein ",8.4,4.8
B1136,icdA,"icdA isocitrate dehydrogenase, specific for NADP+ ",6.9,5.1
B1137,ymfD,"ymfD orf, hypothetical protein ",5.5,5.5
B1138,ymfE,"ymfE orf, hypothetical protein ",6.9,6.2
B1139,lit,lit phage T4 late gene expression; at locus of e14 element ,8.1,8.1
B1140,intE,intE prophage e14 integrase ,,8.5
B1141,B1141,"B1141 orf, hypothetical protein ",,7.9
B1142,ymfH,"ymfH orf, hypothetical protein ",,5.3
B1143,ymfI,"ymfI orf, hypothetical protein ",,5.7
B1144,ymfJ,"ymfJ orf, hypothetical protein ",,4.7
B1145,B1145,B1145 putative phage repressor ,6.1,5.5
B1146,B1146,"B1146 orf, hypothetical protein ",6.1,7.2
B1147,ymfL,"ymfL orf, hypothetical protein ",,7.2
B1148,ymfM,"ymfM orf, hypothetical protein ",,6.5
B1149,ymfN,"ymfN orf, hypothetical protein ",,6.6
B1150,ymfR,"ymfR orf, hypothetical protein ",,7.4
B1151,ymfO,"ymfO orf, hypothetical protein ",,7
B1152,B1152,"B1152 orf, hypothetical protein ",5,
B1153,B1153,"B1153 orf, hypothetical protein ",6.4,6.8
B1154,ycfK,"ycfK orf, hypothetical protein ",7.4,8.5
B1155,B1155,"B1155 orf, hypothetical protein ",,6.3
B1156,ycfA,"ycfA orf, hypothetical protein ",,8.6
B1157,B1157,B1157 putative tail fiber protein ,,9.5
B1158,pin,pin inversion of adjacent DNA; at locus of e14 element ,4.4,8.9
B1159,mcrA,mcrA restriction of DNA at 5-methylcytosine residues; at locus of e14 element ,,
B1161,ycgX,"ycgX orf, hypothetical protein ",,5.8
B1162,ycgE,ycgE putative transcriptional regulator ,,2.5
B1163,B1163,"B1163 orf, hypothetical protein ",,2.3
B1164,ycgZ,"ycgZ orf, hypothetical protein ",7,5.2
B1165,ymgA,"ymgA orf, hypothetical protein ",,6
B1166,ymgB,"ymgB orf, hypothetical protein ",6.8,6.7
B1167,ymgC,"ymgC orf, hypothetical protein ",,6.9
B1168,B1168,B1168 putative proteases ,7,10.5
B1169,B1169,B1169 putative ATP-binding component of a transport system ,,8.2
B1170,B1170,B1170 putative part of putative ATP-binding component of a transport system ,,9.6
B1171,B1171,"B1171 orf, hypothetical protein ",,6.3
B1172,B1172,"B1172 orf, hypothetical protein ",7.3,6.3
B1173,B1173,"B1173 orf, hypothetical protein ",4.5,5.2
B1174,minE,"minE cell division topological specificity factor, reverses MinC inhibition of ftsZ ring formation ",4.6,3.4
B1175,minD,"minD cell division inhibitor, a membrane ATPase, activates minC ",2.1,1.7
B1176,minC,"minC cell division inhibitor, inhibits ftsZ ring formation ",2.8,2.2
B1177,ycgJ,"ycgJ orf, hypothetical protein ",,5.7
B1178,ycgK,"ycgK orf, hypothetical protein ",5.5,8.6
B1179,ycgL,"ycgL orf, hypothetical protein ",,
B1180,B1180,B1180 putative isomerase ,,4.3
B1181,ycgN,"ycgN orf, hypothetical protein ",7.7,5.2
B1183,umuD,umuD SOS mutagenesis; error-prone repair; processed to UmuD'; forms complex with UmuC ,,6.3
B1184,umuC,umuC SOS mutagenesis and repair ,8.2,8.5
B1185,dsbB,dsbB reoxidizes DsbA protein following formation of disulfide bond in P-ring of flagella. ,9.3,4.4
B1186,nhaB,"nhaB Na+/H+ antiporter, pH independent ",3.2,5.6
B1187,fadR,"fadR negative regulator for fad regulon, and positive activator of fabA ",2.1,3.8
B1188,ycgB,ycgB putative sporulation protein ,,2.5
B1189,dadA,dadA D-amino acid dehydrogenase subunit ,4.5,2.8
B1190,dadX,"dadX alanine racemase 2, catabolic ",3.6,2.5
B1191,B1191,"B1191 orf, hypothetical protein ",,6
B1192,B1192,"B1192 orf, hypothetical protein ",,5.5
B1193,mltE,mltE murein transglycosylase E ,4.7,3
B1194,ycgR,"ycgR orf, hypothetical protein ",4.3,5.9
B1195,ymgE,"ymgE orf, hypothetical protein ",6.7,6.2
B1196,ycgY,"ycgY orf, hypothetical protein ",6.5,10.9
B1197,treA,"treA trehalase, periplasmic ",6.6,3.6
B1198,ycgC,ycgC putative PTS system enzyme I ,5.9,2.9
B1199,B1199,B1199 putative dihydroxyacetone kinase (EC 2.7.1.2) ,5.8,4.1
B1200,B1200,B1200 putative dihydroxyacetone kinase (EC 2.7.1.2) ,,4.1
B1201,B1201,B1201 putative sensor-type regulator ,,3.7
B1202,B1202,B1202 putative adhesion and penetration protein ,,5.8
B1203,ychF,ychF putative GTP-binding protein ,2,2.7
B1204,pth,pth peptidyl-tRNA hydrolase ,,4
B1205,ychH,"ychH orf, hypothetical protein ",7.1,6.2
B1206,ychM,"ychM orf, hypothetical protein ",,5.4
B1208,ychB,"ychB orf, hypothetical protein ",4.4,4.3
B1210,hemA,hemA enzyme in alternate path of synthesis of 5-aminolevulinate ,6.9,9.5
B1211,prfA,prfA peptide chain release factor RF-1 ,2.7,3.5
B1212,hemK,hemK possible protoporphyrinogen oxidase ,,5
B1213,B1213,"B1213 orf, hypothetical protein ",7.3,5.4
B1214,ychA,"ychA orf, hypothetical protein ",4,4.5
B1215,kdsA,kdsA 2-dehydro-3-deoxyphosphooctulonate aldolase ,2.6,4
B1216,chaA,chaA sodium-calcium/proton antiporter ,,5.4
B1217,chaB,chaB cation transport regulator ,6.4,6.2
B1218,chaC,chaC cation transport regulator ,,5.6
B1219,ychN,"ychN orf, hypothetical protein ",,5.8
B1220,ychP,ychP putative factor ,,4.6
B1221,narL,"narL pleiotrophic regulation of anaerobic respiration: response regulator for nar, frd, dms and tor genes ",6.2,4.3
B1222,narX,"narX nitrate/nitrate sensor, histidine protein kinase acts on NarL regulator ",,8.7
B1223,narK,narK nitrite extrusion protein ,,6.1
B1224,narG,"narG nitrate reductase 1, alpha subunit ",,9.6
B1225,narH,"narH nitrate reductase 1, beta subunit ",,6
B1226,narJ,"narJ nitrate reductase 1, delta subunit, assembly function ",,5.5
B1227,narI,"narI nitrate reductase 1, cytochrome b(NR), gamma subunit ",,5.7
B1228,B1228,"B1228 orf, hypothetical protein ",,7.1
B1229,tpr,tpr a protaminelike protein ,,4.5
B1232,purU,purU formyltetrahydrofolate deformylase; for purT-dependent FGAR synthesis ,3,2.9
B1233,ychJ,"ychJ orf, hypothetical protein ",3.8,4.3
B1234,ychK,"ychK orf, hypothetical protein ",5.4,3.7
B1235,hnr,hnr Hnr protein ,,2.4
B1236,galU,galU glucose-1-phosphate uridylyltransferase ,3.6,4.9
B1237,hns,"hns DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator ",8.4,3.4
B1238,tdk,tdk thymidine kinase ,3.6,5.2
B1239,ychG,"ychG orf, hypothetical protein ",4,7.7
B1240,B1240,"B1240 orf, hypothetical protein ",,9.1
B1241,adhE,adhE CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase ,,6.2
B1243,oppA,oppA oligopeptide transport; periplasmic binding protein ,5.2,9.3
B1244,oppB,oppB oligopeptide transport permease protein ,3.7,2.9
B1245,oppC,oppC homolog of Salmonella oligopeptide transport permease protein ,3.1,3.3
B1246,oppD,oppD homolog of Salmonella ATP-binding protein of oligopeptide ABC transport system ,2.5,3.3
B1247,oppF,oppF homolog of Salmonella ATP-binding protein of oligopeptide ABC transport system ,3.4,4.4
B1248,B1248,"B1248 orf, hypothetical protein ",2.8,3.6
B1249,cls,"cls cardiolipin synthase, a major membrane phospholipid; novobiocin sensitivity ",,4.1
B1250,kch,kch putative potassium channel protein ,6.5,4.7
B1251,yciI,"yciI orf, hypothetical protein ",,6
B1252,tonB,"tonB energy transducer; uptake of iron, cyanocobalimin; sensitivity to phages, colicins ",,3.7
B1253,yciA,"yciA orf, hypothetical protein ",4.5,6.3
B1254,yciB,"yciB orf, hypothetical protein ",5.2,5.4
B1255,yciC,"yciC orf, hypothetical protein ",3.7,4.1
B1256,yciD,yciD putative outer membrane protein ,6.9,9.3
B1257,yciE,"yciE orf, hypothetical protein ",6.1,
B1258,yciF,yciF putative structural proteins ,7.3,16.8
B1259,yciG,"yciG orf, hypothetical protein ",,
B1260,trpA,"trpA tryptophan synthase, alpha protein ",5.8,
B1261,trpB,"trpB tryptophan synthase, beta protein ",5.6,2.7
B1262,trpC,trpC N-(5-phosphoribosyl)anthranilate isomerase and indole-3-glycerolphosphate synthetase ,4.9,2.2
B1263,trpD,"trpD anthranilate synthase component II, glutamine amidotransferase and phosphoribosylanthranilate transferase ",,1.9
B1264,trpE,trpE anthranilate synthase component I ,,2.1
B1265,trpL,trpL trp operon leader peptide ,,4.6
B1266,yciV,yciV putative enzymes ,,3.8
B1267,yciO,"yciO orf, hypothetical protein ",,3.4
B1268,yciQ,"yciQ orf, hypothetical protein ",12.6,
B1269,yciL,"yciL orf, hypothetical protein ",3.5,4.4
B1270,BtuR,BtuR cob(I)alamin adenolsyltransferase ,2.9,3.3
B1271,yciK,yciK putative oxidoreductase ,9.4,3.9
B1272,sohB,sohB putative protease ,,4.4
B1273,yciN,"yciN orf, hypothetical protein ",4.9,5.3
B1274,topA,"topA DNA topoisomerase type I, omega protein ",2.7,3
B1275,cysB,cysB positive transcriptional regulator for cysteine regulon ,3.4,3.2
B1276,acnA,acnA aconitate hydrase 1 ,,2.7
B1277,ribA,ribA GTP cyclohydrolase II ,2.7,2.8
B1278,pgpB,"pgpB non-essential phosphatidylglycerophosphate phosphatase, membrane bound ",3.8,9.1
B1279,yciS,"yciS orf, hypothetical protein ",6.7,6.3
B1280,yciM,yciM putative heat shock protein ,5.1,4.1
B1281,pyrF,pyrF orotidine-5'-phosphate decarboxylase ,3.7,5.7
B1282,yciH,"yciH orf, hypothetical protein ",,8.3
B1283,osmB,osmB osmotically inducible lipoprotein ,,9.8
B1284,B1284,B1284 putative DEOR-type transcriptional regulator ,4,4.2
B1285,yciR,"yciR orf, hypothetical protein ",6.3,4.4
B1286,rnb,"rnb RNase II, mRNA degradation ",1.7,2.2
B1287,yciW,yciW putative oxidoreductase ,2.4,4.2
B1288,fabI,fabI enoyl-[acyl-carrier-protein] reductase (NADH) ,5.2,7.4
B1289,ycjD,"ycjD orf, hypothetical protein ",,6.7
B1290,sapF,sapF putative ATP-binding protein of peptide transport system ,3.1,4.5
B1291,sapD,sapD putative ATP-binding protein of peptide transport system ,2.5,6.1
B1292,sapC,sapC homolog of Salmonella peptide transport permease protein ,,6.9
B1293,sapB,sapB homolog of Salmonella peptide transport permease protein ,3.9,5.4
B1294,sapA,sapA homolog of Salmonella peptide transport periplasmic protein ,4.9,3.6
B1295,ymjA,"ymjA orf, hypothetical protein ",5.2,5.6
B1296,ycjJ,ycjJ putative amino acid/amine transport protein ,,5.4
B1297,B1297,B1297 putative glutamine synthetase (EC 6.3.1.2) ,,4.5
B1298,ycjL,ycjL probable amidotransferase subunit ,,8.1
B1299,ycjC,"ycjC orf, hypothetical protein ",5.5,4
B1300,aldH,"aldH aldehyde dehydrogenase, prefers NADP over NAD ",,7.2
B1301,ordL,ordL probable oxidoreductase ,5.1,18
B1302,goaG,goaG 4-aminobutyrate aminotransferase ,,9
B1303,pspF,pspF psp operon transcriptional activator ,6.3,8.8
B1304,pspA,"pspA phage shock protein, inner membrane protein ",8.7,8.9
B1305,pspB,pspB phage shock protein ,7.1,15.6
B1306,pspC,pspC phage shock protein: activates phage shock-protein expression ,7.1,4.3
B1307,pspD,pspD phage shock protein ,11,5.6
B1308,pspE,pspE phage shock protein ,10.6,4.7
B1309,ycjM,ycjM putative polysaccharide hydrolase ,,4.7
B1310,B1310,B1310 putative transport periplasmic protein ,7.4,11.5
B1311,ycjO,ycjO putative binding-protein dependent transport protein ,5.4,7
B1312,ycjP,ycjP putative transport system permease protein ,,
B1313,ycjQ,ycjQ putative oxidoreductase ,6.4,4.2
B1314,B1314,B1314 putative transient receptor potential locus ,,7
