D-allose ABC transporter - ATP binding subunit	YJCW-MONOMER					(alsA)	(EG11959)	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
D-allose ABC transporter - membrane subunit	YJCV-MONOMER					(alsC)	(EG11958)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
D-allose ABC transporter - periplasmic binding protein	YJCX-MONOMER					(alsB)	(EG12458)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC) (membrane, CCO-MEMBRANE))
D-allose kinase	EG11956-MONOMER					(alsK)	(EG11956)	
D-altronate dehydratase	ALTRODEHYDRAT-MONOMER					(uxaA)	(EG12734)	
D-amino acid dehydrogenase	DALADEHYDROGA-MONOMER					(dadA)	(EG11407)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
D-amino acid dehydrogenase	DALADEHYDROG-CPLX							((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
D-arabinose 5-phosphate isomerase	EG10973-MONOMER					(gutQ)	(EG10973)	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
D-arabinose 5-phosphate isomerase	G7662-MONOMER					(kdsD)	(G7662)	
D-arabinose 5-phosphate isomerase	CPLX0-1262							
D-arabinose 5-phosphate isomerase	CPLX0-3929							
D-cysteine desulfhydrase monomer	DCYSDESULF-MONOMER					(dcyD)	(G7038)	((cytosol, CCO-CYTOSOL))
D-cysteine desulfhydrase, PLP-dependent / 3-chloro-D-alanine dehydrochlorinase	DCYSDESULF-CPLX							
D-galactonate dehydratase	GALACTONATE-DEHYDRATASE-MONOMER					(dgoD)	(GB4478)	
D-galactono-&gamma;-lactonase / gluconolactonase	GLUCONOLACT-MONOMER							
D-galactose 1-dehydrogenase	MONOMER0-4223					(dgd)	(G26)	
D-gluconate kinase, thermosensitive	GLUCONOKINI-MONOMER					(idnK)	(EG12152)	
D-gluconate kinase, thermostable	GLUCONOKINII-CPLX							
D-glucuronate isomerase / D-galacturonate isomerase	UXAC-MONOMER					(uxaC)	(G81)	
D-lactate dehydrogenase	DLACTDEHYDROGFAD-MONOMER					(dld)	(EG10231)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
D-lactate dehydrogenase - fermentative	DLACTDEHYDROGNAD-MONOMER					(ldhA)	(G592)	
D-malate dehydrogenase (decarboxylating)	G6986-MONOMER					(dmlA)	(G6986)	((cytosol, CCO-CYTOSOL))
D-mannonate dehydratase	MANNONDEHYDRAT-MONOMER					(uxuA)	(EG11066)	
D-mannonate oxidoreductase	MANNONOXIDOREDUCT-MONOMER					(uxuB)	(EG20248)	
D-sedoheptulose 7-phosphate isomerase	G6106-MONOMER					(lpcA)	(G6106)	((cytosol, CCO-CYTOSOL))
D-sedoheptulose 7-phosphate isomerase	CPLX0-7660							
D-serine ammonia-lyase	DSERDEAM-MONOMER					(dsdA)	(EG10249)	((cytosol, CCO-CYTOSOL))
D-serine transporter	DSDX-MONOMER					(dsdX)	(EG10250)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
D-Tyr-tRNA<sup>Tyr</sup> deacylase	EG11852-MONOMER					(dtd)	(EG11852)	((cytosol, CCO-CYTOSOL))
D-Tyr-tRNA<sup>Tyr</sup> deacylase	CPLX0-3581							
D,D-heptose 1,7-bisphosphate phosphatase	EG11736-MONOMER					(gmhB)	(EG11736)	((cytosol, CCO-CYTOSOL))
DadX	ALARACECAT-MONOMER					(dadX)	(EG11408)	
damage-inducible protein	MONOMER0-1941					(dinQ)	(G0-9981)	((membrane, CCO-MEMBRANE))
Dan	MONOMER0-4119	(Dan)	(EG12694-MONOMER)			(ttdR)	(EG12694)	
Dan	EG12694-MONOMER			(Dan)	(MONOMER0-4119)	(ttdR)	(EG12694)	
Dan-L-tartrate DNA-binding transcriptional activator	CPLX0-8048							
DapA	DIHYDRODIPICSYN-MONOMER					(dapA)	(EG10205)	((cytosol, CCO-CYTOSOL))
DapB	DIHYDROPICRED-MONOMER					(dapB)	(EG10206)	((cytosol, CCO-CYTOSOL))
Dcd	DCTP-DEAM-MONOMER					(dcd)	(EG11418)	
dCMP phosphohydrolase	G7185-MONOMER					(yfbR)	(G7185)	((cytosol, CCO-CYTOSOL))
dCMP phosphohydrolase	CPLX0-7625							
dCTP deaminase	DCTP-DEAM-CPLX							
DcuR	PHOSPHO-DCUR-MONOMER	(DcuR transcriptional activator)	(DCUR-MONOMER)			(dcuR)	(G7826)	
DcuR transcriptional activator	DCUR-MONOMER			(DcuR)	(PHOSPHO-DCUR-MONOMER)	(dcuR)	(G7826)	((cytosol, CCO-CYTOSOL))
DcuR-Phosphorylated DNA-binding transcriptional activator	CPLX0-7721							((cytosol, CCO-CYTOSOL))
DcuS sensory histidine kinase	DCUS-MONOMER			(DcuS sensory histidine kinase - phosphorylated)	(PHOSPHO-DCUS-MONOMER)	(dcuS)	(G7827)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DcuS sensory histidine kinase - phosphorylated	PHOSPHO-DCUS-MONOMER	(DcuS sensory histidine kinase)	(DCUS-MONOMER)			(dcuS)	(G7827)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DD-carboxypeptidase, penicillin-binding protein 6b	RPOA-MONOMER					(dacD)	(EG11893)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DD-endopeptidase / DD-carboxypeptidase	EG12867-MONOMER					(ampH)	(EG12867)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DeaD, DEAD-box RNA helicase	EG10215-MONOMER					(deaD)	(EG10215)	((cytosol, CCO-CYTOSOL))
DegP	EG10463-MONOMER					(degP)	(EG10463)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
degradosome	CPLX0-2381							((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DegS serine endoprotease	EG11652-MONOMER					(degS)	(EG11652)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
DeoA	DEOA-MONOMER					(deoA)	(EG10219)	((membrane, CCO-MEMBRANE))
DeoR DNA-binding transcriptional repressor	PD01196					(deoR)	(EG10223)	((cytosol, CCO-CYTOSOL))
deoxyguanosine triphosphate triphosphohydrolase	DGTPTRIPHYDRO-MONOMER					(dgt)	(EG10225)	((cytosol, CCO-CYTOSOL))
deoxyguanosine triphosphate triphosphohydrolase	DGTPTRIPHYDRO-CPLX							
deoxyribodipyrimidine photolyase (photoreactivation)	EG10736-MONOMER					(phr)	(EG10736)	((cytosol, CCO-CYTOSOL))
deoxyribose-phosphate aldolase	DEOXYRIBOSE-P-ALD-MONOMER					(deoC)	(EG10221)	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
deoxyuridine triphosphatase	DUTP-PYROP-CPLX							
dephospho-CoA kinase	EG12312-MONOMER					(coaE)	(EG12312)	((cytosol, CCO-CYTOSOL))
dethiobiotin synthetase	DETHIOBIOTIN-SYN-CPLX							
dethiobiotin synthetase monomer	DETHIOBIOTIN-SYN-MONOMER					(bioD)	(EG10120)	((cytosol, CCO-CYTOSOL))
deubiquitinase	G7176-MONOMER					(elaD)	(G7176)	
Dfp	EG10004-MONOMER					(dfp)	(EG10004)	((cytosol, CCO-CYTOSOL))
DgkA	DIACYLGLYKIN-MONOMER					(dgkA)	(EG10224)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DgsA-EII	CPLX0-8059							
DhaR DNA-binding transcriptional dual regulator	G6628-MONOMER					(dhaR)	(G6628)	
diacylglycerol kinase	DIACYLGLYKIN-CPLX							
diadenosine tetraphosphatase	EG10048-MONOMER					(apaH)	(EG10048)	((cytosol, CCO-CYTOSOL))
diaminopimelate decarboxylase	DIAMINOPIMDECARB-CPLX							
diaminopimelate epimerase	DIAMINOPIMEPIM-MONOMER					(dapF)	(EG10209)	((cytosol, CCO-CYTOSOL))
DicA DNA-binding transcriptional dual regulator	EG10226-MONOMER					(dicA)	(EG10226)	
dicarboxylate transporter DcuA	DCUA-MONOMER					(dcuA)	(EG11225)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dicarboxylate transporter DcuB	DCUB-MONOMER					(dcuB)	(EG10006)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dicarboxylate transporter DcuC	DCUC-MONOMER					(dcuC)	(G6347)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
diguanylate cyclase	G6784-MONOMER					(dosC)	(G6784)	
diguanylate cyclase	G6980-MONOMER					(yeaP)	(G6980)	
diguanylate cyclase	G6532-MONOMER					(ycdT)	(G6532)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
diguanylate cyclase	EG11643-MONOMER					(ydeH)	(EG11643)	
diguanylate cyclase	CPLX0-7802							
diguanylate cyclase, transcriptional modulator	G6673-MONOMER					(ydaM)	(G6673)	
dihydrofolate reductase	DIHYDROFOLATEREDUCT-MONOMER					(folA)	(EG10326)	
dihydrolipoyltranssuccinylase	E2O							
dihydromonapterin reductase / dihydrofolate reductase	G6862-MONOMER					(folM)	(G6862)	
dihydroneopterin aldolase	H2NEOPTERINALDOL-MONOMER					(folB)	(EG11673)	
dihydroneopterin aldolase	CPLX0-3936							
dihydroneopterin monophosphate dephosphorylase	DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER							
dihydroneopterin triphosphate 2'-epimerase	FOLXTET-CPLX							
dihydroneopterin triphosphate 2'-epimerase monomer	H2NTPEPIM-MONOMER					(folX)	(G7195)	
dihydroneopterin triphosphate pyrophosphohydrolase	H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER					(nudB)	(EG11138)	
dihydroorotase	DIHYDROOROT-CPLX							
dihydroorotate dehydrogenase, type 2	DIHYDROOROTOX-MONOMER					(pyrD)	(EG10807)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dihydropteroate synthase	H2PTEROATESYNTH-CPLX							
dihydroxy acid dehydratase	DIHYDROXYACIDDEHYDRAT-CPLX							
dihydroxyacetone kinase	CPLX0-2081							((cytosol, CCO-CYTOSOL))
dihydroxyacetone kinase subunit K	G6627-MONOMER					(dhaK)	(G6627)	((cytosol, CCO-CYTOSOL))
dihydroxyacetone kinase subunit L	MONOMER0-1261					(dhaL)	(G6626)	
dihydroxyacetone kinase subunit M	EG12399-MONOMER					(dhaM)	(EG12399)	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
dimer of large subunit of nitrite reductase	NIRB-CPLX							
dimer of topoisomerase IV subunit A	CPLX0-2423							
dimethyl sulfoxide reductase	DIMESULFREDUCT-CPLX							((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (cytosol, CCO-CYTOSOL))
dimethyl sulfoxide reductase, chain A	DMSA-MONOMER					(dmsA)	(EG10232)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dimethyl sulfoxide reductase, chain B	DMSB-MONOMER					(dmsB)	(EG10233)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dimethyl sulfoxide reductase, chain C	DMSC-MONOMER					(dmsC)	(EG10234)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DinF MATE Transporter	DINF-MONOMER					(dinF)	(EG11491)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DinJ antitoxin of YafQ-DinJ toxin-antitoxin system and DNA-binding transcriptional repressor	G6110-MONOMER					(dinJ)	(G6110)	
DinJ-YafQ antitoxin/toxin complex and DNA-binding transcriptional repressor	CPLX0-7787							
dipeptide / tripeptide:H<sup>+</sup> symporter DtpB	YHIP-MONOMER					(dtpB)	(EG12232)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dipeptide ABC transporter	ABC-8-CPLX							
dipeptide ABC transporter - periplasmic binding protein	DPPA-MONOMER					(dppA)	(EG10248)	((membrane, CCO-MEMBRANE) (periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
dipeptide ABC transporter - putative ABC binding subunit	DPPF-MONOMER					(dppF)	(EG12628)	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dipeptide ABC transporter - putative ATP binding subunit	DPPD-MONOMER					(dppD)	(EG12627)	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dipeptide ABC transporter - putative membrane subunit	DPPC-MONOMER					(dppC)	(EG12626)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dipeptide ABC transporter - putative membrane subunit	DPPB-MONOMER					(dppB)	(EG12625)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dipeptide:H<sup>+</sup> symporter DtpD	B0709-MONOMER					(dtpD)	(G6378)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dipeptide:H<sup>+</sup> symporter YjdL	YJDL-MONOMER					(yjdL)	(EG12469)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dipeptidyl carboxypeptidase II	EG10212-MONOMER					(dcp)	(EG10212)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC) (cytosol, CCO-CYTOSOL))
disulfide bond reductase	G7194-MONOMER					(yfcG)	(G7194)	
disulfide oxidoreductase DsbD	DSBD-MONOMER			(DsbD<SUB>oxidized</SUB>)	(DSBDOXI-MONOMER)	(dipZ)	(EG12178)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
disulfide reductase	CPLX0-7806							
disulfide reductase / organic hydroperoxide reductase	G7553-MONOMER					(yghU)	(G7553)	
disulfide reductase / organic hydroperoxide reductase	CPLX0-7917							
dITP/XTP pyrophosphatase	CPLX0-7826							
DksA-ppGpp	CPLX0-8070							
DLP12 prophage, conserved protein similar to phage 82 and lambda proteins	G6304-MONOMER					(ninE)	(G6304)	
DLP12 prophage; DNA base-flipping protein	G6303-MONOMER					(ybcN)	(G6303)	
DLP12 prophage; DNA packaging protein	EG11635-MONOMER					(nohB)	(EG11635)	
DLP12 prophage; hypothetical protein	MONOMER0-2813					(ylcH)	(G0-10584)	
DLP12 prophage; IS3 element protein InsE	MONOMER0-4243					(insE-3)	(G6296)	
DLP12 prophage; IS5 transposase and trans-activator	MONOMER0-4234					(insH-2)	(G6308)	
DLP12 prophage; lysozyme	G6310-MONOMER					(rrrD)	(G6310)	
DLP12 prophage; periplasmic protein	G6301-MONOMER					(ybcL)	(G6301)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
DLP12 prophage; predicted antitermination protein	G6307-MONOMER					(ybcQ)	(G6307)	
DLP12 prophage; predicted DNA-binding transcriptional regulator	G6302-MONOMER					(ybcM)	(G6302)	
DLP12 prophage; predicted exonuclease	G6295-MONOMER					(ybcC)	(G6295)	
DLP12 prophage; predicted integrase	EG10507-MONOMER					(intD)	(EG10507)	
DLP12 prophage; predicted lipoprotein	MONOMER0-2658					(rzoD)	(G0-10436)	((outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DLP12 prophage; predicted murein endopeptidase	G6311-MONOMER					(rzpD)	(G6311)	
DLP12 prophage; predicted phage lysis protein	G6309-MONOMER					(essD)	(G6309)	
DLP12 prophage; predicted protein	G6317-MONOMER					(tfaX)	(G6317)	
DLP12 prophage; predicted protein	G6305-MONOMER					(ybcO)	(G6305)	
DLP12 prophage; predicted protein	G6313-MONOMER					(ybcV)	(G6313)	
DLP12 prophage; predicted protein	G6298-MONOMER					(renD)	(G6298)	
DLP12 prophage; predicted protein	G6314-MONOMER					(ybcW)	(G6314)	
DLP12 prophage; predicted recombinase	G6300-MONOMER					(ybcK)	(G6300)	
DLP12 prophage; predicted replication protein fragment	MONOMER0-2777					(ybcD)	(G0-10555)	
DLP12 prophage; predicted SAM-dependent methyltransferase	G6316-MONOMER					(ybcY)	(G6316)	
DLP12 prophage; predicted tail fiber assembly protein	G6315-MONOMER					(tfaD)	(G6315)	
DLP12 prophage; small protein	MONOMER0-2657					(ylcG)	(G0-10435)	
DmlR DNA-binding transcriptional regulator	G6985-MONOMER					(dmlR)	(G6985)	
DMS reductase maturation protein	G6849-MONOMER					(dmsD)	(G6849)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (cytosol, CCO-CYTOSOL))
DNA adenine methyltransferase	EG11498-MONOMER					(yhdJ)	(EG11498)	
DNA adenine methyltransferase	EG10204-MONOMER					(dam)	(EG10204)	((cytosol, CCO-CYTOSOL))
DNA base-flipping protein	G6251-MONOMER					(atl)	(G6251)	
DNA damage-inducible protein I	G6558-MONOMER					(dinI)	(G6558)	((cytosol, CCO-CYTOSOL))
DNA gyrase	CPLX0-2425							((cytosol, CCO-CYTOSOL))
DNA gyrase inhibitor	EG11892-MONOMER					(sbmC)	(EG11892)	((cytosol, CCO-CYTOSOL))
DNA gyrase inhibitor YacG	EG12314-MONOMER					(yacG)	(EG12314)	
DNA gyrase, subunit A	EG10423-MONOMER					(gyrA)	(EG10423)	((bacterial nucleoid, CCO-BAC-NUCLEOID) (cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
DNA gyrase, subunit B	EG10424-MONOMER					(gyrB)	(EG10424)	((bacterial nucleoid, CCO-BAC-NUCLEOID) (cytosol, CCO-CYTOSOL))
DNA helicase IV	EG10426-MONOMER					(helD)	(EG10426)	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
DNA ligase	EG11334-MONOMER					(ligB)	(EG11334)	
DNA ligase	EG10534-MONOMER					(ligA)	(EG10534)	((cytosol, CCO-CYTOSOL))
DNA mismatch endonuclease of the very short patch (VSP) mismatch repair pathway	EG11068-MONOMER					(vsr)	(EG11068)	
DNA polymerase I, 5' --> 3' polymerase, 5' --> 3'  and 3' --> 5' exonuclease	EG10746-MONOMER					(polA)	(EG10746)	((cytosol, CCO-CYTOSOL))
DNA polymerase II	EG10747-MONOMER					(polB)	(EG10747)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, &alpha; subunit	EG10238-MONOMER					(dnaE)	(EG10238)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, &beta; subunit	CPLX0-3761							
DNA polymerase III, &chi; subunit	EG11413-MONOMER					(holC)	(EG11413)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, &delta; prime subunit	EG11500-MONOMER					(holB)	(EG11500)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, &delta; subunit	EG11412-MONOMER					(holA)	(EG11412)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, &epsilon; subunit	EG10243-MONOMER					(dnaQ)	(EG10243)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, &gamma; subunit	MONOMER0-2383					(dnaX)	(EG10245)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, &psi; subunit	EG11414-MONOMER					(holD)	(EG11414)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, &psi;-&chi; subunit	CPLX0-7910							
DNA polymerase III, &tau; subunit	EG10245-MONOMER					(dnaX)	(EG10245)	
DNA polymerase III, &tau; subunit dimer	CPLX0-3802							
DNA polymerase III, &theta; subunit	EG11505-MONOMER					(holE)	(EG11505)	((cytosol, CCO-CYTOSOL))
DNA polymerase III, core enzyme	CPLX0-2361							((cytosol, CCO-CYTOSOL))
DNA polymerase III, holoenzyme	CPLX0-3803							
DNA polymerase III, preinitiation complex	CPLX0-3801							
DNA polymerase IV (Y-family DNA polymerase; translesion DNA synthesis)	G6115-MONOMER					(dinB)	(G6115)	((cytosol, CCO-CYTOSOL))
DNA polymerase V	CPLX0-3925							
DNA primase	EG10239-MONOMER					(dnaG)	(EG10239)	((cytosol, CCO-CYTOSOL))
DNA recombination protein	EG11296-MONOMER					(radA)	(EG11296)	
DNA repair; excision nuclease subunit B	EG11062-MONOMER					(uvrB)	(EG11062)	((cytosol, CCO-CYTOSOL))
DNA replication inhibitor	EG11111-MONOMER					(cspD)	(EG11111)	((cytosol, CCO-CYTOSOL))
DNA replication inhibitor	CPLX0-3301							
DNA strand exchange and recombination protein with protease and nuclease activity	EG10823-MONOMER					(recA)	(EG10823)	((cytosol, CCO-CYTOSOL))
DNA topoisomerase I	EG11013-MONOMER					(topA)	(EG11013)	((cytosol, CCO-CYTOSOL))
DNA topoisomerase III	EG11014-MONOMER					(topB)	(EG11014)	((cytosol, CCO-CYTOSOL))
DNA-associated protein	EG12048-MONOMER					(yejK)	(EG12048)	((cytosol, CCO-CYTOSOL) (bacterial nucleoid, CCO-BAC-NUCLEOID))
DNA-binding protein; inhibition of replication at Ter sites	EG11038-MONOMER					(tus)	(EG11038)	((cytosol, CCO-CYTOSOL))
DNA-binding transcriptional regulator	G6638-MONOMER					(yciT)	(G6638)	
DNA-binding transcriptional regulator, prophage P2 remnant	G7119-MONOMER					(ogrK)	(G7119)	
DNA-binding transcriptional repressor	EG12431-MONOMER					(puuR)	(EG12431)	
DNA-binding, ATP-dependent protease La	CPLX0-2881							
DNA-cytosine methyltransferase	EG10211-MONOMER					(dcm)	(EG10211)	((cytosol, CCO-CYTOSOL))
DNA-damage-inducible protein	EG11193-MONOMER					(dinD)	(EG11193)	((cytosol, CCO-CYTOSOL))
DNA-dependent ATPase I and helicase II	EG11064-MONOMER					(uvrD)	(EG11064)	((cytosol, CCO-CYTOSOL))
DNA-specific endonuclease I	EG11336-MONOMER					(endA)	(EG11336)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
DnaA initiator-associating factor for replication initiation	YRAO-MONOMER					(diaA)	(EG12780)	
DnaA initiator-associating factor for replication initiation	CPLX0-3221							
DnaA-ATP transcriptional dual regulator	MONOMER0-160							
DnaB	EG10236-MONOMER					(dnaB)	(EG10236)	((cytosol, CCO-CYTOSOL))
DnaK-DnaJ-GrpE chaperone system	HSP70-CPLX							
DnaN	EG10242-MONOMER					(dnaN)	(EG10242)	((cytosol, CCO-CYTOSOL))
DNase, magnesium-dependent	EG11481-MONOMER					(tatD)	(EG11481)	((cytosol, CCO-CYTOSOL))
DnaT	EG10244-MONOMER					(dnaT)	(EG10244)	((cytosol, CCO-CYTOSOL))
DnaT	CPLX0-0							
dodecenoyl-CoA &delta;-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase	FADB-MONOMER					(fadB)	(EG10279)	((cytosol, CCO-CYTOSOL) (mitochondrial lumen, CCO-MIT-LUM))
DosC-DosP complex	CPLX0-7823							
DpiA	G6346-MONOMER			(DpiA-P<sup>asp</sup> DNA-binding transcriptional dual regulator)	(PHOSPHO-DPIA)	(dpiA)	(G6346)	((cytosol, CCO-CYTOSOL))
DpiA-P<sup>asp</sup> DNA-binding transcriptional dual regulator	PHOSPHO-DPIA	(DpiA)	(G6346-MONOMER)			(dpiA)	(G6346)	((cytosol, CCO-CYTOSOL))
DpiB sensory histidine kinase	G6345-MONOMER			(DpiB sensory histidine kinase - phosphorylated)	(PHOSPHO-DPIB)	(dpiB)	(G6345)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DpiB sensory histidine kinase - phosphorylated	PHOSPHO-DPIB	(DpiB sensory histidine kinase)	(G6345-MONOMER)			(dpiB)	(G6345)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
Dps complex; stationary phase nucleoid component that sequesters iron and protects DNA from damage	CPLX0-1521							
DsbA<sub>oxidised</sub>	MONOMER0-4152	(protein disulfide oxidoreductase)	(DISULFOXRED-MONOMER)			(dsbA)	(EG11297)	
DsbB<sub>oxidised</sub>	MONOMER0-4142	(DsbB<sub>reduced</sub>)	(DSBBPROT-MONOMER)			(dsbB)	(EG11393)	
DsbB<sub>reduced</sub>	DSBBPROT-MONOMER			(DsbB<sub>oxidised</sub>)	(MONOMER0-4142)	(dsbB)	(EG11393)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DsbC<SUB>oxidized</SUB>	DSBCOX-MONOMER	(DsbC<SUB>reduced</SUB>)	(DSBC-MONOMER)			(dsbC)	(EG11070)	
DsbC<SUB>reduced</SUB>	DSBC-MONOMER			(DsbC<SUB>oxidized</SUB>)	(DSBCOX-MONOMER)	(dsbC)	(EG11070)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
DsbD<SUB>oxidized</SUB>	DSBDOXI-MONOMER	(disulfide oxidoreductase DsbD)	(DSBD-MONOMER)			(dipZ)	(EG12178)	
DsbG<SUB>oxidized</SUB>	DSBGOXI-MONOMER	(DsbG<SUB>reduced</SUB>)	(DSBG-MONOMER)			(dsbG)	(G6333)	
DsbG<SUB>reduced</SUB>	DSBG-MONOMER			(DsbG<SUB>oxidized</SUB>)	(DSBGOXI-MONOMER)	(dsbG)	(G6333)	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
DsdC DNA-binding transcriptional dual regulator	PD00297					(dsdC)	(EG13161)	((cytosol, CCO-CYTOSOL))
DsdC DNA-binding transcriptional dual regulator	CPLX0-7713							
DsdC-D-serine DNA binding transcriptional dual regulator	CPLX0-7714							
dTDP-4-dehydro-6-deoxy-D-glucose transaminase	RFFTRANS-MONOMER					(rffA)	(EG11456)	
dTDP-4-dehydro-6-deoxy-D-glucose transaminase	CPLX0-7990							
dTDP-4-dehydrorhamnose 3,5-epimerase	DTDPDEHYDRHAMEPIM-MONOMER					(rfbC)	(EG11979)	((cytosol, CCO-CYTOSOL))
dTDP-4-dehydrorhamnose reductase	DTDPDEHYRHAMREDUCT-MONOMER					(rfbD)	(EG12411)	((cytosol, CCO-CYTOSOL))
dTDP-fucosamine acetyltransferase	TDPFUCACTRANS-MONOMER					(rffC)	(EG11455)	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
dTDP-glucose 4,6-dehydratase	DTDPGLUCDEHYDRAT-CPLX							
dTDP-glucose 4,6-dehydratase 2	DTDPGLUCDEHYDRAT2-MONOMER					(rffG)	(EG11453)	
dTDP-glucose pyrophosphorylase	DTDPGLUCOSEPP-MONOMER					(rfbA)	(EG11978)	((cytosol, CCO-CYTOSOL))
dTDP-glucose pyrophosphorylase 2	DTDPGLUCOSEPP2-MONOMER					(rffH)	(EG11454)	
dTDP-L-rhamnose synthetase	DTDPRHAMSYNTHMULTI-CPLX							
dTMP kinase	DTMPKI-MONOMER					(tmk)	(EG12302)	((cytosol, CCO-CYTOSOL))
Dut	DUTP-PYROP-MONOMER					(dut)	(EG10251)	((cytosol, CCO-CYTOSOL))
Dxr	DXPREDISOM-MONOMER					(dxr)	(EG12715)	
Dxs	DXS-MONOMER					(dxs)	(G6237)	((cytosol, CCO-CYTOSOL))
e14 prophage; conserved protein	G6597-MONOMER					(ymfQ)	(G6597)	
e14 prophage; conserved protein	G6596-MONOMER					(ymfP)	(G6596)	
e14 prophage; conserved protein	G6595-MONOMER					(ymfO)	(G6595)	
e14 prophage; predicted DNA-binding transcriptional regulator	G6590-MONOMER					(ymfT)	(G6590)	
e14 prophage; predicted DNA-binding transcriptional regulator	G6591-MONOMER					(ymfL)	(G6591)	
e14 prophage; predicted DNA-binding transcriptional regulator	G6593-MONOMER					(ymfN)	(G6593)	
e14 prophage; predicted excisionase	G6585-MONOMER					(xisE)	(G6585)	
