"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
"B0907"	"serC"	"serC 3-phosphoserine aminotransferase "	-1.078	3.066
"B0908"	"aroA"	"aroA 5-enolpyruvylshikimate-3-phosphate synthetase "		1.876
"B0910"	"cmk"	"cmk cytidylate kinase "	1.076	0.862
"B0911"	"rpsA"	"rpsA 30S ribosomal subunit protein S1 "	3.067	3.594
"B0912"	"himD"	"himD integration host factor (IHF), beta subunit; site-specific recombination "	2.309	3.625
"B0913"	"ycaI"	"ycaI orf, hypothetical protein "	-2.414	-1.002
"B0914"	"msbA"	"msbA ATP-binding transport protein; multicopy suppressor of htrB "	-1.407	0.072
"B0915"	"ycaH"	"ycaH putative EC 1.2 enzyme "		
"B0917"	"ycaR"	"ycaR orf, hypothetical protein "		0.24
"B0918"	"kdsB"	"kdsB CTP:CMP-3-deoxy-D-manno-octulosonate transferase "	-0.693	-0.135
"B0919"	"B0919"	"B0919 orf, hypothetical protein "		
"B0920"	"ycbC"	"ycbC orf, hypothetical protein "		
"B0921"	"smtA"	"smtA S-adenosylmethionine-dependent methyltransferase "	0.267	0.335
"B0922"	"mukF"	"mukF mukF protein (killing factor KICB) "	-0.953	-0.27
"B0923"	"mukE"	"mukE orf, hypothetical protein "	-0.176	0.12
"B0924"	"mukB"	"mukB kinesin-like cell division protein involved in chromosome partitioning "	-0.98	0.265
"B0925"	"ycbB"	"ycbB putative amidase "	-0.272	0.832
"B0926"	"ycbK"	"ycbK orf, hypothetical protein "	1.105	3.005
"B0927"	"ycbL"	"ycbL orf, hypothetical protein "	-0.166	1.297
"B0928"	"aspC"	"aspC aspartate aminotransferase "	2.256	2.212
"B0929"	"ompF"	"ompF outer membrane protein 1a (Ia;b;F) "	5.584	4.63
"B0930"	"asnS"	"asnS asparagine tRNA synthetase "	0.924	2.338
"B0931"	"pncB"	"pncB nicotinate phosphoribosyltransferase "	0.998	1.898
"B0932"	"pepN"	"pepN aminopeptidase N "	1.827	1.82
"B0933"	"ycbE"	"ycbE putative ATP-binding component of a transport system "		
"B0934"	"ycbM"	"ycbM putative transport system permease protein "		
"B0937"	"ycbP"	"ycbP orf, hypothetical protein "		-0.073
"B0940"	"ycbS"	"ycbS putative outer membrane protein "		
"B0941"	"B0941"	"B0941 homolog of Salmonella FimH protein "		-1.405
"B0942"	"B0942"	"B0942 putative fimbrial-like protein "		
"B0945"	"pyrD"	"pyrD dihydro-orotate dehydrogenase "	1.602	-0.623
"B0946"	"ycbW"	"ycbW orf, hypothetical protein "	-0.167	1.456
"B0947"	"B0947"	"B0947 orf, hypothetical protein "		0.228
"B0948"	"ycbY"	"ycbY putative oxidoreductase "	-0.753	-0.469
"B0949"	"uup"	"uup putative ATP-binding component of a transport system "	-0.597	-0.258
"B0950"	"pqiA"	"pqiA paraquat-inducible protein A "		-0.916
"B0951"	"pqiB"	"pqiB paraquat-inducible protein B "	-1.204	-0.476
"B0953"	"rmf"	"rmf ribosome modulation factor "		6.171
"B0954"	"fabA"	"fabA beta-hydroxydecanoyl thioester dehydrase, trans-2-decenoyl-ACP isomerase "	0.494	1.48
"B0955"	"B0955"	"B0955 putative ATP-dependent protease "	-0.573	0.587
"B0956"	"ycbG"	"ycbG putative dehydrogenase "	-0.453	0.413
"B0957"	"ompA"	"ompA outer membrane protein 3a (II*;G;d) "	6.505	7.165
"B0958"	"sulA"	"sulA suppressor of lon; inhibits cell division and ftsZ ring formation "	0.211	1.198
"B0959"	"B0959"	"B0959 orf, hypothetical protein "	-0.871	-0.045
"B0961"	"yccF"	"yccF orf, hypothetical protein "		0.223
"B0962"	"helD"	"helD DNA helicase IV "	-1.457	-0.233
"B0963"	"mgsA"	"mgsA methylglyoxal synthase "	1.195	0.395
"B0965"	"B0965"	"B0965 orf, hypothetical protein "	-0.911	1.397
"B0966"	"yccV"	"yccV orf, hypothetical protein "	1.005	2.358
"B0967"	"B0967"	"B0967 putative oxidoreductase "	-1.641	-0.667
"B0968"	"B0968"	"B0968 orf, hypothetical protein "		0.841
"B0969"	"yccK"	"yccK putative sulfite reductase (EC 1.8.-.-) "	-0.408	0.358
"B0970"	"yccA"	"yccA putative carrier/transport protein "	2.514	2.691
"B0975"	"hyaD"	"hyaD processing of HyaA and HyaB proteins "		
"B0978"	"appC"	"appC probable third cytochrome oxidase, subunit I "		-0.074
"B0982"	"yccY"	"yccY putative phosphatase "		
"B0985"	"ymcB"	"ymcB orf, hypothetical protein "		
"B0988"	"insB_4"	"insB_4 IS1 protein InsB "	-2.122	-0.656
"B0989"	"cspH"	"cspH cold shock-like protein "		-0.308
"B0990"	"cspG"	"cspG homolog of Salmonella cold shock protein "		
"B0991"	"sfa"	"sfa suppresses fabA and ts growth mutation "	0.271	
"B0992"	"yccM"	"yccM orf, hypothetical protein "		
"B0993"	"torS"	"torS sensor protein torS (regulator TorR) "		-1.009
"B0994"	"torT"	"torT part of regulation of tor operon, periplasmic "		
"B0996"	"torC"	"torC trimethylamine N-oxide reductase, cytochrome c-type subunit "		
"B0997"	"torA"	"torA trimethylamine N-oxide reductase subunit "		
"B1000"	"cbpA"	"cbpA curved DNA-binding protein; functions closely related to DnaJ "	0.083	1.194
"B1002"	"agp"	"agp periplasmic glucose-1-phosphatase "	0.296	0.406
"B1003"	"yccJ"	"yccJ orf, hypothetical protein "	-0.622	1.08
"B1004"	"wrbA"	"wrbA trp repressor binding protein; affects association of trp repressor and operator "	0.743	3.49
"B1005"	"ycdF"	"ycdF orf, hypothetical protein "		1.984
"B1006"	"ycdG"	"ycdG putative transport protein "		-0.718
"B1007"	"B1007"	"B1007 orf, hypothetical protein "		-0.638
"B1008"	"B1008"	"B1008 putative enzyme "		-0.488
"B1010"	"B1010"	"B1010 orf, hypothetical protein "		-0.501
"B1011"	"B1011"	"B1011 putative synthetase "		
"B1012"	"B1012"	"B1012 orf, hypothetical protein "		
"B1013"	"ycdC"	"ycdC putative tet operon regulator "	-0.117	
"B1014"	"putA"	"putA proline dehydrogenase, P5C dehydrogenase "	0.794	
"B1015"	"putP"	"putP major sodium/proline symporter "	1.078	-0.487
"B1016"	"B1016"	"B1016 orf, hypothetical protein "		2.959
"B1017"	"B1017"	"B1017 putative cytochrome "		1.036
"B1018"	"ycdO"	"ycdO orf, hypothetical protein "		0.239
"B1019"	"ycdB"	"ycdB orf, hypothetical protein "	-0.956	-0.713
"B1020"	"phoH"	"phoH PhoB-dependent, ATP-binding pho regulon component; may be helicase; induced by P starvation "	2.123	1.62
"B1024"	"ycdS"	"ycdS putative outer membrane protein "		-0.793
"B1026"	"tra5_3"	"tra5_3 IS3 putative transposase "	-2.503	-1.683
"B1027"	"B1027"	"B1027 orf, hypothetical protein "	-2.631	-1.306
"B1029"	"ycdU"	"ycdU orf, hypothetical protein "		-1.018
"B1033"	"ycdW"	"ycdW putative dehydrogenase "	-0.846	0.262
"B1034"	"ycdX"	"ycdX orf, hypothetical protein "	0.513	0.694
"B1035"	"ycdY"	"ycdY putative oxidoreductase component "		-0.043
"B1036"	"ycdZ"	"ycdZ orf, hypothetical protein "		0.51
"B1037"	"csgG"	"csgG curli production assembly/transport component, 2nd curli operon "		0.069
"B1040"	"csgD"	"csgD putative 2-component transcriptional regulator for 2nd curli operon "		-0.014
"B1043"	"csgC"	"csgC putative curli production protein "		-0.254
"B1045"	"B1045"	"B1045 putative polyprotein "		1.355
"B1046"	"ymdC"	"ymdC putative synthase "		0.102
"B1048"	"mdoG"	"mdoG periplasmic glucans biosynthesis protein "	2.098	1.682
"B1049"	"mdoH"	"mdoH membrane glycosyltransferase; synthesis of membrane-derived oligosaccharide (MDO) "	-0.76	-0.303
"B1050"	"yceK"	"yceK orf, hypothetical protein "	1.598	2.511
"B1051"	"msyB"	"msyB acidic protein suppresses mutants lacking function of protein export "	2.523	2.847
"B1053"	"yceE"	"yceE putative transport protein "		-0.424
"B1054"	"htrB"	"htrB heat shock protein "	-0.264	0.133
"B1055"	"yceA"	"yceA orf, hypothetical protein "	0.886	0.7
"B1056"	"yceI"	"yceI orf, hypothetical protein "	-0.466	1.154
"B1057"	"B1057"	"B1057 putative cytochrome "		-0.443
"B1058"	"yceO"	"yceO orf, hypothetical protein "	-0.226	0.252
"B1059"	"solA"	"solA sarcosine oxidase-like protein "	-0.358	-0.016
"B1060"	"yceP"	"yceP orf, hypothetical protein "	0.985	0.749
"B1061"	"dinI"	"dinI damage-inducible protein I "	0.908	0.331
"B1062"	"pyrC"	"pyrC dihydro-orotase "	3.792	1.998
"B1063"	"yceB"	"yceB orf, hypothetical protein "	0.442	0.835
"B1064"	"grxB"	"grxB glutaredoxin 2 "	2.206	4.371
"B1065"	"yceL"	"yceL orf, hypothetical protein "		0.066
"B1066"	"rimJ"	"rimJ acetylation of N-terminal alanine of 30S ribosomal subunit protein S5 "	1.333	1.86
"B1067"	"yceH"	"yceH orf, hypothetical protein "		0.392
"B1068"	"mviM"	"mviM putative virulence factor "	-1.135	0.287
"B1069"	"mviN"	"mviN putative virulence factor "		1.045
"B1070"	"flgN"	"flgN protein of flagellar biosynthesis "		
"B1071"	"flgM"	"flgM anti-FliA (anti-sigma) factor; also known as RflB protein "		
"B1072"	"flgA"	"flgA flagellar biosynthesis; assembly of basal-body periplasmic P ring "	-0.203	-0.274
"B1073"	"flgB"	"flgB flagellar biosynthesis, cell-proximal portion of basal-body rod "	-0.124	
"B1074"	"flgC"	"flgC flagellar biosynthesis, cell-proximal portion of basal-body rod "	-0.348	
"B1075"	"flgD"	"flgD flagellar biosynthesis, initiation of hook assembly "	0.025	
"B1076"	"flgE"	"flgE flagellar biosynthesis, hook protein "	0.778	
"B1077"	"flgF"	"flgF flagellar biosynthesis, cell-proximal portion of basal-body rod "	-1.115	-0.635
"B1078"	"flgG"	"flgG flagellar biosynthesis, cell-distal portion of basal-body rod "	-0.899	-0.965
"B1080"	"flgI"	"flgI homolog of Salmonella P-ring of flagella basal body "	-1.498	0.697
"B1081"	"flgJ"	"flgJ flagellar biosynthesis "		-0.825
"B1082"	"flgK"	"flgK flagellar biosynthesis, hook-filament junction protein 1 "	-1.402	-0.3
"B1083"	"flgL"	"flgL flagellar biosynthesis; hook-filament junction protein "	-0.76	-0.662
"B1084"	"rne"	"rne RNase E, membrane attachment, mRNA turnover, maturation 5S RNA "	0.326	0.874
"B1085"	"B1085"	"B1085 orf, hypothetical protein "	1.291	1.314
"B1086"	"yceC"	"yceC orf, hypothetical protein "	-0.421	0.601
"B1087"	"yceF"	"yceF orf, hypothetical protein "	-0.105	2.176
"B1088"	"yceD"	"yceD orf, hypothetical protein "	2.816	3.293
"B1089"	"rpmF"	"rpmF 50S ribosomal subunit protein L32 "	3.428	3.768
"B1090"	"plsX"	"plsX glycerolphosphate auxotrophy in plsB background "	0.311	1.175
"B1091"	"fabH"	"fabH 3-oxoacyl-[acyl-carrier-protein] synthase III; acetylCoA ACP transacylase "	0.743	1.284
"B1092"	"fabD"	"fabD malonyl-CoA-[acyl-carrier-protein] transacylase "	1.788	2.108
"B1093"	"fabG"	"fabG 3-oxoacyl-[acyl-carrier-protein] reductase "	1.981	2.723
"B1094"	"acpP"	"acpP acyl carrier protein "	4.96	4.196
"B1095"	"fabF"	"fabF 3-oxoacyl-[acyl-carrier-protein] synthase II "	1.359	1.467
"B1096"	"pabC"	"pabC 4-amino-4-deoxychorismate lyase "	-1.376	-0.331
"B1097"	"yceG"	"yceG putative thymidylate kinase (EC 2.7.4.9) "		-0.522
"B1098"	"tmk"	"tmk thymidylate kinase "	-1.351	0.245
"B1099"	"holB"	"holB DNA polymerase III, delta prime subunit "		0.098
"B1100"	"ycfH"	"ycfH orf, hypothetical protein "		0.889
"B1101"	"ptsG"	"ptsG PTS system, glucose-specific IIBC component "	0.088	1.124
"B1102"	"fhuE"	"fhuE outer membrane receptor for ferric iron uptake "		1.698
"B1103"	"ycfF"	"ycfF orf, hypothetical protein "	1.731	1.687
"B1104"	"ycfL"	"ycfL orf, hypothetical protein "	0.591	0.901
"B1105"	"ycfM"	"ycfM orf, hypothetical protein "	-0.116	1.028
"B1106"	"ycfN"	"ycfN putative beta-glucosidase (EC 3.2.1.21) "	-0.334	0.102
"B1107"	"ycfO"	"ycfO orf, hypothetical protein "	0.34	0.289
"B1108"	"ycfP"	"ycfP orf, hypothetical protein "	1.966	1.779
"B1109"	"ndh"	"ndh respiratory NADH dehydrogenase "		-0.042
"B1110"	"ycfJ"	"ycfJ orf, hypothetical protein "		-1.074
"B1111"	"ycfQ"	"ycfQ orf, hypothetical protein "	-1.294	0.157
"B1112"	"ycfR"	"ycfR orf, hypothetical protein "		-0.536
"B1113"	"ycfS"	"ycfS orf, hypothetical protein "		-0.364
"B1114"	"mfd"	"mfd transcription-repair coupling factor; mutation frequency decline "	-1.313	-0.199
"B1115"	"ycfT"	"ycfT orf, hypothetical protein "		-0.569
"B1116"	"ycfU"	"ycfU orf, hypothetical protein "		-0.363
"B1117"	"ycfV"	"ycfV putative ATP-binding component of a transport system "	-0.586	1.13
"B1118"	"ycfW"	"ycfW putative kinase "	-1.289	0.052
"B1119"	"ycfX"	"ycfX putative NAGC-like transcriptional regulator "	-0.891	0.562
"B1120"	"cobB"	"cobB putative nicotinic acid mononucleotide:5,6-dimethylbenzimidazole (DMB) phosphoribosyltransferase "	-0.478	1.87
"B1123"	"potD"	"potD spermidine/putrescine periplasmic transport protein "	1.778	2.253
"B1124"	"potC"	"potC spermidine/putrescine transport system permease "	-0.803	1.09
"B1125"	"potB"	"potB spermidine/putrescine transport system permease "		-0.056
"B1126"	"potA"	"potA ATP-binding component of spermidine/putrescine transport "		0.134
"B1127"	"pepT"	"pepT putative peptidase T "		0.523
"B1128"	"ycfD"	"ycfD orf, hypothetical protein "	-0.311	0.76
"B1129"	"phoQ"	"phoQ sensor protein PhoQ "	-1.092	-0.145
"B1130"	"phoP"	"phoP transcriptional regulatory protein "	0.966	2.072
"B1131"	"purB"	"purB adenylosuccinate lyase "	0.655	1.543
"B1132"	"ycfC"	"ycfC orf, hypothetical protein "	0.699	1.124
"B1133"	"ycfB"	"ycfB orf, hypothetical protein "	0.414	1.066
"B1134"	"B1134"	"B1134 putative phosphohydrolase "	-0.084	-0.059
"B1135"	"ymfC"	"ymfC orf, hypothetical protein "	-0.132	0.616
"B1136"	"icdA"	"icdA isocitrate dehydrogenase, specific for NADP+ "	4.073	4.079
"B1141"	"B1141"	"B1141 orf, hypothetical protein "		2.6
"B1143"	"ymfI"	"ymfI orf, hypothetical protein "		4.444
"B1145"	"B1145"	"B1145 putative phage repressor "		
"B1146"	"B1146"	"B1146 orf, hypothetical protein "		4.068
"B1153"	"B1153"	"B1153 orf, hypothetical protein "		
"B1154"	"ycfK"	"ycfK orf, hypothetical protein "		1.67
"B1156"	"ycfA"	"ycfA orf, hypothetical protein "		0.752
"B1160"	"ycgW"	"ycgW orf, hypothetical protein "	-1.492	-0.309
"B1161"	"ycgX"	"ycgX orf, hypothetical protein "		-0.841
"B1162"	"ycgE"	"ycgE putative transcriptional regulator "	1.117	1.671
"B1163"	"B1163"	"B1163 orf, hypothetical protein "	-0.408	0.714
"B1164"	"ycgZ"	"ycgZ orf, hypothetical protein "		0.06
"B1165"	"ymgA"	"ymgA orf, hypothetical protein "		-0.32
"B1168"	"B1168"	"B1168 putative proteases "		-0.749
"B1170"	"B1170"	"B1170 putative part of putative ATP-binding component of a transport system "		
"B1172"	"B1172"	"B1172 orf, hypothetical protein "		
"B1174"	"minE"	"minE cell division topological specificity factor, reverses MinC inhibition of ftsZ ring formation "	1.021	1.172
"B1175"	"minD"	"minD cell division inhibitor, a membrane ATPase, activates minC "	2.184	2.243
"B1176"	"minC"	"minC cell division inhibitor, inhibits ftsZ ring formation "	2.01	1.996
"B1177"	"ycgJ"	"ycgJ orf, hypothetical protein "		0.685
"B1178"	"ycgK"	"ycgK orf, hypothetical protein "		3.145
"B1179"	"ycgL"	"ycgL orf, hypothetical protein "		1.143
"B1180"	"B1180"	"B1180 putative isomerase "		0.564
"B1181"	"ycgN"	"ycgN orf, hypothetical protein "		0.305
"B1184"	"umuC"	"umuC SOS mutagenesis and repair "		
"B1185"	"dsbB"	"dsbB reoxidizes DsbA protein following formation of disulfide bond in P-ring of flagella. "		0.671
"B1186"	"nhaB"	"nhaB Na+/H+ antiporter, pH independent "	-1.182	0.265
"B1187"	"fadR"	"fadR negative regulator for fad regulon, and positive activator of fabA "	-0.397	0.254
"B1188"	"ycgB"	"ycgB putative sporulation protein "	-0.665	2.398
"B1189"	"dadA"	"dadA D-amino acid dehydrogenase subunit "	1.442	0.419
"B1190"	"dadX"	"dadX alanine racemase 2, catabolic "	0.606	0.099
"B1191"	"B1191"	"B1191 orf, hypothetical protein "	-1.821	-0.856
"B1192"	"B1192"	"B1192 orf, hypothetical protein "		0.308
"B1193"	"mltE"	"mltE murein transglycosylase E "	-0.651	0.241
"B1194"	"ycgR"	"ycgR orf, hypothetical protein "	-0.282	-0.48
"B1195"	"ymgE"	"ymgE orf, hypothetical protein "	-1.268	-0.302
"B1198"	"ycgC"	"ycgC putative PTS system enzyme I "	-0.312	0.278
"B1199"	"B1199"	"B1199 putative dihydroxyacetone kinase (EC 2.7.1.2) "	-0.633	0.193
"B1201"	"B1201"	"B1201 putative sensor-type regulator "		-0.59
"B1203"	"ychF"	"ychF putative GTP-binding protein "	1.231	0.374
"B1204"	"pth"	"pth peptidyl-tRNA hydrolase "	-0.64	-1.034
"B1205"	"ychH"	"ychH orf, hypothetical protein "	0.508	
"B1206"	"ychM"	"ychM orf, hypothetical protein "	-2.685	-1.641
"B1207"	"prsA"	"prsA phosphoribosylpyrophosphate synthetase "	3.765	1.489
"B1208"	"ychB"	"ychB orf, hypothetical protein "	0.638	0.655
"B1209"	"hemM"	"hemM an enzyme in main pathway of synthesis of 5-aminolevulinate, possibly glutamyl-tRNA dehydrogenase "	-0.058	0.712
"B1210"	"hemA"	"hemA enzyme in alternate path of synthesis of 5-aminolevulinate "	-1.421	-0.866
"B1211"	"prfA"	"prfA peptide chain release factor RF-1 "		
"B1212"	"hemK"	"hemK possible protoporphyrinogen oxidase "		
"B1213"	"B1213"	"B1213 orf, hypothetical protein "		-0.539
"B1214"	"ychA"	"ychA orf, hypothetical protein "	0.105	0.824
"B1215"	"kdsA"	"kdsA 2-dehydro-3-deoxyphosphooctulonate aldolase "	1.125	1.207
"B1216"	"chaA"	"chaA sodium-calcium/proton antiporter "		0.19
"B1217"	"chaB"	"chaB cation transport regulator "	-0.684	3.561
"B1218"	"chaC"	"chaC cation transport regulator "		1.023
"B1219"	"ychN"	"ychN orf, hypothetical protein "	-0.645	-0.356
"B1220"	"ychP"	"ychP putative factor "		-0.612
"B1221"	"narL"	"narL pleiotrophic regulation of anaerobic respiration: response regulator for nar, frd, dms and tor genes "	0.357	0.741
"B1222"	"narX"	"narX nitrate/nitrate sensor, histidine protein kinase acts on NarL regulator "		
"B1223"	"narK"	"narK nitrite extrusion protein "		
"B1224"	"narG"	"narG nitrate reductase 1, alpha subunit "		
"B1225"	"narH"	"narH nitrate reductase 1, beta subunit "		
"B1226"	"narJ"	"narJ nitrate reductase 1, delta subunit, assembly function "		-1.415
"B1227"	"narI"	"narI nitrate reductase 1, cytochrome b(NR), gamma subunit "		-0.884
"B1228"	"B1228"	"B1228 orf, hypothetical protein "		
"B1229"	"tpr"	"tpr a protaminelike protein "		-1.136
"B1232"	"purU"	"purU formyltetrahydrofolate deformylase; for purT-dependent FGAR synthesis "	1.694	1.132
"B1233"	"ychJ"	"ychJ orf, hypothetical protein "	0.987	1.32
"B1234"	"ychK"	"ychK orf, hypothetical protein "	-1.039	0.336
"B1235"	"hnr"	"hnr Hnr protein "	-0.984	0.842
"B1236"	"galU"	"galU glucose-1-phosphate uridylyltransferase "	0.439	0.736
"B1237"	"hns"	"hns DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator "	2.37	2.994
"B1238"	"tdk"	"tdk thymidine kinase "		0.03
"B1239"	"ychG"	"ychG orf, hypothetical protein "		-0.457
"B1240"	"B1240"	"B1240 orf, hypothetical protein "		1.346
"B1241"	"adhE"	"adhE CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase "	1.443	4.029
"B1242"	"ychE"	"ychE putative channel protein "		0.732
"B1243"	"oppA"	"oppA oligopeptide transport; periplasmic binding protein "	4.235	3.427
"B1244"	"oppB"	"oppB oligopeptide transport permease protein "	1.103	0.849
"B1245"	"oppC"	"oppC homolog of Salmonella oligopeptide transport permease protein "	0.03	-0.106
"B1246"	"oppD"	"oppD homolog of Salmonella ATP-binding protein of oligopeptide ABC transport system "	0.568	0.099
"B1247"	"oppF"	"oppF homolog of Salmonella ATP-binding protein of oligopeptide ABC transport system "	0.783	
"B1248"	"B1248"	"B1248 orf, hypothetical protein "	-0.292	0.871
"B1249"	"cls"	"cls cardiolipin synthase, a major membrane phospholipid; novobiocin sensitivity "	-0.967	0.91
"B1250"	"kch"	"kch putative potassium channel protein "	-1.25	0.19
"B1251"	"yciI"	"yciI orf, hypothetical protein "	-0.338	1.848
"B1252"	"tonB"	"tonB energy transducer; uptake of iron, cyanocobalimin; sensitivity to phages, colicins "	-0.352	2.055
"B1253"	"yciA"	"yciA orf, hypothetical protein "		0.516
"B1254"	"yciB"	"yciB orf, hypothetical protein "		1.109
"B1255"	"yciC"	"yciC orf, hypothetical protein "		0.08
"B1256"	"yciD"	"yciD putative outer membrane protein "		
"B1258"	"yciF"	"yciF putative structural proteins "		0.924
"B1259"	"yciG"	"yciG orf, hypothetical protein "		2.578
"B1260"	"trpA"	"trpA tryptophan synthase, alpha protein "	-0.73	4.61
"B1261"	"trpB"	"trpB tryptophan synthase, beta protein "	-0.819	4.267
"B1262"	"trpC"	"trpC N-(5-phosphoribosyl)anthranilate isomerase and indole-3-glycerolphosphate synthetase "	-0.883	4.07
"B1263"	"trpD"	"trpD anthranilate synthase component II, glutamine amidotransferase and phosphoribosylanthranilate transferase "		3.36
"B1264"	"trpE"	"trpE anthranilate synthase component I "		3.963
"B1266"	"yciV"	"yciV putative enzymes "	-0.537	1.059
"B1267"	"yciO"	"yciO orf, hypothetical protein "	-1.323	0.717
"B1268"	"yciQ"	"yciQ orf, hypothetical protein "		-0.599
"B1269"	"yciL"	"yciL orf, hypothetical protein "		-0.061
"B1270"	"BtuR"	"BtuR cob(I)alamin adenolsyltransferase "		-0.435
"B1271"	"yciK"	"yciK putative oxidoreductase "		0.355
"B1272"	"sohB"	"sohB putative protease "	0.67	1.059
"B1273"	"yciN"	"yciN orf, hypothetical protein "	2.642	2.754
"B1274"	"topA"	"topA DNA topoisomerase type I, omega protein "	-0.103	0.77
"B1275"	"cysB"	"cysB positive transcriptional regulator for cysteine regulon "	1.024	1.124
"B1276"	"acnA"	"acnA aconitate hydrase 1 "	0.243	0.374
"B1277"	"ribA"	"ribA GTP cyclohydrolase II "	0.001	0.934
"B1278"	"pgpB"	"pgpB non-essential phosphatidylglycerophosphate phosphatase, membrane bound "	-0.683	0.245
"B1279"	"yciS"	"yciS orf, hypothetical protein "	-0.541	1.508
"B1280"	"yciM"	"yciM putative heat shock protein "	-0.757	0.311
"B1281"	"pyrF"	"pyrF orotidine-5'-phosphate decarboxylase "	1.25	-0.198
"B1282"	"yciH"	"yciH orf, hypothetical protein "	0.652	0.326
"B1283"	"osmB"	"osmB osmotically inducible lipoprotein "		2.482
"B1284"	"B1284"	"B1284 putative DEOR-type transcriptional regulator "		0.929
"B1285"	"yciR"	"yciR orf, hypothetical protein "	-0.854	0.371
"B1286"	"rnb"	"rnb RNase II, mRNA degradation "	0.541	0.752
"B1287"	"yciW"	"yciW putative oxidoreductase "		1.028
"B1288"	"fabI"	"fabI enoyl-[acyl-carrier-protein] reductase (NADH) "	1.94	2.155
"B1291"	"sapD"	"sapD putative ATP-binding protein of peptide transport system "		0.795
"B1292"	"sapC"	"sapC homolog of Salmonella peptide transport permease protein "		-0.094
"B1293"	"sapB"	"sapB homolog of Salmonella peptide transport permease protein "		
"B1294"	"sapA"	"sapA homolog of Salmonella peptide transport periplasmic protein "	-0.9	0.083
"B1295"	"ymjA"	"ymjA orf, hypothetical protein "		0.275
"B1296"	"ycjJ"	"ycjJ putative amino acid/amine transport protein "		
"B1297"	"B1297"	"B1297 putative glutamine synthetase (EC 6.3.1.2) "		
"B1298"	"ycjL"	"ycjL probable amidotransferase subunit "	-0.939	-0.479
"B1299"	"ycjC"	"ycjC orf, hypothetical protein "	-0.414	
"B1300"	"aldH"	"aldH aldehyde dehydrogenase, prefers NADP over NAD "		-1.019
"B1301"	"ordL"	"ordL probable oxidoreductase "		0.605
"B1303"	"pspF"	"pspF psp operon transcriptional activator "		
"B1304"	"pspA"	"pspA phage shock protein, inner membrane protein "	-0.177	-0.59
"B1306"	"pspC"	"pspC phage shock protein: activates phage shock-protein expression "		0.194
"B1307"	"pspD"	"pspD phage shock protein "	-0.904	0.983
"B1308"	"pspE"	"pspE phage shock protein "	1.136	-0.583
"B1309"	"ycjM"	"ycjM putative polysaccharide hydrolase "		-1.554
"B1310"	"B1310"	"B1310 putative transport periplasmic protein "		
"B1311"	"ycjO"	"ycjO putative binding-protein dependent transport protein "		0.099
"B1312"	"ycjP"	"ycjP putative transport system permease protein "		
"B1313"	"ycjQ"	"ycjQ putative oxidoreductase "		
"B1315"	"ycjS"	"ycjS putative dehydrogenase "		-0.999
"B1320"	"ycjW"	"ycjW putative LACI-type transcriptional regulator "	-1.432	-1.488
"B1322"	"ycjF"	"ycjF orf, hypothetical protein "		-0.685
"B1323"	"tyrR"	"tyrR transcriptional regulation of aroF, aroG, tyrA and aromatic amino acid transport "	-0.537	0.55
"B1324"	"tpx"	"tpx thiol peroxidase "	3.695	3.713
"B1325"	"ycjG"	"ycjG putative muconate cycloisomerase I (EC 5.5.-.-) "	-0.703	1.075
"B1326"	"ycjI"	"ycjI putative carboxypeptidase "	-0.658	0.63
"B1328"	"ycjZ"	"ycjZ putative transcriptional regulator LYSR-type "		0.279
"B1329"	"B1329"	"B1329 putative transport periplasmic protein "	0.698	-0.558
"B1330"	"B1330"	"B1330 orf, hypothetical protein "		-0.363
"B1331"	"trs5_4"	"trs5_4 IS5 transposase "	-0.647	-0.538
"B1332"	"ynaJ"	"ynaJ orf, hypothetical protein "		
"B1333"	"ydaA"	"ydaA orf, hypothetical protein "		
"B1334"	"fnr"	"fnr transcriptional regulation of aerobic, anaerobic respiration, osmotic balance "		
"B1335"	"ogt"	"ogt O-6-alkylguanine-DNA/cysteine-protein methyltransferase "		
"B1337"	"B1337"	"B1337 orf, hypothetical protein "		
"B1340"	"ydaL"	"ydaL orf, hypothetical protein "		
"B1343"	"dbpA"	"dbpA ATP-dependent RNA helicase "		
"B1344"	"ydaO"	"ydaO orf, hypothetical protein "		0.543
"B1345"	"B1345"	"B1345 putative transposase "		-0.799
"B1347"	"ydaC"	"ydaC orf, hypothetical protein "		-0.533
"B1349"	"recT"	"recT recombinase, DNA renaturation "		0.461
"B1350"	"recE"	"recE exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific "		
"B1351"	"racC"	"racC defective prophage rac; contains recE and oriJ "		4.534
"B1355"	"B1355"	"B1355 orf, hypothetical protein "		-0.014
"B1356"	"ydaR"	"ydaR orf, hypothetical protein "	0.436	1.369
"B1357"	"ydaS"	"ydaS orf, hypothetical protein "		-0.106
"B1360"	"B1360"	"B1360 putative DNA replication factor "		-0.846
