outer membrane lipoprotein	EG12875-MONOMER	((cell wall (sensu Gram-negative Bacteria), CCO-CW-BAC-NEG) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
conserved inner membrane protein	EG11683-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
ribosome-dependent mRNA interferase, toxin of the YafO-YafN toxin-antitoxin system	G6117-MONOMER	
ferrochelatase	PROTOHEME-FERROCHELAT-MONOMER	((cytosol, CCO-CYTOSOL))
MlaC	G7659-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC) (membrane, CCO-MEMBRANE))
scaffolding protein that interacts with murein polymerase and murein hydrolase	G6968-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
predicted lipoprotein	EG11117-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
DLP12 prophage; predicted lipoprotein	MONOMER0-2658	((outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
YhaV toxic endonuclease	G7629-MONOMER	
phosphonate ABC transporter - periplasmic binding protein	PHND-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
putrescine ABC transporter - ATP binding subunit	POTG-MONOMER	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted transcriptional regulator	G7869-MONOMER	
maltose ABC transporter - periplasmic binding protein	MALE-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
protein chain elongation factor EF-Ts	EG11033-MONOMER	((cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
member of SoxR-reducing complex	G6873-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved protein	G6978-MONOMER	
6-phosphofructokinase-1 monomer	6PFK-1-MONOMER	((cytosol, CCO-CYTOSOL))
prolipoprotein signal peptidase II	EG10548-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
fucose:H+ symporter	FUCP-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase	FOLC-MONOMER	((cytosol, CCO-CYTOSOL))
fructose-1-phosphatase	G7408-MONOMER	
conserved protein	EG12336-MONOMER	
HypC, protein involved in hydrogenase 3 maturation	EG10485-MONOMER	
conserved protein	G7852-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
protein induced by aluminum	G7165-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
ribonucleoside hydrolase 2 (pyrimidine-specific)	EG12030-MONOMER	
glyceraldehyde 3-phosphate dehydrogenase-A monomer	GAPDH-A-MONOMER	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
phosphate acetyltransferase monomer	G7288-MONOMER	
predicted protein	G6767-MONOMER	
predicted protein	EG12444-MONOMER	((membrane, CCO-MEMBRANE))
putative ARAC-type regulatory protein	EG11707-MONOMER	
N5-carboxyaminoimidazole ribonucleotide synthetase monomer	PURK-MONOMER	((cytosol, CCO-CYTOSOL))
hypothetical protein	EG11219-MONOMER	
phosphate ABC transporter - ATP binding subunit	PSTB-MONOMER	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	G6601-MONOMER	
vitamin B<sub>12</sub> ABC transporter - periplasmic binding protein	EG12334-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
CP4-6 prophage; predicted DNA-binding transcriptional regulator	G6144-MONOMER	
xanthine:H<sup>+</sup> symporter XanQ	YGFO-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
flagellar biosynthesis protein FlhB	G7028-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
Rac prophage; conserved protein	G6688-MONOMER	
3-(3-hydroxyphenyl)propionate 2-hydroxylase	MHPHYDROXY-MONOMER	
predicted inner membrane protein	G6536-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
partially N-deacetylated poly-&beta;-1,6-N-acetyl-D-glucosamine outer membrane porin	G6531-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
predicted protein	B0899-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted deaminase with metallo-dependent hydrolase domain	G6189-MONOMER	
conserved inner membrane protein	EG11267-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
secretion monitor that regulates SecA translation (General Secretory Pathway)	EG11087-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC) (cytosol, CCO-CYTOSOL))
e14 prophage; site-specific DNA recombinase	EG10737-MONOMER	
CDP-diglyceride synthetase	CDPDIGLYSYN-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	G7884-MONOMER	
CPZ-55 prophage; predicted protein	G7273-MONOMER	
predicted inner membrane protein	G7144-MONOMER	((membrane, CCO-MEMBRANE))
YehW	YEHW-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
ferric dicitrate ABC transporter - membrane subunit	FECD-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
MetR	PD03938	((cytosol, CCO-CYTOSOL))
cysteine desulfurase monomer	G7325-MONOMER	((cytosol, CCO-CYTOSOL))
predicted lipoprotein	EG12874-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved protein	G7252-MONOMER	
conserved protein	G7823-MONOMER	
conserved protein	EG12043-MONOMER	
predicted chlorohydrolase/aminohydrolase	G7498-MONOMER	
putative protein secretion protein for export	G7707-MONOMER	
ADP- sugar pyrophosphatase	EG12633-MONOMER	((cytosol, CCO-CYTOSOL))
QseB-Phosphorylated DNA-binding transcriptional activator	MONOMER0-2741	((cytosol, CCO-CYTOSOL))
KpLE2 phage-like element; predicted integrase	EG12364-MONOMER	
NAD(+) nucleosidase	NADNUCLEOSID-MONOMER	((membrane, CCO-MEMBRANE))
predicted transcriptional regulator	EG11251-MONOMER	
predicted protein	G6184-MONOMER	
RhsB protein in rhs element	EG10847-MONOMER	
inner membrane protein YaaJ	YAAJ-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
translation initiation factor	EG11128-MONOMER	((cytosol, CCO-CYTOSOL))
YjiE transcriptional dual regulator	G7924-MONOMER	
leucine efflux transporter	G6984-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
L-1,2-propanediol oxidoreductase monomer	LACTALDREDUCT-MONOMER	
conserved protein	G6928-MONOMER	
guanine deaminase	G7502-MONOMER	
predicted inner membrane protein	G7355-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
putative metal resistance protein	G6267-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
rhamnulose-1-phosphate aldolase monomer	RHAMNULPALDOL-MONOMER	((cytosol, CCO-CYTOSOL))
nitrite reductase, large subunit	NIRB-MONOMER	((cytosol, CCO-CYTOSOL))
predicted transcriptional regulator	G6796-MONOMER	
23S rRNA pseudouridine synthase	EG12098-MONOMER	((cytosol, CCO-CYTOSOL))
predicted protein	EG11807-MONOMER	((extracellular space, CCO-EXTRACELLULAR))
DNA gyrase, subunit A	EG10423-MONOMER	((bacterial nucleoid, CCO-BAC-NUCLEOID) (cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
universal stress global stress response regulator	EG11390-MONOMER	((cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
3-phenylpropionate dioxygenase, &beta; subunit	HCAA2-MONOMER	
conserved inner membrane protein	G7825-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted transcriptional regulator	EG12624-MONOMER	
hydrogenase 4 component J, putative protein processing element	G7307-MONOMER	
geranyl diphosphate synthase / farnesyl diphosphate synthase	FPPSYN-MONOMER	((cytosol, CCO-CYTOSOL))
ribose 1,5-bisphosphokinase	EG10723-MONOMER	((cytosol, CCO-CYTOSOL))
galactokinase	GALACTOKIN-MONOMER	((cytosol, CCO-CYTOSOL))
membrane-bound lytic murein transglycosylase F	EG11373-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
hyperosmotically inducible periplasmic protein	EG11391-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
c-di-GMP phosphodiesterase	EG12252-MONOMER	
protein phosphatase 1 modulates phosphoproteins, signals protein misfolding	G7011-MONOMER	((cytosol, CCO-CYTOSOL))
predicted outer membrane lipoprotein	G6250-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted oxidoreductase with FAD/NAD(P)-binding domain	EG12229-MONOMER	
30S ribosomal subunit protein S11	EG10910-MONOMER	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
predicted oxidoreductase	G6901-MONOMER	
coproporphyrinogen III dehydrogenase	HEMN-MONOMER	((cytosol, CCO-CYTOSOL))
predicted protein	EG11523-MONOMER	
putative structural protein	EG11126-MONOMER	
bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	ACONITATEDEHYDRB-MONOMER	((cytosol, CCO-CYTOSOL))
RNase D	EG10858-MONOMER	((cytosol, CCO-CYTOSOL))
predicted protein	MONOMER0-2690	
predicted oxidoreductase	G6176-MONOMER	
undecaprenyl pyrophosphate phosphatase [multifunctional]	PGPPHOSPHAB-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
PepT	EG11549-MONOMER	((cytosol, CCO-CYTOSOL))
DLP12 prophage; predicted protein	G6298-MONOMER	
predicted acyltransferase with acyl-CoA N-acyltransferase domain	G7650-MONOMER	
methyl accepting chemotaxis protein II - aspartate sensing	TAR-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
diguanylate cyclase	G6980-MONOMER	
predicted inner membrane protein	EG10042-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
penicillin-binding protein 7	EG12015-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
RNA polymerase, sigma 24 (sigma E) factor	RPOE-MONOMER	((cytosol, CCO-CYTOSOL))
predicted protein	EG12238-MONOMER	
YddR	YDDR-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved inner membrane protein	EG11875-MONOMER	((membrane, CCO-MEMBRANE))
Rac prophage; phage superinfection exclusion protein	EG12154-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
L-lactate dehydrogenase	L-LACTDEHYDROGFMN-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
pyrroline-5-carboxylate reductase monomer	PYRROLINECARBREDUCT-MONOMER	((cytosol, CCO-CYTOSOL))
cytochrome c protein	NAPC-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
putative DNA ligase	EG11524-MONOMER	
predicted fimbrial-like adhesin protein	G7210-MONOMER	((pilus, CCO-PILUS))
acyl-CoA thioesterase	EG11121-MONOMER	
predicted transport protein YnfM	B1596-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
CP4-57 prophage; predicted protein	G7360-MONOMER	
ATP-binding lipopolysaccharide transport protein	EG10613-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
aliphatic sulfonate ABC transporter - membrane subunit	YCBM-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
topoisomerase IV subunit B	EG10687-MONOMER	((bacterial nucleoid, CCO-BAC-NUCLEOID) (cytosol, CCO-CYTOSOL))
Mlc titration factor	G7063-MONOMER	((cytosol, CCO-CYTOSOL))
DLP12 prophage; DNA base-flipping protein	G6303-MONOMER	
hypothetical protein	G6704-MONOMER	
galactarate / glucarate / glycerate:H<sup>+</sup> symporter GudP	B2789-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
cell division protein DedD	EG10218-MONOMER	
conserved protein	EG11830-MONOMER	
conserved inner membrane protein	EG12023-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
Zn<sup>2+</sup> ABC transporter - ATP binding subunit	ZNUC-MONOMER	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved inner membrane protein	EG12333-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
InsAB' transposase	MONOMER0-4229	
conserved inner membrane protein	EG12709-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted invertase fragment	G7383-MONOMER	
CcmH	EG12052-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
ThiD	HMP-P-KIN-MONOMER	
Na<sup>+</sup> / K<sup>+</sup>:H<sup>+</sup> antiporter ChaA	CHAA-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein with nucleoside triphosphate hydrolase domain	G6363-MONOMER	((cytosol, CCO-CYTOSOL))
N-acetylmuramic acid PTS permease - MurP subunit	MONOMER0-5	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
MlaD	EG12799-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
multidrug efflux transporter MdtK	YDHE-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved protein	EG12280-MONOMER	
small toxic polypeptide LdrA	MONOMER0-1601	
predicted structural protein, ethanolamine utilization microcompartment	G7292-MONOMER	
integral membrane protein of SoxR-reducing complex	G6874-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
CPZ-55 prophage; predicted protein	G7277-MONOMER	
CP4-6 prophage; predicted DNA repair protein	G6122-MONOMER	
conserved protein	G7112-MONOMER	
50S ribosomal subunit protein L31	EG10889-MONOMER	((cytosol, CCO-CYTOSOL) (ribosome, CCO-RIBOSOME))
predicted DNA topoisomerase	G7699-MONOMER	
predicted protein	G7479-MONOMER	
citrate lyase, citrate-ACP transferase &alpha; subunit	CITTRANS-MONOMER	((cytosol, CCO-CYTOSOL))
maturation factor for PanD	EG12211-MONOMER	
DnaN	EG10242-MONOMER	((cytosol, CCO-CYTOSOL))
peptidyl-prolyl <i>cis-trans</i> isomerase B (rotamase B)	EG10758-MONOMER	((cytosol, CCO-CYTOSOL))
taurine dioxygenase monomer	MONOMER0-147	((cytosol, CCO-CYTOSOL))
HPr	PTSH-MONOMER	((cytosol, CCO-CYTOSOL))
membrane ATPase of the MinC-MinD-MinE system that regulates septum placement	EG10597-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
RNase E	EG10859-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (cytosol, CCO-CYTOSOL))
predicted regulator of phosphatidylethanolamine synthesis	MONOMER0-1701	
citrate synthase monomer	CITSYN-MONOMER	((membrane, CCO-MEMBRANE) (cytosol, CCO-CYTOSOL))
protein-(glutamine-N5) methyltransferase	EG12424-MONOMER	
conserved inner membrane protein	EG12017-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
putative protein secretion protein	EG12173-MONOMER	((extracellular space, CCO-EXTRACELLULAR) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
protein involved with the maturation of hydrogenases 1 and 2	EG11804-MONOMER	
conserved protein with NAD(P)-binding Rossmann-fold domain	G7196-MONOMER	
hypothetical protein	MONOMER0-2827	
NADH:ubiquinone oxidoreductase, chain G	NUOG-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
fructoselysine 6-phosphate deglycase monomer	G7723-MONOMER	
CP4-6 prophage; IS5 transposase and trans-activator	G7769-MONOMER	
conserved protein	G6324-MONOMER	
CarA	CARBPSYN-SMALL	((cytosol, CCO-CYTOSOL))
NAD(P)H:quinone oxidoreductase	G7868-MONOMER	
GlpK	GLYCEROL-KIN-MONOMER	((cytosol, CCO-CYTOSOL))
pyridoxamine-phosphate transaminase	PYRDAMPTRANS-MONOMER	
ribonucleoside hydrolase 1 (pyrimidine-specific)	G6358-MONOMER	((cytosol, CCO-CYTOSOL))
predicted zinc-dependent peptidase	EG12254-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
phenylacetate-CoA ligase	G6719-MONOMER	
peptide deformylase	EG11440-MONOMER	
UTP--glucose-1-phosphate uridylyltransferase	GLUC1PURIDYLTRANS-MONOMER	((cytosol, CCO-CYTOSOL))
flagellar motor switch protein FliG	FLIG-FLAGELLAR-SWITCH-PROTEIN	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (cell projection, CCO-CELL-PROJECTION))
trehalose PTS permease - TreB subunit	TREB-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	MONOMER0-2696	
SpeA	ARGDECARBOXBIO-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
integration host factor (IHF), &beta; subunit	PD00348	((cytosol, CCO-CYTOSOL))
hydroxymethylbilane synthase	OHMETHYLBILANESYN-MONOMER	((cytosol, CCO-CYTOSOL))
membrane protein	EG10951-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted DNA-binding transcriptional regulator, LysR-type	G6812-MONOMER	
predicted adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase	RIBAZOLEPHOSPHAT-MONOMER	
DNA damage-inducible protein I	G6558-MONOMER	((cytosol, CCO-CYTOSOL))
conserved protein	G6616-MONOMER	
galactofuranose / galactopyranose ABC transporter - putative ATP binding subunit	YTFR-MONOMER	((cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
predicted protein	MONOMER0-2694	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
methionine sulfoxide reductase A	EG11433-MONOMER	((cytosol, CCO-CYTOSOL))
pyridoxamine-oxaloacetate transaminase	PYROXALTRANSAM-MONOMER	
predicted aminoacrylate peracid reductase	G6521-MONOMER	
predicted protein	G6173-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
conserved inner membrane protein	G7060-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	G6982-MONOMER	
putative carrier/transport protein; substrate or modulator of FtsH-mediated proteolysis	EG11113-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
oxidoreductase, predicted membrane anchor subunit	G6848-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted protein	G7667-MONOMER	
Fsa	G6428-MONOMER	((cytosol, CCO-CYTOSOL))
ATPase component of the HslVU protease	EG11881-MONOMER	((cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
MlaA	G7216-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG) (outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM))
predicted cytochrome b561	G6554-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
undecaprenyl pyrophosphate phosphatase	EG11665-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
outer membrane lipoprotein - activator of PBP1A activity	G7642-MONOMER	((outer membrane (sensu Gram-negative Bacteria), CCO-OUTER-MEM) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
lysine / arginine / ornithine ABC transporter / histidine ABC transporter - ATP binding subunit	HISP-MONOMER	((cytosol, CCO-CYTOSOL) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
glutathione ABC transporter - membrane subunit	YLIC-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
23S rRNA m<sup>2</sup>A2503 methyltransferase and tRNA m<sup>2</sup>A37 methyltransferase	EG12401-MONOMER	((cytosol, CCO-CYTOSOL))
PhoA	ALKAPHOSPHA-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
ATP-binding protein with possible role in replication	UUP-MONOMER	((cytosol, CCO-CYTOSOL))
ribosomal silencing factor	EG11255-MONOMER	((cytosol, CCO-CYTOSOL))
2-acylglycerophosphoethanolamine acyltransferase / acyl-ACP synthetase	AAS-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
subunit of E1(0) component of 2-oxoglutarate dehydrogenase	E1O-MONOMER	((cytosol, CCO-CYTOSOL))
cytosine transporter	CODB-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
CPS-53 (KpLE1) prophage; conserved protein	G7223-MONOMER	
CP4-6 prophage; predicted protein	G6147-MONOMER	
maltose / glucose PTS permease - MalX subunit	MALX-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
RhaR transcriptional activator	PD00222	((cytosol, CCO-CYTOSOL))
fumarate reductase membrane protein	FUM-MEMB1	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
50S ribosomal subunit protein L34	EG10892-MONOMER	((ribosome, CCO-RIBOSOME))
UDP-3-O-acyl-N-acetylglucosamine deacetylase	UDPACYLGLCNACDEACETYL-MONOMER	((cytosol, CCO-CYTOSOL))
predicted protein	G6611-MONOMER	
H-NS-like DNA-binding protein with RNA chaperone activity	EG11554-MONOMER	((cytosol, CCO-CYTOSOL))
N-acetylglucosaminyl transferase	NACGLCTRANS-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
conserved protein	G6993-MONOMER	
fatty acid/phospholipid synthesis protein	EG11437-MONOMER	((cytosol, CCO-CYTOSOL))
thiazole synthase	THIG-MONOMER	((cytosol, CCO-CYTOSOL))
ATP-dependent RNA helicase	EG11235-MONOMER	
conserved inner membrane protein	G6975-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
SecF	SECF	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
predicted outer membrane lipoprotein	G7267-MONOMER	
predicted protein with chaperone-like activity	G7763-MONOMER	
palmitoleoyl acyltransferase	PALMITOTRANS-MONOMER	((cell wall (sensu Gram-negative Bacteria), CCO-CW-BAC-NEG) (inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
fructoselysine 6-kinase	G7726-MONOMER	
predicted protein	G7384-MONOMER	
protein involved in maturation of YcdX	G6541-MONOMER	
MarA DNA-binding transcriptional dual regulator	PD00365	((cytosol, CCO-CYTOSOL))
glycerol-3-phosphate dehydrogenase	GLYC3PDEHYDROGBIOSYN-MONOMER	((cytosol, CCO-CYTOSOL))
ATP-dependent dsDNA exonuclease	EG11094-MONOMER	((cytosol, CCO-CYTOSOL))
dihydrofolate reductase	DIHYDROFOLATEREDUCT-MONOMER	
predicted protein	G6563-MONOMER	
RcdA DNA-binding transcriptional regulator	G6444-MONOMER	
isopentenyl-adenosine A37 tRNA methylthiolase MiaB	G6364-MONOMER	((cytosol, CCO-CYTOSOL))
predicted DNA-binding transcriptional regulator	G6919-MONOMER	
GlrR DNA-binding transcriptional activator	EG11285-MONOMER	((cytosol, CCO-CYTOSOL))
conserved inner membrane protein	G7927-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
fused predicted oxidoreductase, Fe-S subunit and nucleotide-binding subunit	G7506-MONOMER	
leader peptidase, integral membrane protein	EG11359-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
branched chain amino acid ABC transporter - periplasmic binding protein	LIVJ-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
conserved protein	G7261-MONOMER	
conserved protein	G6809-MONOMER	
conserved protein	EG12021-MONOMER	
putative fimbrial chaperone	G6386-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
ferric enterobactin ABC transporter - periplasmic binding protein	FEPB-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
fused predicted transporter subunits of ABC superfamily: ATP-binding components	YHES-MONOMER	((cytosol, CCO-CYTOSOL))
regulator of RpoS	EG12121-MONOMER	((cytosol, CCO-CYTOSOL))
homocysteine methyltransferase	MMUM-MONOMER	
predicted protein	G6994-MONOMER	
Qin prophage; predicted protein	G6822-MONOMER	
predicted transcriptional regulator with ankyrin domain	G6183-MONOMER	
attaching and effacing protein homolog, pathogenesis factor	EG12161-MONOMER	
GDP-mannose 4,6-dehydratase	GDPMANDEHYDRA-MONOMER	((cytosol, CCO-CYTOSOL))
predicted CoA transferase, NAD(P)-binding	G7234-MONOMER	
glutathione reductase (NADPH)	GLUTATHIONE-REDUCT-NADPH-MONOMER	((cytosol, CCO-CYTOSOL) (membrane, CCO-MEMBRANE))
predicted protein	EG11769-MONOMER	
conserved protein	G7169-MONOMER	
putative lipoprotein; predicted DNA-binding transcriptional regulator	G7484-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
tRNA m<sup>5</sup>U54 methyltransferase	EG11022-MONOMER	((cytosol, CCO-CYTOSOL))
Rac prophage; IS5 transposase and trans-activator	G6693-MONOMER	
tRNA pseudouridine 55 synthase	EG11177-MONOMER	((cytosol, CCO-CYTOSOL))
inner membrane protein associated with the ribosome	G7612-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
2-hydroxyglutarate synthase	HYDGLUTSYN-MONOMER	
hexose-6-phosphate:phosphate antiporter	UHPT-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
protein chain elongation factor EF-P, &beta;-lysyl-Lys34	MONOMER0-4200	
SrmB, DEAD-box RNA helicase	EG10975-MONOMER	((cytosol, CCO-CYTOSOL))
alkanesulfonate monooxygenase	MONOMER-162	
predicted protein	G7461-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
peptidase D	EG10695-MONOMER	((cytosol, CCO-CYTOSOL))
predicted transcriptional accessory protein	G7746-MONOMER	
predicted hydrolase	G7131-MONOMER	
arginine ABC transporter - periplasmic binding protein	ARTJ-MONOMER	((periplasmic space (sensu Gram-negative Bacteria), CCO-PERI-BAC))
YbhI DASS Transporter	B0770-MONOMER	((inner membrane (sensu Gram-negative Bacteria), CCO-PM-BAC-NEG))
