"Object ID"	"Polypeptides"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"EG11334-MONOMER"	EG11334-MONOMER	"LigB" // "YicF"	63.179
"EG11068-MONOMER"	EG11068-MONOMER	"Vsr"	18.016 // 18
"EG10624-MONOMER"	EG10624-MONOMER	"Prv" // "MutR" // "MutH"	25.527
"EG11281-MONOMER"	EG11281-MONOMER	"MutL"	67.924
"EG10625-MONOMER"	EG10625-MONOMER	"Plm" // "Ant" // "Fdv" // "MutS"	95.247 // 97.0
"EG10037-MONOMER"	EG10037-MONOMER	"AidD" // "AlkB" // "&alpha;-ketoglutarate-dependent dioxygenase" // "alkyladenine-DNA dioxygenase"	24.076 // 27
"EG10746-MONOMER"	EG10746-MONOMER	"ResA" // "PolA" // "DNA polymerase I, 5' --> 3' polymerase, 5' --> 3' and 3' --> 5' exonuclease"	103.118
"EG10747-MONOMER"	EG10747-MONOMER	"DinA" // "PolB"	90.052
"EG10238-MONOMER"	EG10238-MONOMER	"SdgC" // "PolC" // "DnaE"	129.904
"EG11413-MONOMER"	EG11413-MONOMER	"HolC"	16.633
"EG11412-MONOMER"	EG11412-MONOMER	"HolA"	38.704
"EG11500-MONOMER"	EG11500-MONOMER	"HolB" // "DNA polymerase III, &delta; prime subunit"	36.937
"EG10243-MONOMER"	EG10243-MONOMER	"MutD" // "DnaQ"	27.099
"MONOMER0-2383"	MONOMER0-2383	"DnaZ" // "DnaX"	47.545
"EG11414-MONOMER"	EG11414-MONOMER	"HolD"	15.174
"EG10245-MONOMER"	EG10245-MONOMER	"DnaZ" // "DnaX" // "DNA elongation factor III"	71.138
"EG11505-MONOMER"	EG11505-MONOMER	"HolE"	8.846 // 10.0
"G6115-MONOMER"	G6115-MONOMER	"DinB" // "DinP" // "PolIV" // "DNA polymerase IV (Y-family DNA polymerase; translesion DNA synthesis)"	39.516
"EG11056-MONOMER"	EG11056-MONOMER	"Uvm" // "UmuC"	47.68 // 45
"EG11057-MONOMER"	EG11057-MONOMER	"UmuD"	15.063 // 18
"EG10239-MONOMER"	EG10239-MONOMER	"SdgA" // "ParB" // "DnaP" // "DnaG"	65.565
"EG11296-MONOMER"	EG11296-MONOMER	"RadA" // "Sms"	49.472 // 55
"EG10823-MONOMER"	EG10823-MONOMER	"Tif" // "UmuB" // "Zab" // "Srf" // "RnmB" // "RecH" // "LexB" // "RecA" // "DNA strand exchange and recombination protein with protease and nuclease activity"	37.973
"EG10828-MONOMER"	EG10828-MONOMER	"UvrF" // "RecF"	40.514
"EG10831-MONOMER"	EG10831-MONOMER	"RadB" // "RecN"	61.396 // 62
"EG10832-MONOMER"	EG10832-MONOMER	"RecO"	27.391
"EG10834-MONOMER"	EG10834-MONOMER	"RecR"	21.963
"EG11111-MONOMER"	EG11111-MONOMER	"YbjA" // "CspH" // "CspD"	7.969
"EG10237-MONOMER"	EG10237-MONOMER	"DnaD" // "DnaC" // "chromosome replication; initiation and chain elongation"	27.935
"EG11038-MONOMER"	EG11038-MONOMER	"Tau" // "Tus" // "ter-binding protein" // "TBP" // "DNA-binding protein; inhibition of replication at Ter sites"	35.783 // 36
"EG11013-MONOMER"	EG11013-MONOMER	"SupX" // "TopA" // "Topo I" // "DNA topoisomerase I (&omega; protein)"	97.35
"EG11014-MONOMER"	EG11014-MONOMER	"MutR" // "TopB" // "Topo III"	73.217
"EG10686-MONOMER"	EG10686-MONOMER	"ParC" // "DNA topoisomerase 4 subunit A"	83.831
"EG10687-MONOMER"	EG10687-MONOMER	"NfxD" // "ParE"	70.244
"G7739-MONOMER"	G7739-MONOMER	"HofM" // "YrfD" // "protein involved in utilization of DNA as a carbon source"	29.0
"G7738-MONOMER"	G7738-MONOMER	"HofN" // "YrfC" // "protein involved in utilization of DNA as a carbon source"	20.796
"G7737-MONOMER"	G7737-MONOMER	"HofO" // "YrfB" // "protein involved in utilization of DNA as a carbon source"	16.846
"G7736-MONOMER"	G7736-MONOMER	"HofP" // "YrfA" // "protein involved in utilization of DNA as a carbon source"	15.098
"EG12113-MONOMER"	EG12113-MONOMER	"HopQ" // "HofQ" // "protein involved in utilization of DNA as a carbon source"	44.716
"G7747-MONOMER"	G7747-MONOMER	"YhgH" // "GntX" // "protein involved in utilization of DNA as a carbon source"	25.726
"EG11222-MONOMER"	EG11222-MONOMER	"AidA" // "AlkA" // "3-methyl-adenine DNA glycosylase II, inducible"	31.393
"EG10466-MONOMER"	EG10466-MONOMER	"HupA" // "transcriptional dual regulator HU-&alpha; (HU-2)"	9.535
"EG10467-MONOMER"	EG10467-MONOMER	"DpeA" // "HopD" // "DbhB" // "HupB" // "transcriptional dual regulator HU-&beta;, NS1 (HU-1)"	9.226
"EG11966-MONOMER"	EG11966-MONOMER	"AdiY"	29.007
"G6274-MONOMER"	G6274-MONOMER	"AllS" // "YbbS" // "GlxA1"	34.512
"PD00967"	PD00967	"AppY"	28.763
"BAER-MONOMER"	BAER-MONOMER	"BaeR" // "BaeR response regulator"	27.656
"EG12006-MONOMER"	EG12006-MONOMER	"BtsR" // "YehT"	27.4
"PD00436"	PD00436	"CadC"	57.813
"G6088-MONOMER"	G6088-MONOMER	"CaiF"	15.436
"G7071-MONOMER"	G7071-MONOMER	"Cbl"	35.856
"EG12335-MONOMER"	EG12335-MONOMER	"SdaR" // "CdaR" // "YaeG"	43.687
"PD03695"	PD03695	"CspA" // "major cold shock protein 7.4" // "CS7.4" // "F10.6" // "cold shock protein CspA"	7.403 // 7.4
"G6319-MONOMER"	G6319-MONOMER	"YlcA" // "CusR response regulator"	25.394
"DCUR-MONOMER"	DCUR-MONOMER	"YjdG" // "DcuR response regulator" // "DcuR"	27.488
"G6247-MONOMER"	G6247-MONOMER	"DecR" // "YbaO"	17.437
"PD00969"	PD00969	"EnvY" // "envelope protein; thermoregulation of porin biosynthesis"	29.019
"EVGA-MONOMER"	EVGA-MONOMER	"EvgA response regulator"	22.69
"G6706-MONOMER"	G6706-MONOMER	"MaoX" // "YdbM" // "MaoB" // "FeaR"	34.62
"PD02936"	PD02936	"Fhl" // "FhlA" // "formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons"	78.468
"PD00444"	PD00444	"FucR"	27.362
"EG11544-MONOMER"	EG11544-MONOMER	"YhiT" // "YhiE" // "GadE" // "acid-responsive regulator of gadA and gadBC"	20.599
"EG11285-MONOMER"	EG11285-MONOMER	"QseF" // "YfhA" // "GlrR" // "GlrR response regulator"	49.148
"PD00345"	PD00345	"GutM" // "SrlM" // "Gut"	12.953
"G7308-MONOMER"	G7308-MONOMER	"HyfR"	75.305
"KDPE-MONOMER"	KDPE-MONOMER	"KdpE response regulator" // "KdpE transcriptional activator"	25.362
"PD00237"	PD00237	"MalA" // "MalT"	103.118
"G6201-MONOMER"	G6201-MONOMER	"MhpR"	31.322
"EG12008-MONOMER"	EG12008-MONOMER	"MlrA" // "YehV"	28.046
"PD00474"	PD00474	"YaaB" // "AntO" // "NhaR"	34.284
"G7575-MONOMER"	G7575-MONOMER	"YgiX" // "QseB" // "QseB response regulator"	24.678
"G6175-MONOMER"	G6175-MONOMER	"RclR" // "YkgD"	31.474
"PD02233"	PD02233	"CpsR" // "RcsA" // "positive regulator of capsular polysaccharide synthesis" // "positive DNA-binding transcriptional regulator of capsular polysaccharide synthesis, activates its own expression"	23.516
"RCSB-MONOMER"	RCSB-MONOMER	"RcsB response regulator" // "RcsB"	23.671
"PD00222"	PD00222	"RhaR"	32.373
"PD00221"	PD00221	"RhaS"	32.315
"EG12356-MONOMER"	EG12356-MONOMER	"YhgB" // "RtcR"	60.299
"PD00268"	PD00268	"TdcA" // "transcriptional activator of tdc operon"	34.539
"PD03292"	PD03292	"TdcR" // "threonine dehydratase operon activator protein"	8.608
"EG12694-MONOMER"	EG12694-MONOMER	"Dan" // "TtdR" // "YgiP"	35.315
"UHPA-MONOMER"	UHPA-MONOMER	"UhpA response regulator" // "UhpA"	20.889
"EG11140-MONOMER"	EG11140-MONOMER	"YecB" // "UvrY" // "UvrY response regulator"	23.893
"EG11146-MONOMER"	EG11146-MONOMER	"YfeB" // "PndR" // "XapR"	33.627
"G7619-MONOMER"	G7619-MONOMER	"YhaJ"	33.256
"G7244-MONOMER"	G7244-MONOMER	"YpdB"	28.721
"G7563-MONOMER"	G7563-MONOMER	"YqhC"	35.957
"EG11969-MONOMER"	EG11969-MONOMER	"YhdM" // "ZntR"	16.179
"HYDG-MONOMER"	HYDG-MONOMER	"HydG" // "ZraR response regulator"	48.395
"EG11236-MONOMER"	EG11236-MONOMER	"PdeL" // "YahA"	40.725
"ATOC-MONOMER"	ATOC-MONOMER	"AtoC" // "AtoC response regulator" // "AtoC transcriptional activator; Az protein inhibitor of ODC"	52.176
"PD00230"	PD00230	"Ada"	39.324 // 39.0
"PD00242"	PD00242	"AraC"	33.384
"ARCA-MONOMER"	ARCA-MONOMER	"CpxC" // "Dye" // "FexA" // "Msp" // "Seg" // "SfrA" // "ArcA" // "dye resistance protein" // "ArcA response regulator"	27.292
"EG10490-MONOMER"	EG10490-MONOMER	"ArgP" // "IciA"	33.472
"PD00194"	PD00194	"XerA" // "ArgR"	16.994
"PD00250"	PD00250	"AsnC"	16.888
"BASR-MONOMER"	BASR-MONOMER	"PmrA" // "BasR" // "BasR response regulator"	25.031
"EG10125-MONOMER"	EG10125-MONOMER	"BolA"	11.994
"EG12406-MONOMER"	EG12406-MONOMER	"CecR" // "YbiH"	25.017
"EG10143-MONOMER"	EG10143-MONOMER	"ChbR" // "CelD"	32.968
"CPXR-MONOMER"	CPXR-MONOMER	"YiiA" // "CpxR" // "CpxR response regulator"	26.312
"PD00521"	PD00521	"Shl" // "FruC" // "FruR" // "Cra"	37.999
"PD00257"	PD00257	"GurB" // "Csm" // "Cap" // "Crp"	23.64
"PD01379"	PD01379	"CsgD"	24.935
"G6263-MONOMER"	G6263-MONOMER	"YbbI" // "CueR" // "CopR"	15.235
"PD00291"	PD00291	"CynR"	32.961
"PD00232"	PD00232	"positive transcriptional regulator for cysteine regulon" // "CysB"	36.15
"G6628-MONOMER"	G6628-MONOMER	"YcgU" // "DhaR"	70.562
"EG10226-MONOMER"	EG10226-MONOMER	"FtsT" // "DicA"	15.656
"G6346-MONOMER"	G6346-MONOMER	"DpiA" // "MpdA" // "CriR" // "CitB" // "DpiA response regulator"	25.453
"PD00297"	PD00297	"DsdC"	35.332
"PD01520"	PD01520	"Ole" // "Dec" // "ThdB" // "OleR" // "FadR"	26.969
"PD00196"	PD00196	"Nbp" // "site-specific DNA inversion stimulation factor" // "Fis"	11.24
"MONOMER0-2488"	MONOMER0-2488	"FlaI" // "FlhC"	21.566 // 22
"EG10320-MONOMER"	EG10320-MONOMER	"FlbB" // "FlhD"	13.316 // 13
"PD00197"	PD00197	"OssA" // "NirR" // "NirA" // "OxrA" // "Fnr"	27.967 // 28.0d0 // 30.0d0 // 31.0d0
"PD00260"	PD00260	"Fur"	16.795
"EG12242-MONOMER"	EG12242-MONOMER	"YhiW" // "GadW"	28.028
"EG12243-MONOMER"	EG12243-MONOMER	"YhiX" // "GadX"	31.562
"PD03028"	PD03028	"GalR"	37.094
"PD00261"	PD00261	"MglD" // "GalS"	37.357
"PD00339"	PD00339	"GcvA" // "positive regulator of gcv operon"	34.402
"G7546-MONOMER"	G7546-MONOMER	"YghN" // "GlcC"	28.826
"PD00288"	PD00288	"Irk" // "MsyA" // "PilG" // "TopS" // "TopX" // "VirR" // "Drs" // "Drc" // "Cur" // "Hns" // "FimG" // "DrdX" // "BglY" // "HnsA" // "DNA-binding protein HLP-II (HU, BH2, HD, NS)" // "OsmZ" // "H-NS"	15.54
"G7331-MONOMER"	G7331-MONOMER	"PhdR" // "HcaR" // "YfhT"	32.838
"EG11449-MONOMER"	EG11449-MONOMER	"YifA" // "HdfR" // "YifD"	31.746
"G7057-MONOMER"	G7057-MONOMER	"YedW"	25.018
"G7924-MONOMER"	G7924-MONOMER	"HypT" // "QseD" // "YjiE"	34.711
"G7891-MONOMER"	G7891-MONOMER	"GntH" // "YjgS" // "IdnR"	37.567
"PD00200"	PD00200	"IlvY" // "positive regulator for ilvC"	33.204
"G7326-MONOMER"	G7326-MONOMER	"IscR" // "YfhP"	17.337
"PD00519"	PD00519	"LeuO"	35.695
"EG11962-MONOMER"	EG11962-MONOMER	"Lct" // "LldR" // "LctR"	29.166
"EG12123-MONOMER"	EG12123-MONOMER	"GenR" // "LrhA"	34.594
"PD00353"	PD00353	"LstR" // "Mbf" // "OppI" // "RblA" // "Lss" // "Lrs" // "Ihb" // "Lrp" // "LivR" // "AlsB"	18.887
"PD00360"	PD00360	"LysR" // "positive regulator for lys"	34.365
"PD00365"	PD00365	"CfxB" // "InaR" // "NorB" // "SoxQ" // "NfxC" // "MarA"	15.184
"G6165-MONOMER"	G6165-MONOMER	"EcpR" // "YkgK" // "MatA"	23.274
"G6761-MONOMER"	G6761-MONOMER	"YncC" // "McbR"	25.151
"PD00208"	PD00208	"MelR"	34.928
"PD03938"	PD03938	"MetR"	35.629
"G6420-MONOMER"	G6420-MONOMER	"MntR" // "YbiQ"	17.64
"MONOMER0-185"	MONOMER0-185	"ModR" // "ChlD" // "ModE-MoO<sub>4</sub><sup>2-</sup>" // "ModE"	28.281
"G7262-MONOMER"	G7262-MONOMER	"YfeT" // "MurR"	31.192
"G7072-MONOMER"	G7072-MONOMER	"Nac"	32.835
"PD00266"	PD00266	"NagR" // "NagC" // "transcriptional repressor of nag (N-acetylglucosamine) operon"	44.541
"G7678-MONOMER"	G7678-MONOMER	"YhcK" // "NanR"	29.524
"NARL-MONOMER"	NARL-MONOMER	"NarR" // "NarL" // "nitrate/nitrite response regulator NarL" // "FrdR"	23.927
"NARP-MONOMER"	NARP-MONOMER	"NarP" // "nitrate/nitrite response regulator NarP"	23.575
"EG12108-MONOMER"	EG12108-MONOMER	"NorR" // "YgaA"	55.236
"PROTEIN-NRI"	PROTEIN-NRI	"GlnT" // "GlnG" // "NtrC" // "NtrC response regulator"	52.255
"OMPR-MONOMER"	OMPR-MONOMER	"OmpR" // "Kmt" // "Cry" // "OmpB" // "OmpR response regulator"	27.354
"PD00214"	PD00214	"Mor" // "MomR" // "OxyR" // "bifunctional regulatory protein sensor for oxidative stress"	34.276
"EG11088-MONOMER"	EG11088-MONOMER	"YacB" // "GenA" // "PdhR" // "AceC"	29.425
"PHOB-MONOMER"	PHOB-MONOMER	"PhoB" // "PhoT" // "PhoB response regulator"	26.433
"PHOP-MONOMER"	PHOP-MONOMER	"PhoP" // "PhoP response regulator"	25.535
"G6195-MONOMER"	G6195-MONOMER	"YahP" // "PrpR"	58.649
"EG12344-MONOMER"	EG12344-MONOMER	"YcjB" // "PspF"	36.986 // 37
"PD03867"	PD03867	"RbsR" // "regulator for rbs operon"	36.612
"PD04418"	PD04418	"RobA" // "CbpB" // "Rob" // "right origin-binding protein"	33.145
"PD01352"	PD01352	"YcdC" // "RutR"	23.688
"PD02198"	PD02198	"SdiA"	28.117
"EG12094-MONOMER"	EG12094-MONOMER	"YabN" // "SgrR"	63.975
"G6882-MONOMER"	G6882-MONOMER	"SlyA"	16.353
"PD04132"	PD04132	"MarC" // "SoxR"	17.15
"PD00406"	PD00406	"SoxS" // "regulation of superoxide response regulon"	12.911
"G6745-MONOMER"	G6745-MONOMER	"SutR" // "YdcN"	19.731
"TORR-MONOMER"	TORR-MONOMER	"TorR response regulator" // "TorR"	26.233
"PD00413"	PD00413	"TyrR"	57.656
"EG20253-MONOMER"	EG20253-MONOMER	"XylR"	44.869
"G6789-MONOMER"	G6789-MONOMER	"YdeO"	28.725
"G7948-MONOMER"	G7948-MONOMER	"YjjR" // "BglJ"	25.622
"CREB-MONOMER"	CREB-MONOMER	"CreB" // "YjjE" // "CreB response regulator"	26.125
"G6985-MONOMER"	G6985-MONOMER	"YeaT" // "DmlR"	34.631
"EG11356-MONOMER"	EG11356-MONOMER	"YedH" // "FliZ"	21.658
"G6444-MONOMER"	G6444-MONOMER	"RcdA" // "YbjK"	20.307
"RSTA-MONOMER"	RSTA-MONOMER	"UrpT" // "RstA" // "RstA response regulator"	26.704
"EG12116-MONOMER"	EG12116-MONOMER	"YbaH" // "AcrR"	24.767
"G7630-MONOMER"	G7630-MONOMER	"YhaW" // "AgaR"	29.572
"G6276-MONOMER"	G6276-MONOMER	"YbbU" // "AllR"	29.27
"G7821-MONOMER"	G7821-MONOMER	"AlsR" // "YjcY" // "RpiR"	32.362
"EG12235-MONOMER"	EG12235-MONOMER	"ArsE" // "ArsR"	13.253
"EG10087-MONOMER"	EG10087-MONOMER	"Sac" // "AscG"	36.813
"PD00251"	PD00251	"BetI"	21.815
"G6602-MONOMER"	G6602-MONOMER	"BluR" // "YcgE"	28.264
"G6569-MONOMER"	G6569-MONOMER	"ComR" // "YcfQ"	23.362
"EG12386-MONOMER"	EG12386-MONOMER	"CsiR" // "YgaE" // "GabC"	24.991
"PD04028"	PD04028	"CytR"	37.82
"PD01196"	PD01196	"NucR" // "DeoR" // "transcriptional repressor for deo operon, tsx, nupG"	28.548
"PD03254"	PD03254	"EbgR"	36.21
"EG11741-MONOMER"	EG11741-MONOMER	"YhdK" // "AcrS" // "EnvR"	25.198
"PD03270"	PD03270	"ExuR" // "negative regulator of exu regulon, exuT, uxaAC, and uxuB"	29.836
"EG11394-MONOMER"	EG11394-MONOMER	"FabR" // "YijC"	26.553
"G6209-MONOMER"	G6209-MONOMER	"YaiN" // "FrmR"	10.318
"PD00338"	PD00338	"GatR" // "split galactitol utilization operon repressor, fragment 2" // "GatR_2"	12.403
"PD03576"	PD03576	"GlpR"	28.048
"PD03585"	PD03585	"GntR"	36.422
"PD04099"	PD04099	"IclR"	29.739
"G7003-MONOMER"	G7003-MONOMER	"YebP" // "KdgR"	30.029
"PD00763"	PD00763	"LacI" // "transcriptional repressor of the lac operon"	38.59
"PD00205"	PD00205	"Tsl" // "Spr" // "UmuA" // "ExrA" // "LexA"	22.358
"G6799-MONOMER"	G6799-MONOMER	"YdeW" // "LsrR"	33.797
"PD00361"	PD00361	"MalI"	36.625
"PD00364"	PD00364	"SoxQ" // "InaR" // "CfxB" // "MarR"	16.065
"PD04032"	PD04032	"MetJ"	12.141
"PD01896"	PD01896	"Mlc" // "DgsA"	44.316
"PD01103"	PD01103	"YbgB" // "FarR" // "MngR"	28.273
"EG10603-MONOMER"	EG10603-MONOMER	"MprA" // "EmrR"	20.563
"EG11084-MONOMER"	EG11084-MONOMER	"YabB" // "MraZ"	17.386 // 17.3
"G6889-MONOMER"	G6889-MONOMER	"YdhM" // "NemR"	22.275
"EG11519-MONOMER"	EG11519-MONOMER	"YhhG" // "NikR"	15.094
"G6976-MONOMER"	G6976-MONOMER	"NimR" // "YeaM"	30.553
"EG11212-MONOMER"	EG11212-MONOMER	"YjeB" // "NsrR"	15.593
"G6720-MONOMER"	G6720-MONOMER	"YdbY" // "PaaX"	35.295
"G6664-MONOMER"	G6664-MONOMER	"PgrR" // "YcjZ"	33.482
"PD00219"	PD00219	"PurR"	38.175 // 38.0
"EG12431-MONOMER"	EG12431-MONOMER	"YcjC" // "PuuR"	20.092
"G7137-MONOMER"	G7137-MONOMER	"YohL" // "RcnR"	10.134
"PD00283"	PD00283	"GutR" // "SrlR"	28.236
"EG12202-MONOMER"	EG12202-MONOMER	"TreR"	34.531
"PD00423"	PD00423	"RtrY" // "TrpR"	12.355
"G6867-MONOMER"	G6867-MONOMER	"GusR" // "UidR"	21.799
"G7854-MONOMER"	G7854-MONOMER	"UlaR" // "YjfQ"	27.602
"EG20249-MONOMER"	EG20249-MONOMER	"UxuR"	29.308
"G6814-MONOMER"	G6814-MONOMER	"YdfH"	26.565
"EG12860-MONOMER"	EG12860-MONOMER	"YebK"	31.976
"G7573-MONOMER"	G7573-MONOMER	"YgiV"	17.827
"EG12278-MONOMER"	EG12278-MONOMER	"YiaJ"	31.067
"G7947-MONOMER"	G7947-MONOMER	"YjjQ"	27.032
"G7594-MONOMER"	G7594-MONOMER	"YqjI"	23.401
"EG11929-MONOMER"	EG11929-MONOMER	"ZnuR" // "YjbK" // "Zur"	19.254 // 19
"BIOTINLIG-MONOMER"	BIOTINLIG-MONOMER	"BirA" // "BioR" // "DhbB" // "biotin-[acetylCoA carboxylase] holoenzyme synthetase and biotin operon repressor"	35.312
"PD04413"	PD04413	"NadI" // "NadR"	47.346 // 45.0
"EG10211-MONOMER"	EG10211-MONOMER	"Mec" // "Dcm"	53.465
"EG10329-MONOMER"	EG10329-MONOMER	"Fpg" // "MutM"	30.29 // 31.0
"EG11336-MONOMER"	EG11336-MONOMER	"EndA"	26.709 // 25.0
"YRAO-MONOMER"	YRAO-MONOMER	"YraO" // "DiaA"	21.106
"FADB-MONOMER"	FADB-MONOMER	"OldB" // "FadB"	79.594
"G7615-MONOMER"	G7615-MONOMER	"YqjF"	14.102
"DSBG-MONOMER"	DSBG-MONOMER	"YbdP" // "DsbG"	27.495
"EG12404-MONOMER"	EG12404-MONOMER	"YchN"	12.693
"TDPFUCACTRANS-MONOMER"	TDPFUCACTRANS-MONOMER	"Rff" // "YifH" // "RffC" // "WecD"	24.22
"RFFTRANS-MONOMER"	RFFTRANS-MONOMER	"Rff" // "YifI" // "RffA" // "FcnA" // "WecE"	41.901
"DTDPDEHYDRHAMEPIM-MONOMER"	DTDPDEHYDRHAMEPIM-MONOMER	"RfbD" // "RfbC" // "RmlC"	21.27
"DTDPDEHYRHAMREDUCT-MONOMER"	DTDPDEHYRHAMREDUCT-MONOMER	"RfbD" // "RmlD"	32.694
"DTDPGLUCDEHYDRAT-MONOMER"	DTDPGLUCDEHYDRAT-MONOMER	"RmlB" // "Som" // "RfbB"	40.558
"DTDPGLUCDEHYDRAT2-MONOMER"	DTDPGLUCDEHYDRAT2-MONOMER	"Rff" // "RffG"	39.754
"DTDPGLUCOSEPP-MONOMER"	DTDPGLUCOSEPP-MONOMER	"Som" // "RfbA" // "RmlA"	32.694
"DTDPGLUCOSEPP2-MONOMER"	DTDPGLUCOSEPP2-MONOMER	"YifG" // "RffH"	32.734
"DTMPKI-MONOMER"	DTMPKI-MONOMER	"YcfG" // "Tmk"	23.783
"G7674-MONOMER"	G7674-MONOMER	"YhcG"	43.293
"G7611-MONOMER"	G7611-MONOMER	"YqjC"	13.906
"G7872-MONOMER"	G7872-MONOMER	"YtfK"	8.072
"G7673-MONOMER"	G7673-MONOMER	"YhcF" // "putative transcriptional regulator"	24.9
"G7267-MONOMER"	G7267-MONOMER	"YfeY"	20.898
"EG12212-MONOMER"	EG12212-MONOMER	"YhhL"	10.252
"G6325-MONOMER"	G6325-MONOMER	"YbdJ"	9.403
"G6844-MONOMER"	G6844-MONOMER	"YnfD"	10.477
"G7295-MONOMER"	G7295-MONOMER	"YpfG"	38.746
"EG11164-MONOMER"	EG11164-MONOMER	"YgiB"	23.479
"G7850-MONOMER"	G7850-MONOMER	"YjfM"	23.352
"EG12704-MONOMER"	EG12704-MONOMER	"YggM"	38.459
"G7580-MONOMER"	G7580-MONOMER	"YzzH" // "YqiB"	16.548
"G6352-MONOMER"	G6352-MONOMER	"YbeR"	27.736
"G6355-MONOMER"	G6355-MONOMER	"YbeU"	27.022
"G6956-MONOMER"	G6956-MONOMER	"YnjI"	40.346
"G6841-MONOMER"	G6841-MONOMER	"YnfB"	12.909
"EG12004-MONOMER"	EG12004-MONOMER	"YehR"	16.594
"MONOMER0-2697"	MONOMER0-2697	"YtjA"	5.536
"G6738-MONOMER"	G6738-MONOMER	"YdcJ"	51.043
"EG12689-MONOMER"	EG12689-MONOMER	"YceK"	8.443
"EG11712-MONOMER"	EG11712-MONOMER	"EcfI" // "YidQ"	11.826
"EG12043-MONOMER"	EG12043-MONOMER	"YejL"	8.288
"EG12842-MONOMER"	EG12842-MONOMER	"YbjC"	10.521
"G6564-MONOMER"	G6564-MONOMER	"YcfL"	13.981
"EG11874-MONOMER"	EG11874-MONOMER	"YiiQ"	21.763
"G6570-MONOMER"	G6570-MONOMER	"ComC" // "YcfR" // "BhsA" // "outer membrane protein involved in copper permeability, stress resistance and biofilm formation"	8.815
"G6415-MONOMER"	G6415-MONOMER	"YbiM" // "McbA" // "protein involved in colanic acid production"	8.896
"G6173-MONOMER"	G6173-MONOMER	"RclB" // "YkgI" // "putative protein, hypochlorite stress response"	8.472
"G6194-MONOMER"	G6194-MONOMER	"YahO"	9.895
"EG12422-MONOMER"	EG12422-MONOMER	"YbiJ"	8.568
"G6860-MONOMER"	G6860-MONOMER	"YdgH"	33.903
"G7861-MONOMER"	G7861-MONOMER	"YjfY"	10.149
"G7852-MONOMER"	G7852-MONOMER	"YjfO" // "BsmA"	12.038
"G7683-MONOMER"	G7683-MONOMER	"YhcN"	9.196
"G6424-MONOMER"	G6424-MONOMER	"YbiU"	47.329
"EG11917-MONOMER"	EG11917-MONOMER	"YjaH"	26.317
"G6955-MONOMER"	G6955-MONOMER	"YnjH"	9.947
"G7117-MONOMER"	G7117-MONOMER	"YegP"	12.024
"G6178-MONOMER"	G6178-MONOMER	"YkgG"	25.213
"G7687-MONOMER"	G7687-MONOMER	"AaeX" // "YhcR"	7.847
"G6883-MONOMER"	G6883-MONOMER	"YdhI"	8.891
"EG11119-MONOMER"	EG11119-MONOMER	"YceD" // "G30K"	19.315 // 30.0
"G7524-MONOMER"	G7524-MONOMER	"YqgE"	20.686
"G6982-MONOMER"	G6982-MONOMER	"YoaG"	6.608
"G6915-MONOMER"	G6915-MONOMER	"YdiL"	13.929
"G6994-MONOMER"	G6994-MONOMER	"YoaC"	10.835
"G6983-MONOMER"	G6983-MONOMER	"YeaR"	13.611
"G6498-MONOMER"	G6498-MONOMER	"YccT"	24.594
"G6207-MONOMER"	G6207-MONOMER	"YaiL" // "nucleoprotein/polynucleotide-associated enzyme"	19.923
"G7844-MONOMER"	G7844-MONOMER	"YjeT"	7.166
"EG12025-MONOMER"	EG12025-MONOMER	"YeiF" // "SanA"	27.287 // 23
"EG12110-MONOMER"	EG12110-MONOMER	"YdcF"	29.706
"G7605-MONOMER"	G7605-MONOMER	"YgjQ"	25.48
"G6636-MONOMER"	G6636-MONOMER	"YciP" // "YciQ"	71.289
"EG11462-MONOMER"	EG11462-MONOMER	"YigE"	27.908
"MONOMER0-2688"	MONOMER0-2688	"YheV"	7.599
"G7036-MONOMER"	G7036-MONOMER	"YecH"	8.629
"EG12830-MONOMER"	EG12830-MONOMER	"YbaM" // "small protein involved in the cell envelope stress response"	6.025
"EG12213-MONOMER"	EG12213-MONOMER	"YhhM"	13.496
"EG11214-MONOMER"	EG11214-MONOMER	"YjjA"	17.353
"G6081-MONOMER"	G6081-MONOMER	"YaaX"	11.355
"G7252-MONOMER"	G7252-MONOMER	"YpeC"	13.263
"EG11155-MONOMER"	EG11155-MONOMER	"YgdB"	14.973
"G7012-MONOMER"	G7012-MONOMER	"YebY"	12.378
"EG11521-MONOMER"	EG11521-MONOMER	"YbfA"	8.275
"G6757-MONOMER"	G6757-MONOMER	"YdcY"	8.8
"G7000-MONOMER"	G7000-MONOMER	"YobF" // "small protein involved in stress responses"	5.212
"G6668-MONOMER"	G6668-MONOMER	"YnaJ"	9.339
"G8202-MONOMER"	G8202-MONOMER	"YaaI"	14.482
"G7144-MONOMER"	G7144-MONOMER	"YeiS"	9.264
"G6642-MONOMER"	G6642-MONOMER	"YmjA"	9.321
"G7203-MONOMER"	G7203-MONOMER	"YfcO"	30.26
"G7240-MONOMER"	G7240-MONOMER	"YfdY"	8.874
"G7694-MONOMER"	G7694-MONOMER	"YhdU"	7.204
"EG12374-MONOMER"	EG12374-MONOMER	"FicA" // "YhfG"	6.599
"EG11991-MONOMER"	EG11991-MONOMER	"YehE"	10.137
"G6087-MONOMER"	G6087-MONOMER	"YaaY"	7.89
