"Object ID"	"Protein-Complexes"	"Synonyms"	"Molecular-Weight-KiloDaltons"
"CYT-O-UBIOX-CPLX"	CYT-O-UBIOX-CPLX	"ubiquinol oxidase (H<sup>+</sup>-transporting)" // "cytochrome <i>bo</i> ubiquinol oxidase" // "cytochrome <i>o</i> ubiquinol oxidase" // "ubiquinol:oxygen oxidoreductase" // "cytochrome b562-o complex" // "cytochrome <i>bo<sub>3</sub></i>" // "cytochrome <i>bo</i><sub>3</sub> terminal oxidase"	
"CYTDEAM-MONOMER"	CYTDEAM-MONOMER	"CodA"	47.591 // 48.0
"DALADALALIGB-MONOMER"	DALADALALIGB-MONOMER	"Ddl" // "DdlB"	32.84 // 32.0
"EG10201-MONOMER"	EG10201-MONOMER	"Pfv" // "DacA" // "PBP5" // "penicillin-binding protein 5" // "murein D,D-carboxypeptidase DacA" // "D-alanine carboxypeptidase IA"	44.444 // 42.0
"EG10203-MONOMER"	EG10203-MONOMER	"DacC" // "penicillin-binding protein 6" // "PBP6" // "murein DD-carboxypeptidase" // "PBP6a"	43.609 // 40.0
"ABC-42-CPLX"	ABC-42-CPLX		
"DALADEHYDROGA-MONOMER"	DALADEHYDROGA-MONOMER	"DadR" // "DadA"	47.607 // 45.0
"EG11852-MONOMER"	EG11852-MONOMER	"Dtd" // "YihZ" // "D-Tyr-tRNA<sup>Tyr</sup> deacylase"	15.95 // 16
"EG10973-MONOMER"	EG10973-MONOMER	"SrlQ" // "GutQ"	34.031 // 33
"G7662-MONOMER"	G7662-MONOMER	"KdsD" // "YrbH"	35.196 // 35
"DCYSDESULF-MONOMER"	DCYSDESULF-MONOMER	"YedO" // "DcyD"	35.153 // 36.5
"ERYTH4PDEHYDROG-MONOMER"	ERYTH4PDEHYDROG-MONOMER	"GapB" // "Gap2" // "Epd"	37.299
"ABC-18-CPLX"	ABC-18-CPLX	"MglBAC" // "MglP"	
"GLUCONOKINII-MONOMER"	GLUCONOKINII-MONOMER	"GntK"	19.543 // 18.4
"DLACTDEHYDROGNAD-MONOMER"	DLACTDEHYDROGNAD-MONOMER	"HtpH" // "HslI" // "HslF" // "LdhA" // "D-lactate dehydrogenase - fermentative"	36.535
"EG10817-MONOMER"	EG10817-MONOMER	"RbsP" // "RbsD"	15.292
"G6106-MONOMER"	G6106-MONOMER	"YafI" // "TfrA" // "GmhA" // "LpcA"	20.815 // 22.6
"G7185-MONOMER"	G7185-MONOMER	"YfbR"	22.708
"DCTP-DEAM-MONOMER"	DCTP-DEAM-MONOMER	"Dus" // "PaxA" // "Dcd"	21.249
"PHOSPHO-DCUR-MONOMER"	PHOSPHO-DCUR-MONOMER	"YjdG" // "DcuR"	27.488398
"CPLX0-2381"	CPLX0-2381		
"DUTP-PYROP-MONOMER"	DUTP-PYROP-MONOMER	"Sof" // "DnaS" // "Dut"	16.155
"EG11835-MONOMER"	EG11835-MONOMER	"YihI" // "GAP-like protein that activates GTPase activity of Der"	19.059
"DETHIOBIOTIN-SYN-MONOMER"	DETHIOBIOTIN-SYN-MONOMER	"BioD"	24.14 // 24.5
"DGTPTRIPHYDRO-MONOMER"	DGTPTRIPHYDRO-MONOMER	"Dgt" // "OptA"	59.383 // 58.9
"DIACYLGLYKIN-MONOMER"	DIACYLGLYKIN-MONOMER	"DgkA"	13.245
"DIAMINOPIMDECARB-MONOMER"	DIAMINOPIMDECARB-MONOMER	"LysA"	46.177
"DIAMINOPIMEPIM-MONOMER"	DIAMINOPIMEPIM-MONOMER	"DapF"	30.209 // 32.0
"G6673-MONOMER"	G6673-MONOMER	"DgcM" // "YdaM"	46.452
"EG11643-MONOMER"	EG11643-MONOMER	"DgcZ" // "YdeG" // "YdeH"	33.863
"G6784-MONOMER"	G6784-MONOMER	"DgcO" // "YddV" // "DosC"	53.178
"E2O-MONOMER"	E2O-MONOMER	"E2(o) subunit" // "SucB"	44.011
"H2NEOPTERINALDOL-MONOMER"	H2NEOPTERINALDOL-MONOMER	"YgiG" // "FolB"	13.62
"H2NTPEPIM-MONOMER"	H2NTPEPIM-MONOMER	"FolX"	14.082 // 14.0
"DIHYDROOROT-MONOMER"	DIHYDROOROT-MONOMER	"PyrC"	38.827 // 38.695
"H2PTEROATESYNTH-MONOMER"	H2PTEROATESYNTH-MONOMER	"DhpS" // "FolP"	30.615 // 30.0
"DIHYDROXYACIDDEHYDRAT-MONOMER"	DIHYDROXYACIDDEHYDRAT-MONOMER	"IlvD"	65.532 // 66.0
"CPLX0-2081"	CPLX0-2081	"DHAK" // "DHA kinase"	
"EG12399-MONOMER"	EG12399-MONOMER	"DhaM" // "DhaH" // "YcgC" // "PtsD"	51.449
"DIMESULFREDUCT-CPLX"	DIMESULFREDUCT-CPLX	"DMSO/TMAO reductase" // "menaquinol:dimethyl sulfoxide oxidoreductase"	
"CPLX0-7787"	CPLX0-7787	"DinJ/Q"	
"ABC-8-CPLX"	ABC-8-CPLX	"DppABCDF"	
"G7194-MONOMER"	G7194-MONOMER	"YfcG" // "GST N1-1"	24.516
"G7553-MONOMER"	G7553-MONOMER	"YghU" // "GST N2-2"	32.392
"G7530-MONOMER"	G7530-MONOMER	"YggV" // "RdgB"	21.039 // 25
"ABC-54-CPLX"	ABC-54-CPLX		
"G6306-MONOMER"	G6306-MONOMER	"YbcP" // "RusA" // "Rus" // "DLP12 prophage; endodeoxyribonuclease RUS (Holliday junction resolvase)"	13.846 // 15.0
"G6303-MONOMER"	G6303-MONOMER	"YbcN"	17.433
"CPLX0-2425"	CPLX0-2425	"Topoisomerase II"	
"EG10245-MONOMER"	EG10245-MONOMER	"DnaZ" // "DnaX" // "DNA elongation factor III"	71.138
"CPLX0-2361"	CPLX0-2361		
"CPLX0-3803"	CPLX0-3803		
"CPLX0-3801"	CPLX0-3801		
"CPLX0-7910"	CPLX0-7910		
"CPLX0-3925"	CPLX0-3925	"Pol V"	70.0
"EG11111-MONOMER"	EG11111-MONOMER	"YbjA" // "CspH" // "CspD"	7.969
"CPLX0-2424"	CPLX0-2424	"Topo IV"	
"EG10686-MONOMER"	EG10686-MONOMER	"ParC" // "DNA topoisomerase 4 subunit A"	83.831
"EG10466-MONOMER"	EG10466-MONOMER	"HupA" // "transcriptional dual regulator HU-&alpha; (HU-2)"	9.535
"G6088-MONOMER"	G6088-MONOMER	"CaiF"	15.436
"PD00221"	PD00221	"RhaS"	32.315
"EG11236-MONOMER"	EG11236-MONOMER	"PdeL" // "YahA"	40.725
"PD00242"	PD00242	"AraC"	33.384
"EG10490-MONOMER"	EG10490-MONOMER	"ArgP" // "IciA"	33.472
"PD00194"	PD00194	"XerA" // "ArgR"	16.994
"PD00250"	PD00250	"AsnC"	16.888
"PD00521"	PD00521	"Shl" // "FruC" // "FruR" // "Cra"	37.999
"PD00257"	PD00257	"GurB" // "Csm" // "Cap" // "Crp"	23.64
"CPLX0-7708"	CPLX0-7708		
"PD00232"	PD00232	"positive transcriptional regulator for cysteine regulon" // "CysB"	36.15
"PD00297"	PD00297	"DsdC"	35.332
"PD00196"	PD00196	"Nbp" // "site-specific DNA inversion stimulation factor" // "Fis"	11.24
"PD00197"	PD00197	"OssA" // "NirR" // "NirA" // "OxrA" // "Fnr"	27.967 // 28.0d0 // 30.0d0 // 31.0d0
"CPLX0-2021"	CPLX0-2021	"HU" // "HU&alpha;&beta;"	
"G7924-MONOMER"	G7924-MONOMER	"HypT" // "QseD" // "YjiE"	34.711
"PC00027"	PC00027	"IHF"	
"PD03938"	PD03938	"MetR"	35.629
"MONOMER0-185"	MONOMER0-185	"ModR" // "ChlD" // "ModE-MoO<sub>4</sub><sup>2-</sup>" // "ModE"	28.281
"G7262-MONOMER"	G7262-MONOMER	"YfeT" // "MurR"	31.192
"PROTEIN-NRI"	PROTEIN-NRI	"GlnT" // "GlnG" // "NtrC" // "NtrC response regulator"	52.255
"EG12344-MONOMER"	EG12344-MONOMER	"YcjB" // "PspF"	36.986 // 37
"TORR-MONOMER"	TORR-MONOMER	"TorR response regulator" // "TorR"	26.233
"EG12235-MONOMER"	EG12235-MONOMER	"ArsE" // "ArsR"	13.253
"PD04028"	PD04028	"CytR"	37.82
"G6209-MONOMER"	G6209-MONOMER	"YaiN" // "FrmR"	10.318
"PD00205"	PD00205	"Tsl" // "Spr" // "UmuA" // "ExrA" // "LexA"	22.358
"G6799-MONOMER"	G6799-MONOMER	"YdeW" // "LsrR"	33.797
"PD00364"	PD00364	"SoxQ" // "InaR" // "CfxB" // "MarR"	16.065
"PD01103"	PD01103	"YbgB" // "FarR" // "MngR"	28.273
"EG10603-MONOMER"	EG10603-MONOMER	"MprA" // "EmrR"	20.563
"EG11212-MONOMER"	EG11212-MONOMER	"YjeB" // "NsrR"	15.593
"G6720-MONOMER"	G6720-MONOMER	"YdbY" // "PaaX"	35.295
"PD00219"	PD00219	"PurR"	38.175 // 38.0
"EG12202-MONOMER"	EG12202-MONOMER	"TreR"	34.531
"PD00423"	PD00423	"RtrY" // "TrpR"	12.355
"EG11929-MONOMER"	EG11929-MONOMER	"ZnuR" // "YjbK" // "Zur"	19.254 // 19
"PD04413"	PD04413	"NadI" // "NadR"	47.346 // 45.0
"YRAO-MONOMER"	YRAO-MONOMER	"YraO" // "DiaA"	21.106
"FADB-MONOMER"	FADB-MONOMER	"OldB" // "FadB"	79.594
"CPLX0-7823"	CPLX0-7823		
"DSBG-MONOMER"	DSBG-MONOMER	"YbdP" // "DsbG"	27.495
"RFFTRANS-MONOMER"	RFFTRANS-MONOMER	"Rff" // "YifI" // "RffA" // "FcnA" // "WecE"	41.901
"DTDPGLUCDEHYDRAT-MONOMER"	DTDPGLUCDEHYDRAT-MONOMER	"RmlB" // "Som" // "RfbB"	40.558
"DTDPGLUCOSEPP-MONOMER"	DTDPGLUCOSEPP-MONOMER	"Som" // "RfbA" // "RmlA"	32.694
"DTDPGLUCOSEPP2-MONOMER"	DTDPGLUCOSEPP2-MONOMER	"YifG" // "RffH"	32.734
"DTDPRHAMSYNTHMULTI-CPLX"	DTDPRHAMSYNTHMULTI-CPLX		
"EG11126-MONOMER"	EG11126-MONOMER	"YciF"	18.597
"CPLX0-3958"	CPLX0-3958		
"EG11211-MONOMER"	EG11211-MONOMER	"EpmA" // "YjeA" // "GenX" // "PoxA"	36.976
"G7877-MONOMER"	G7877-MONOMER	"RidA" // "YjgF"	13.612
"EG11249-MONOMER"	EG11249-MONOMER	"MazF" // "ChpA" // "ChpAK" // "MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity"	12.098
"CPLX0-1923"	CPLX0-1923		
"ENOLASE-MONOMER"	ENOLASE-MONOMER	"Eno"	45.655 // 46.0
"ENOYL-ACP-REDUCT-NADH-MONOMER"	ENOYL-ACP-REDUCT-NADH-MONOMER	"Gts" // "QmeA" // "EnvM" // "FabI"	27.864 // 33.0
"CPLX0-3976"	CPLX0-3976		
"ENTMULTI-CPLX"	ENTMULTI-CPLX	"enterobactin synthetase multienzyme complex"	
"ERYTHRON4PDEHYDROG-MONOMER"	ERYTHRON4PDEHYDROG-MONOMER	"PdxB"	41.368 // 42.0
"ADHP-MONOMER"	ADHP-MONOMER	"YddN" // "AdhP"	35.38
"ETHAMLY-CPLX"	ETHAMLY-CPLX		470.0
"CPLX0-3937"	CPLX0-3937		
"UVRABC-CPLX"	UVRABC-CPLX	"excinuclease ABC" // "UvrABC excinuclease" // "excinuclease UvrABC" // "excision nuclease ABC" // "UvrABC system excision endonuclease" // "ABC excision nuclease"	
"RECBCD"	RECBCD	"Exonuclease V" // "RecBCD"	330.0
"CPLX-3946"	CPLX-3946	"ExoVII"	88
"PPX-MONOMER"	PPX-MONOMER	"Ppx"	58.136 // 57.0
"ACYLCOASYN-MONOMER"	ACYLCOASYN-MONOMER	"OldD" // "FadD"	62.332 // 62
"CPLX-3944"	CPLX-3944		
"ABC-9-CPLX"	ABC-9-CPLX	"iron dicitrate ABC transporter" // "ferric dicitrate ABC transporter"	
"CPLX0-1943"	CPLX0-1943	"ferric dicitrate outer membrane transport complex"	
"CPLX0-7952"	CPLX0-7952		
"ABC-10-CPLX"	ABC-10-CPLX		
"CPLX0-1941"	CPLX0-1941		
"CPLX0-1942"	CPLX0-1942		
"EG10921-MONOMER"	EG10921-MONOMER	"RsgA" // "FtnA" // "Ftn"	19.424 // 19.4
"CPLX0-8227"	CPLX0-8227		
"CPLX0-3401"	CPLX0-3401	"type 1 pilin complex"	
"G7865-MONOMER"	G7865-MONOMER	"YtfC" // "FklB" // "FKBP22"	22.216 // 22.0
"EG11663-MONOMER"	EG11663-MONOMER	"SlyD" // "WHP"	20.853 // 26.0
"CPLX0-7451"	CPLX0-7451		
"FLAGELLAR-MOTOR-COMPLEX"	FLAGELLAR-MOTOR-COMPLEX		
"CPLX0-7450"	CPLX0-7450		
"CPLX0-7452"	CPLX0-7452		
"CPLX0-3930"	CPLX0-3930	"FlhDC"	68
"G6731-MONOMER"	G6731-MONOMER	"AzoR" // "AcpD" // "FMN dependent azoreductase"	21.658 // 23.0
"MONOMER-162"	MONOMER-162	"YcbN" // "SsuD"	41.736 // 41.2
"FOCA-MONOMER"	FOCA-MONOMER	"YcaE" // "FocA"	30.991 // 23.0
"EG10284-MONOMER"	EG10284-MONOMER	"FdhE"	34.747 // 32
"FORMATEDEHYDROGN-CPLX"	FORMATEDEHYDROGN-CPLX	"Fdh-N" // "formate:menaquinone oxidoreductase"	
"ALPHA-SUBUNIT-CPLX"	ALPHA-SUBUNIT-CPLX		
"FORMATEDEHYDROGO-CPLX"	FORMATEDEHYDROGO-CPLX	"FDH-O" // "FDH-Z" // "formate:quinone oxidoreductase O" // "formate:quinone oxidoreductase Z"	
"FHLMULTI-CPLX"	FHLMULTI-CPLX	"FHL"	
"G7237-MONOMER"	G7237-MONOMER	"YfdW" // "Frc"	45.828
"FORMYLTHFDEFORMYL-MONOMER"	FORMYLTHFDEFORMYL-MONOMER	"YchI" // "Tgs" // "PurU"	31.935 // 32
"G7005-MONOMER"	G7005-MONOMER	"MsrC" // "YebR" // "fRMsr"	18.122 // 18.0
"EG11245-MONOMER"	EG11245-MONOMER	"YggK" // "YggF"	34.323
"F16B-MONOMER"	F16B-MONOMER	"Fdp" // "Fbp" // "fructose-1,6-bisphosphatase I"	36.834 // 40
"EG11517-MONOMER"	EG11517-MONOMER	"GlpX" // "fructose 1,6-bisphosphatase II"	35.852 // 40.0
"G6428-MONOMER"	G6428-MONOMER	"YbiZ" // "FsaA" // "MipB" // "Fsa"	22.997 // 24.0
"FRUCBISALD-CLASSI-MONOMER"	FRUCBISALD-CLASSI-MONOMER	"DhnA" // "FbaB"	38.109 // 36.0
"FRUCTBISALD-CLASSII-MONOMER"	FRUCTBISALD-CLASSII-MONOMER	"Fda" // "Ald" // "FbaA" // "Fba"	39.147 // 40.0
"CPLX-158"	CPLX-158	"EII<sup>Fru</sup>" // "Enzyme II<sup>Fru</sup>" // "fructose PTS permease"	
"G7724-MONOMER"	G7724-MONOMER	"YhfP" // "YhfO" // "FrlC"	31.169 // 30
"G7723-MONOMER"	G7723-MONOMER	"YhfN" // "FrlB"	38.569 // 39
"CPLX0-2982"	CPLX0-2982	"FtsH holoenzyme"	
"CPLX0-7934"	CPLX0-7934		
"FUMA-MONOMER"	FUMA-MONOMER	"FumA"	60.299 // 61.5
"FUMB-MONOMER"	FUMB-MONOMER	"FumB"	60.105 // 61.0
"FUMC-MONOMER"	FUMC-MONOMER	"FumC"	50.489 // 50.0
"FUMARATE-REDUCTASE"	FUMARATE-REDUCTASE	"menaquinol:fumarate oxidoreductase" // "FRD" // "QFR" // "fumarate reductase" // "quinol:fumarate oxidoreductase"	
"CPLX0-7639"	CPLX0-7639		
"EG10004-MONOMER"	EG10004-MONOMER	"Dfp" // "CoaBC"	43.438 // 45.0
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	ASPKINIHOMOSERDEHYDROGI-MONOMER	"ThrD" // "ThrA"	89.12
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	ASPKINIIHOMOSERDEHYDROGII-MONOMER	"MetM" // "MetL"	88.888
"CHORISMUTPREPHENDEHYDRAT-MONOMER"	CHORISMUTPREPHENDEHYDRAT-MONOMER	"PheA"	43.111 // 40.0
"CHORISMUTPREPHENDEHYDROG-MONOMER"	CHORISMUTPREPHENDEHYDROG-MONOMER	"TyrA"	42.042
"RIBOFLAVINSYNDEAM-MONOMER"	RIBOFLAVINSYNDEAM-MONOMER	"YbaE" // "RibG" // "RibD"	40.338 // 40
"PUTA-MONOMER"	PUTA-MONOMER	"PutC" // "PoaA" // "PutA" // "proline utilization A"	143.815 // 137.0
"GSP-MONOMER"	GSP-MONOMER	"Gsp" // "Gss"	70.532 // 70
"G7590-MONOMER"	G7590-MONOMER	"HldE" // "YqiF" // "RfaE" // "GmhC" // "WaaE"	51.051 // 55
"NAG1P-URIDYLTRANS-MONOMER"	NAG1P-URIDYLTRANS-MONOMER	"YieA" // "GlmU"	49.19 // 50.0
"G7168-MONOMER"	G7168-MONOMER	"ArnA" // "YfbG" // "PmrI"	74.289 // 73.0
"CPLX0-7852"	CPLX0-7852	"GadRcs"	
"GALACTITOLPDEHYD-MONOMER"	GALACTITOLPDEHYD-MONOMER	"GatD"	37.39
"CPLX0-231"	CPLX0-231	"EII<sup>Gat</sup>" // "Enzyme II <sup>Gat</sup>"	
"ABC-46-CPLX"	ABC-46-CPLX		
"CPLX-170"	CPLX-170	"EII<sup>Gam</sup>" // "Enzyme II<sup>Gam</sup>" // "EII<suP>GalN</sup>" // "Enzyme II<suP>GalN</sup>"	
"GALACTURIDYLYLTRANS-MONOMER"	GALACTURIDYLYLTRANS-MONOMER	"GalB" // "GalT"	39.646 // 41.0
"GALACTOACETYLTRAN-MONOMER"	GALACTOACETYLTRAN-MONOMER	"LacA" // "thiogalactoside acetyltransferase"	22.799
"G6755-MONOMER"	G6755-MONOMER	"PatD" // "YdcW" // "Prr"	50.83 // 51
"CARNDEHYDRA-MONOMER"	CARNDEHYDRA-MONOMER	"YaaN" // "CaiB"	45.127
"G6645-MONOMER"	G6645-MONOMER	"YcjL" // "PuuD"	28.013
"FCL-MONOMER"	FCL-MONOMER	"YefB" // "WcaG" // "Fcl"	36.141
"GDPMANDEHYDRA-MONOMER"	GDPMANDEHYDRA-MONOMER	"YefN" // "YefA" // "Gmd"	42.047
"EG12410-MONOMER"	EG12410-MONOMER	"YffH" // "NudK" // "GDPMK"	21.749
"GDPMANMANHYDRO-MONOMER"	GDPMANMANHYDRO-MONOMER	"Gmm" // "NudD" // "YefC" // "WcaH"	18.273 // 18.0
"GLUCOSAMINE-6-P-DEAMIN-MONOMER"	GLUCOSAMINE-6-P-DEAMIN-MONOMER	"GlmD" // "NagB"	29.774 // 29
"GLUCOSE-1-PHOSPHAT-MONOMER"	GLUCOSE-1-PHOSPHAT-MONOMER	"Agp"	45.683 // 44.0
"GLUC1PADENYLTRANS-MONOMER"	GLUC1PADENYLTRANS-MONOMER	"GlgC"	48.698 // 49.0
"PGLUCISOM"	PGLUCISOM	"Pgi"	61.53 // 59.0
"CPLX-157"	CPLX-157	"EII<sup>glc</sup>" // "enzyme II <sup>glc</sup>"	
"ABC-13-CPLX"	ABC-13-CPLX		
"GLUTKIN-MONOMER"	GLUTKIN-MONOMER	"ProB"	39.056 // 40.0
"GLUTDECARBOXA-MONOMER"	GLUTDECARBOXA-MONOMER	"GadS" // "GadA"	52.685
"GLUTDECARBOXB-MONOMER"	GLUTDECARBOXB-MONOMER	"GadB"	52.668
"GDHA-MONOMER"	GDHA-MONOMER	"GdhA"	48.581 // 50
"GLUTAMATESYN-CPLX"	GLUTAMATESYN-CPLX	"NADPH-GOGAT"	800
"GLUTAMATESYN-DIMER"	GLUTAMATESYN-DIMER		
"G7184-MONOMER"	G7184-MONOMER	"YfbQ" // "AlaA"	45.517
"G7242-MONOMER"	G7242-MONOMER	"YfdZ" // "AlaC"	46.216
"GSAAMINOTRANS-MONOMER"	GSAAMINOTRANS-MONOMER	"Gsa" // "PopC" // "HemL"	45.366 // 40
"GLUTSEMIALDEHYDROG-MONOMER"	GLUTSEMIALDEHYDROG-MONOMER	"ProA"	44.63 // 47.0
"G6644-MONOMER"	G6644-MONOMER	"YcjK" // "PuuA"	53.177 // 53.0
"G6261-MONOMER"	G6261-MONOMER	"GlsA" // "YbaS"	32.903
"G6810-MONOMER"	G6810-MONOMER	"GlsB" // "YneH"	33.516
"GLUTAMINESYN-MONOMER"	GLUTAMINESYN-MONOMER	"GlnA"	51.904
"GLUTRNAREDUCT-MONOMER"	GLUTRNAREDUCT-MONOMER	"GtrA" // "HemA"	46.307 // 46
"EG12181-MONOMER"	EG12181-MONOMER	"YdhD" // "GrxD" // "Grx4"	12.879 // 17.8
"ABC-6-CPLX"	ABC-6-CPLX		
"ABC-49-CPLX"	ABC-49-CPLX		
"CPLX0-7885"	CPLX0-7885	"&gamma;-glutamyl transpeptidase"	
"GLUTATHIONE-REDUCT-NADPH-MONOMER"	GLUTATHIONE-REDUCT-NADPH-MONOMER	"GorA" // "Gor"	48.772 // 55.0
"GST-MONOMER"	GST-MONOMER	"Gst" // "GstA"	22.868 // 25.0
"GLUTATHIONE-SYN-MONOMER"	GLUTATHIONE-SYN-MONOMER	"GshB"	35.561 // 38.0
"G7616-MONOMER"	G7616-MONOMER	"YqjG" // "S-glutathionyl-(chloro)hydroquinone reductase"	37.386
"GAPDH-A-MONOMER"	GAPDH-A-MONOMER	"Gad" // "GapA" // "Gap1"	35.532 // 35.0
"GLPF-MONOMER"	GLPF-MONOMER	"GlpF"	29.78 // 25.0
"GLYCEROL-KIN-MONOMER"	GLYCEROL-KIN-MONOMER	"GlpK"	56.231 // 57.0
"GLYC3PDEHYDROGBIOSYN-MONOMER"	GLYC3PDEHYDROGBIOSYN-MONOMER	"GpsA"	36.362 // 32.5d0
"GLYCPDIESTER-PERI-MONOMER"	GLYCPDIESTER-PERI-MONOMER	"GlpQ" // "glycerophosphoryl diester phosphodiesterase, periplasmic"	40.843 // 40.0
"ABC-26-CPLX"	ABC-26-CPLX	"PPIII" // "proline permease III" // "ProVWX"	
"ABC-40-CPLX"	ABC-40-CPLX		
"GCVMULTI-CPLX"	GCVMULTI-CPLX		
"GCVP-MONOMER"	GCVP-MONOMER	"GcvP" // "P-protein"	104.376 // 93.3
"GLYS-CPLX"	GLYS-CPLX	"GlyRS"	205
"GLYCOPHOSPHORYL-MONOMER"	GLYCOPHOSPHORYL-MONOMER	"GlgY" // "GlgP"	93.172
"CPLX0-7458"	CPLX0-7458		
"GLYOXI-MONOMER"	GLYOXI-MONOMER	"GloA"	14.92 // 14.9
"GLYOCARBOLIG-MONOMER"	GLYOCARBOLIG-MONOMER	"Gcl"	64.732 // 68.0
"MONOMER-43"	MONOMER-43	"TkrA" // "YiaE" // "GhrB"	35.395
"GMP-REDUCT-MONOMER"	GMP-REDUCT-MONOMER	"GuaC"	37.384 // 36.0
"GMP-SYN-MONOMER"	GMP-SYN-MONOMER	"GuaA"	58.679
"CPLX0-3934"	CPLX0-3934	"GroE"	
"CPLX0-7942"	CPLX0-7942		
"CPLX0-8239"	CPLX0-8239		
"GTP-CYCLOHYDRO-I-MONOMER"	GTP-CYCLOHYDRO-I-MONOMER	"FolE" // "GTP cyclohydrolase I"	24.831
"GTP-CYCLOHYDRO-II-MONOMER"	GTP-CYCLOHYDRO-II-MONOMER	"RibA" // "GTP cyclohydrolase II"	21.836 // 22
"PPPGPPHYDRO-MONOMER"	PPPGPPHYDRO-MONOMER	"GppA" // "Gpp"	54.871 // 50.0
"GUANYL-KIN-MONOMER"	GUANYL-KIN-MONOMER	"SpoR" // "Gmk"	23.593 // 23.462
"EG11398-MONOMER"	EG11398-MONOMER	"YhhC" // "YhiB" // "HdeA"	11.858
"G6500-MONOMER"	G6500-MONOMER	"YccV" // "HspQ"	11.779
"ABC-35-CPLX"	ABC-35-CPLX	"CcmABCDE protoheme IX ABC transporter"	
"EG11735-MONOMER"	EG11735-MONOMER	"YcdB" // "EfeB"	46.754 // 45.1
"CPLX0-1321"	CPLX0-1321	"HflA"	
"CPLX0-8230"	CPLX0-8230	"HigBA"	
"CPLX0-7425"	CPLX0-7425	"HipBA"	
"HISTDEHYD-MONOMER"	HISTDEHYD-MONOMER	"HisD"	46.11
"ABC-14-CPLX"	ABC-14-CPLX		
"HISS-MONOMER"	HISS-MONOMER	"HisS" // "HisRS"	47.029 // 42
"HISTPHOSTRANS-MONOMER"	HISTPHOSTRANS-MONOMER	"HisC"	39.36 // 38.5d0
"HOLO-ENTB"	HOLO-ENTB		
"HOLO-ACP-SYNTH-MONOMER"	HOLO-ACP-SYNTH-MONOMER	"AcpS" // "Dpj" // "AcpSholo"	14.052
"CPLX0-3323"	CPLX0-3323	"cytochrome <i>c</i> heme lyase"	
"HOMOSERKIN-MONOMER"	HOMOSERKIN-MONOMER	"ThrB"	33.624 // 29
"HOMSUCTRAN-MONOMER"	HOMSUCTRAN-MONOMER	"MetA"	35.727 // 35.6
"CPLX0-1163"	CPLX0-1163	"ClpYQ protease" // "HslUV protease"	820
"FORMHYDROGI-CPLX"	FORMHYDROGI-CPLX	"HYD1" // "hydrogenase I" // "NiFe hydrogenase" // "hydrogen:menaquinone oxidoreductase" // "hydrogen oxidase" // "hydrogen:oxygen oxidoreductase"	
"CPLX0-8167"	CPLX0-8167		
"FORMHYDROG2-CPLX"	FORMHYDROG2-CPLX	"HYD2" // "hydrogenase-2" // "hydrogen:menaquinone oxidoreductase 2"	
"HYDROG3-CPLX"	HYDROG3-CPLX		
"CPLX0-250"	CPLX0-250	"Hyf" // "HYD4"	
"EG10484-MONOMER"	EG10484-MONOMER	"HydB" // "HypB" // "accessory protein for nickel incorporation into hydrogenase isoenzymes"	31.565
"HYDROPEROXIDI-MONOMER"	HYDROPEROXIDI-MONOMER	"KatG"	80.024 // 84.0
"THZ-KIN-MONOMER"	THZ-KIN-MONOMER	"ThiM"	27.339
"G7058-MONOMER"	G7058-MONOMER	"HiuH" // "YedX"	15.46 // 16.0
"G6277-MONOMER"	G6277-MONOMER	"YbbG" // "Hyi" // "glyoxylate-induced protein" // "Gip"	29.377
"CPLX0-3821"	CPLX0-3821		
"CPLX0-7986"	CPLX0-7986		
"HYPOXANPRIBOSYLTRAN-MONOMER"	HYPOXANPRIBOSYLTRAN-MONOMER	"Hpt"	20.115 // 20.6
"GLUTAMIDOTRANS-CPLX"	GLUTAMIDOTRANS-CPLX		
"IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER"	IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER	"HisB"	40.278 // 40.5d0
"IMP-DEHYDROG-MONOMER"	IMP-DEHYDROG-MONOMER	"GuaR" // "GuaB"	52.022 // 58
"INORGPYROPHOSPHAT-MONOMER"	INORGPYROPHOSPHAT-MONOMER	"Ppa"	19.704 // 20.0
"GSK-MONOMER"	GSK-MONOMER	"Gsk"	48.449 // 45.0
"ABC-45-CPLX"	ABC-45-CPLX		285.0
"G6491-MONOMER"	G6491-MONOMER	"PqiB"	60.52
"ABC-11-CPLX"	ABC-11-CPLX		
"G7748-MONOMER"	G7748-MONOMER	"YhgI" // "GntY" // "NfuA" // "iron-sulfur cluster insertion protein NfuA"	20.998
"EG12332-MONOMER"	EG12332-MONOMER	"YadR" // "ErpA" // "essential respiratory protein A"	12.1
"EG12132-MONOMER"	EG12132-MONOMER	"IscA" // "YfhF" // "iron-sulfur cluster assembly protein"	11.556
"EG11378-MONOMER"	EG11378-MONOMER	"YdiC" // "SufA" // "Fe-S transport protein in Fe-S cluster assembly"	13.3
"G6212-MONOMER"	G6212-MONOMER	"InsC-1"	13.452
"G7925-MONOMER"	G7925-MONOMER	"YjiF" // "IadA"	41.084 // 41.0
