ID	Name	Symbol	Type	Coordinate	Length	Direction	Expression	Half life (s)	Product	Splices	(absolute nt position, old, new)	Comments
EG10633	NagB	nagB	mRNA	702834	801	-	0.0000604817	618.0	GLUCOSAMINE-6-P-DEAMIN-MONOMER	[]	[]	
EG10634	ribonucleotide monophosphatase	nagD	mRNA	699549	753	-	0.0001115704	234.0	EG10634-MONOMER	[]	[]	
EG10635	NagE	nagE	mRNA	703167	1947	+	0.0000720361	552.0	NAGE-MONOMER	[]	[]	
EG10636	NagC DNA-binding transcriptional dual regulator	nagC	mRNA	700817	1221	-	0.0001191290	144.0	PD00266	[]	[]	
EG10637	NanA	nanA	mRNA	3371598	894	-	0.0000111633	240.0	ACNEULY-MONOMER	[]	[]	
EG10638	nitrate reductase A	narG	mRNA	1279087	3744	+	0.0000171774	576.0	NARG-MONOMER	[]	[]	
EG10639	nitrate reductase A	narH	mRNA	1282827	1539	+	0.0000442181	360.0	NARH-MONOMER	[]	[]	
EG10640	nitrate reductase A	narI	mRNA	1285072	678	+	0.0000314801	342.0	NARI-MONOMER	[]	[]	
EG10641	molybdenum cofactor assembly chaperone subunit (&delta; subunit) of nitrate reductase 1	narJ	mRNA	1284362	711	+	0.0000452702	330.0	NARJ-MONOMER	[]	[]	
EG10642	nitrate / nitrite transporter NarK	narK	mRNA	1277180	1392	+	0.0000125425	366.0	NARK-MONOMER	[]	[]	
EG10643	NarL	narL	mRNA	1275052	651	-	0.0000590064	258.0	NARL-MONOMER	[]	[]	
EG10644	nitrate reductase Z	narV	mRNA	1534641	681	-	0.0000250192	372.0	NARV-MONOMER	[]	[]	
EG10645	NarW	narW	mRNA	1535333	696	-	0.0000236248	450.0	NARW-MONOMER	[]	[]	
EG10646	NarX	narX	mRNA	1276841	1797	-	0.0000475717	522.0	NARX-MONOMER	[]	[]	
EG10647	nitrate reductase Z	narY	mRNA	1536877	1545	-	0.0000213487	414.0	NARY-MONOMER	[]	[]	
EG10648	nitrate reductase Z	narZ	mRNA	1540614	3741	-	0.0000132607	348.0	NARZ-MONOMER	[]	[]	
EG10649	NADH:ubiquinone oxidoreductase II	ndh	mRNA	1165308	1305	+	0.0000477538	198.0	NADH-DHII-MONOMER	[]	[]	
EG10650	Ndk	ndk	mRNA	2642886	432	-	0.0007756635	318.0	NUCLEOSIDE-DIP-KIN-MONOMER	[]	[]	
EG10651	endonuclease IV	nfo	mRNA	2248862	858	+	0.0000550695	245.99999999999997	EG10651-MONOMER	[]	[]	
EG10652	NhaA	nhaA	mRNA	17489	1167	+	0.0000868581	396.0	NHAA-MONOMER	[]	[]	
EG10653	nitrite reductase	nirB	mRNA	3492033	2544	+	0.0000194603	378.0	NIRB-MONOMER	[]	[]	
EG10654	nitrite transporter NirC	nirC	mRNA	3495025	807	+	0.0000033839	438.0	NIRC-MONOMER	[]	[]	
EG10655	nitrite reductase	nirD	mRNA	3494573	327	+	0.0000284469	444.0	NIRD-MONOMER	[]	[]	
EG10656	Nlp transcriptional regulator	sfsB	mRNA	3332931	279	+	0.0000076445	344.81999999999999	EG10656-MONOMER	[]	[]	
EG10657	lipoprotein-28	nlpA	mRNA	3838016	819	-	0.0002124193	336.0	EG10657-MONOMER	[]	[]	
EG10658	Outer Membrane Protein Assembly Complex - BamC subunit	bamC	mRNA	2596887	1035	-	0.0003494726	132.0	EG10658-MONOMER	[]	[]	
EG10659	outer membrane porin protein; locus of qsr prophage	nmpC	mRNA	576048	1068	-	0.0007415363	294.0	EG10659-MONOMER	[]	[]	
EG10660	ribonucleoside diphosphate reductase 1	nrdA	mRNA	2342887	2286	+	0.0000855666	144.0	NRDA-MONOMER	[]	[]	
EG10661	ribonucleoside diphosphate reductase 1	nrdB	mRNA	2345406	1131	+	0.0000993601	174.0	NRDB-MONOMER	[]	[]	
EG10662	endonuclease III; specific for apurinic and/or apyrimidinic sites	nth	mRNA	1709547	636	+	0.0000140548	528.0	EG10662-MONOMER	[]	[]	
EG10663	NadE	nadE	mRNA	1820482	828	+	0.0001637012	330.0	NAD-SYNTH-MONOMER	[]	[]	
EG10664	nucleoside:H<sup>+</sup> symporter NupG	nupG	mRNA	3103736	1257	+	0.0000265147	360.0	NUPG-MONOMER	[]	[]	
EG10665	transcription termination/antitermination L factor	nusA	mRNA	3315548	1488	-	0.0006052519	216.0	EG10665-MONOMER	[]	[]	
EG10666	transcription antitermination protein NusB	nusB	mRNA	434361	420	+	0.0001770310	198.0	EG10666-MONOMER	[]	[]	
EG10667	transcription termination factor NusG	nusG	mRNA	4175766	546	+	0.0005546099	198.0	EG10667-MONOMER	[]	[]	
EG10668	Ogt	ogt	mRNA	1398260	516	-	0.0000381855	468.0	EG10668-MONOMER	[]	[]	
EG10669	outer membrane protein 3a (II*;G;d)	ompA	mRNA	1019276	1041	-	0.0025481570	792.0	EG10669-MONOMER	[]	[]	
EG10670	OmpC	ompC	mRNA	2310771	1104	-	0.0007163485	582.0	EG10670-MONOMER	[]	[]	
EG10671	OmpF	ompF	mRNA	986205	1089	-	0.0045726834	510.0	EG10671-MONOMER	[]	[]	
EG10672	OmpR	ompR	mRNA	3534606	720	-	0.0001027592	840.0	OMPR-MONOMER	[]	[]	
EG10673	outer membrane protease VII (outer membrane protein 3b)	ompT	mRNA	584856	954	-	0.0024207428	252.0	EG10673-MONOMER	[]	[]	
EG10674	peptide ABC transporter - periplasmic binding protein	oppA	mRNA	1299206	1632	+	0.0016265733	558.0	OPPA-MONOMER	[]	[]	
EG10675	murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	oppB	mRNA	1300923	921	+	0.0005441683	174.0	OPPB-MONOMER	[]	[]	
EG10676	murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	oppC	mRNA	1301858	909	+	0.0005915646	198.0	OPPC-MONOMER	[]	[]	
EG10677	murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit	oppD	mRNA	1302778	1014	+	0.0003353874	198.0	OPPD-MONOMER	[]	[]	
EG10678	murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit	oppF	mRNA	1303788	1005	+	0.0003410137	264.0	OPPF-MONOMER	[]	[]	
EG10679	OsmB osmotically inducible lipoprotein	osmB	mRNA	1341352	219	-	0.0000556343	588.0	EG10679-MONOMER	[]	[]	
EG10680	osmotically inducible peroxidase OsmC	osmC	mRNA	1554649	432	+	0.0000618592	450.0	EG10680-MONOMER	[]	[]	
EG10681	OxyR DNA-binding transcriptional dual regulator	oxyR	mRNA	4156513	918	+	0.0000528153	222.0	PD00214	[]	[]	
EG10682	PabA	pabA	mRNA	3488851	564	-	0.0000299896	318.0	PABASYN-COMPII-MONOMER	[]	[]	
EG10683	PabB	pabB	mRNA	1892829	1362	+	0.0000532924	816.0	PABASYN-COMPI-MONOMER	[]	[]	
EG10684	Pal	pal	mRNA	778290	522	+	0.0009544412	366.0	EG10684-MONOMER	[]	[]	
EG10685	pantothenate:Na<sup>+</sup> symporter	panF	mRNA	3405629	1452	+	0.0000230684	282.0	PANF-MONOMER	[]	[]	
EG10686	topoisomerase IV subunit A	parC	mRNA	3163995	2259	-	0.0000758955	252.0	EG10686-MONOMER	[]	[]	
EG10687	topoisomerase IV subunit B	parE	mRNA	3173418	1893	-	0.0000738503	192.0	EG10687-MONOMER	[]	[]	
EG10688	phosphoenolpyruvate carboxykinase (ATP)	pck	mRNA	3530840	1623	+	0.0001106499	258.0	PEPCARBOXYKIN-MONOMER	[]	[]	
EG10689	L-isoaspartate protein carboxylmethyltransferase type II	pcm	mRNA	2867541	627	-	0.0001314354	186.0	EG10689-MONOMER	[]	[]	
EG10690	poly(A) polymerase I	pcnB	mRNA	159126	1398	-	0.0001662471	288.0	EG10690-MONOMER	[]	[]	
EG10691	PdxA	pdxA	mRNA	53416	990	-	0.0000652886	204.0	PDXA-MONOMER	[]	[]	
EG10693	PdxJ	pdxJ	mRNA	2699751	732	-	0.0001032448	222.0	PDXJ-MONOMER	[]	[]	
EG10694	aminopeptidase A/I	pepA	mRNA	4483974	1512	-	0.0001301489	186.0	EG10694-MONOMER	[]	[]	
EG10695	peptidase D	pepD	mRNA	255716	1458	-	0.0001250436	228.0	EG10695-MONOMER	[]	[]	
EG10696	aminopeptidase N	pepN	mRNA	989845	2613	+	0.0001378980	126.0	EG10696-MONOMER	[]	[]	
EG10697	PepP	pepP	mRNA	3052862	1326	-	0.0000575632	144.0	EG10697-MONOMER	[]	[]	
EG10698	proline dipeptidase	pepQ	mRNA	4029184	1332	+	0.0001143575	144.0	EG10698-MONOMER	[]	[]	
EG10699	6-phosphofructokinase-1 monomer	pfkA	mRNA	4105575	963	+	0.0002688748	180.0	6PFK-1-MONOMER	[]	[]	
EG10700	6-phosphofructokinase-2 monomer	pfkB	mRNA	1804394	930	+	0.0000427209	468.0	6PFK-2-MONOMER	[]	[]	
EG10701	PflB	pflB	mRNA	952777	2283	-	0.0002747354	348.0	PYRUVFORMLY-MONOMER	[]	[]	
EG10702	Pgi	pgi	mRNA	4231781	1650	+	0.0002017130	144.0	PGLUCISOM	[]	[]	
EG10703	phosphoglycerate kinase	pgk	mRNA	3070644	1164	-	0.0006913125	150.0	PGK	[]	[]	
EG10704	phosphatidylglycerophosphatase A	pgpA	mRNA	435813	519	+	0.0000530580	174.0	PGPPHOSPHAA-MONOMER	[]	[]	
EG10705	undecaprenyl pyrophosphate phosphatase [multifunctional]	pgpB	mRNA	1337354	765	+	0.0000435774	546.0	PGPPHOSPHAB-MONOMER	[]	[]	
EG10706	phosphatidylglycerophosphate synthase	pgsA	mRNA	1990841	549	-	0.0000610667	312.0	PHOSPHAGLYPSYN-MONOMER	[]	[]	
EG10707	PheA	pheA	mRNA	2735767	1161	+	0.0000876691	162.0	CHORISMUTPREPHENDEHYDRAT-MONOMER	[]	[]	
EG10708	phenylalanine:H<sup>+</sup> symporter PheP	pheP	mRNA	601182	1377	+	0.0000117669	344.81999999999999	PHEP-MONOMER	[]	[]	
EG10709	phenylalanyl-tRNA synthetase &alpha;-chain	pheS	mRNA	1796966	984	-	0.0001979851	174.0	PHES-MONOMER	[]	[]	
EG10710	phenylalanyl-tRNA synthetase &beta;-chain	pheT	mRNA	1795968	2388	-	0.0005508652	228.0	PHET-MONOMER	[]	[]	
EG10711	conserved protein	yjdM	mRNA	4324757	336	-	0.0002040532	306.0	EG10711-MONOMER	[]	[]	
EG10712	conserved protein	yjdN	mRNA	4323764	444	-	0.0000097639	336.0	EG10712-MONOMER	[]	[]	
EG10713	phosphonate ABC transporter - ATP binding subunit	phnC	mRNA	4323188	789	-	0.0000048929	300.0	PHNC-MONOMER	[]	[]	
EG10714	phosphonate ABC transporter - periplasmic binding protein	phnD	mRNA	4322375	1017	-	0.0000713314	480.0	PHND-MONOMER	[]	[]	
EG10715	PhnF predicted transcriptional regulator	phnF	mRNA	4320445	726	-	0.0000035441	366.0	EG10715-MONOMER	[]	[]	
EG10716	PhnG subunit of methylphosphonate degradation complex	phnG	mRNA	4319719	453	-	0.0000124278	342.0	EG10716-MONOMER	[]	[]	
EG10717	PhnH subunit of methylphosphonate degradation complex	phnH	mRNA	4319270	585	-	0.0000143583	210.0	EG10717-MONOMER	[]	[]	
EG10718	PhnI subunit of methylphosphonate degradation complex	phnI	mRNA	4318686	1065	-	0.0000210772	245.99999999999997	EG10718-MONOMER	[]	[]	
EG10719	carbon-phosphorous lyase	phnJ	mRNA	4317629	846	-	0.0001011726	276.0	EG10719-MONOMER	[]	[]	
EG10720	predicted carbon-phosphorous lyase subunit	phnK	mRNA	4316787	759	-	0.0000062754	432.0	PHNK-MONOMER	[]	[]	
EG10721	PhnL subunit of methylphosphonate degradation complex	phnL	mRNA	4315918	681	-	0.0000267996	1008.0	PHNL-MONOMER	[]	[]	
EG10722	RPnTP hydrolase	phnM	mRNA	4315241	1137	-	0.0000064913	708.0	EG10722-MONOMER	[]	[]	
EG10723	ribose 1,5-bisphosphokinase	phnN	mRNA	4314105	558	-	0.0000331054	444.0	EG10723-MONOMER	[]	[]	
EG10724	aminoalkylphosphonate <i>N</i>-acetyltransferase	phnO	mRNA	4313561	435	-	0.0000323400	354.0	EG10724-MONOMER	[]	[]	
EG10725	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	phnP	mRNA	4313125	759	-	0.0000133214	378.0	EG10725-MONOMER	[]	[]	
EG10727	PhoA	phoA	mRNA	400971	1416	+	0.0000181047	306.0	ALKAPHOSPHA-MONOMER	[]	[]	
EG10728	PhoB transcriptional dual regulator	phoB	mRNA	416366	690	+	0.0000284806	294.0	PHOB-MONOMER	[]	[]	
EG10729	PhoE	phoE	mRNA	259324	1056	-	0.0000187319	432.0	MONOMER0-282	[]	[]	
EG10730	CreC	creC	mRNA	4634719	1425	+	0.0000097234	252.0	CREC-MONOMER	[]	[]	
EG10731	PhoP	phoP	mRNA	1189670	672	-	0.0001440048	198.0	PHOP-MONOMER	[]	[]	
EG10732	PhoQ sensory histidine kinase	phoQ	mRNA	1188999	1461	-	0.0000540241	630.0	PHOQ-MONOMER	[]	[]	
EG10733	PhoR	phoR	mRNA	417113	1296	+	0.0000191433	252.0	PHOR-MONOMER	[]	[]	
EG10734	phosphate ABC transporter - periplasmic binding protein	pstS	mRNA	3909548	1041	-	0.0002313536	270.0	PSTS-MONOMER	[]	[]	
EG10735	PhoU phosphate transport system protein	phoU	mRNA	3905601	726	-	0.0000338186	498.00000000000006	EG10735-MONOMER	[]	[]	
EG10736	deoxyribodipyrimidine photolyase (photoreactivation)	phr	mRNA	738730	1419	+	0.0000510061	300.0	EG10736-MONOMER	[]	[]	
EG10737	e14 prophage; site-specific DNA recombinase	pinE	mRNA	1208908	555	+	0.0000312002	534.0	EG10737-MONOMER	[]	[]	
EG10738	PldA	pldA	mRNA	4002885	870	+	0.0000577705	204.0	MONOMER0-341	[]	[]	
EG10739	lysophospholipase L(2)	pldB	mRNA	4007193	1023	+	0.0000498428	192.0	EG10739-MONOMER	[]	[]	
EG10740	glycerol-3-phosphate acyltransferase	plsB	mRNA	4254489	2424	-	0.0000684685	228.0	GLYCEROL-3-P-ACYLTRANSFER-MONOMER	[]	[]	
EG10741	protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD	pmbA	mRNA	4455982	1353	+	0.0000659917	174.0	EG10741-MONOMER	[]	[]	
EG10742	nicotinate phosphoribosyltransferase	pncB	mRNA	989579	1203	-	0.0001260013	180.0	NICOTINATEPRIBOSYLTRANS-MONOMER	[]	[]	
EG10743	polynucleotide phosphorylase monomer	pnp	mRNA	3309190	2136	-	0.0004419790	144.0	EG10743-MONOMER	[]	[]	
EG10744	pyridine nucleotide transhydrogenase	pntA	mRNA	1675927	1533	-	0.0010269781	354.0	PNTA-MONOMER	[]	[]	
EG10745	pyridine nucleotide transhydrogenase	pntB	mRNA	1674384	1389	-	0.0003438918	306.0	PNTB-MONOMER	[]	[]	
EG10746	DNA polymerase I	polA	mRNA	4044989	2787	+	0.0000769172	180.0	EG10746-MONOMER	[]	[]	
EG10747	DNA polymerase II	polB	mRNA	65780	2352	-	0.0000266799	245.99999999999997	EG10747-MONOMER	[]	[]	
EG10748	peptidoglycan synthetase; penicillin-binding protein 1A	mrcA	mRNA	3520893	2553	+	0.0001145935	324.0	EG10748-MONOMER	[]	[]	
EG10749	putrescine / spermidine ABC transporter - ATP binding subunit	potA	mRNA	1184817	1137	-	0.0001688942	264.0	POTA-MONOMER	[]	[]	
EG10750	putrescine / spermidine ABC transporter - membrane subunit	potB	mRNA	1183667	828	-	0.0000730882	294.0	POTB-MONOMER	[]	[]	
EG10751	putrescine / spermidine ABC transporter - membrane subunit	potC	mRNA	1182843	795	-	0.0002434358	390.0	POTC-MONOMER	[]	[]	
EG10752	putrescine / spermidine ABC transporter - periplasmic binding protein	potD	mRNA	1182052	1047	-	0.0003491202	344.81999999999999	POTD-MONOMER	[]	[]	
EG10753	putrescine:H<sup>+</sup> symporter / putrescine:ornithine antiporter PotE	potE	mRNA	717488	1320	-	0.0000018884	330.0	POTE-MONOMER	[]	[]	
EG10754	pyruvate oxidase monomer	poxB	mRNA	910272	1719	-	0.0000571754	234.0	PYRUVOXID-MONOMER	[]	[]	
EG10755	Ppa	ppa	mRNA	4447675	531	-	0.0005215669	180.0	INORGPYROPHOSPHAT-MONOMER	[]	[]	
EG10756	Ppc	ppc	mRNA	4151121	2652	-	0.0002114735	108.0	PEPCARBOX-MONOMER	[]	[]	
EG10757	peptidyl-prolyl <i>cis-trans</i> isomerase A (rotamase A)	ppiA	mRNA	3490319	573	-	0.0001434973	420.0	EG10757-MONOMER	[]	[]	
EG10758	peptidyl-prolyl <i>cis-trans</i> isomerase B (rotamase B)	ppiB	mRNA	553660	495	-	0.0008344052	180.0	EG10758-MONOMER	[]	[]	
EG10759	phosphoenolpyruvate synthetase	ppsA	mRNA	1785136	2379	-	0.0001311825	336.0	PEPSYNTH-MONOMER	[]	[]	
EG10760	tail-specific protease	prc	mRNA	1912840	2049	-	0.0001377142	168.0	EG10760-MONOMER	[]	[]	
EG10761	peptide chain release factor RF1	prfA	mRNA	1264235	1083	+	0.0000448774	210.0	EG10761-MONOMER	[]	[]	
EG10762	peptide chain release factor RF2	prfB	mRNA	3034304	1099	-	0.0004296253	222.0	EG10762-MONOMER	[[3033206, 3034228], [3034230, 3034304]]	[]	
EG10763	primosome factor N'	priA	mRNA	4124833	2199	-	0.0000237951	408.0	EG10763-MONOMER	[]	[]	
EG10764	PriB	priB	mRNA	4423543	315	+	0.0020846911	408.0	EG10764-MONOMER	[]	[]	
EG10765	primosomal replication protein N''	priC	mRNA	490036	528	-	0.0000857082	390.0	EG10765-MONOMER	[]	[]	
EG10766	SecY	secY	mRNA	3442119	1332	-	0.0032865674	666.0	SECY	[]	[]	
EG10767	ProA	proA	mRNA	260727	1254	+	0.0000564891	156.0	GLUTSEMIALDEHYDROG-MONOMER	[]	[]	
EG10768	ProB	proB	mRNA	259612	1104	+	0.0000949393	210.0	GLUTKIN-MONOMER	[]	[]	
EG10769	pyrroline-5-carboxylate reductase monomer	proC	mRNA	404868	810	-	0.0000633530	324.0	PYRROLINECARBREDUCT-MONOMER	[]	[]	
EG10770	prolyl-tRNA synthetase	proS	mRNA	218775	1719	-	0.0002192242	168.0	PROS-MONOMER	[]	[]	
EG10771	glycine betaine / proline ABC transporter - ATP binding subunit	proV	mRNA	2802837	1203	+	0.0000120468	378.0	PROV-MONOMER	[]	[]	
EG10772	glycine betaine / proline ABC transporter - membrane subunit	proW	mRNA	2804032	1065	+	0.0000121783	240.0	PROW-MONOMER	[]	[]	
EG10773	glycine betaine / proline ABC transporter - periplasmic binding protein	proX	mRNA	2805154	993	+	0.0000361723	344.81999999999999	PROX-MONOMER	[]	[]	
EG10774	ribose-phosphate diphosphokinase	prs	mRNA	1261098	948	-	0.0003061093	344.81999999999999	PRPPSYN-MONOMER	[]	[]	
EG10775	phosphatidylserine decarboxylase	psd	mRNA	4388383	969	-	0.0000973689	126.0	PSD-MONOMER	[]	[]	
EG10776	regulatory protein for the phage shock protein operon	pspA	mRNA	1366103	669	+	0.0000732433	534.0	EG10776-MONOMER	[]	[]	
EG10777	stimulates PspC-mediated transcriptional activation of the psp operon; antitoxin of a PspC-PspB toxin-antitoxin pair	pspB	mRNA	1366825	225	+	0.0001339830	936.0	EG10777-MONOMER	[]	[]	
EG10778	PspC transcriptional regulator; toxin of a PspC-PspB toxin-antitoxin pair	pspC	mRNA	1367049	360	+	0.0000459446	258.0	EG10778-MONOMER	[]	[]	
EG10779	peripheral inner membrane phage-shock protein	pspD	mRNA	1367417	222	+	0.0000895069	336.0	EG10779-MONOMER	[]	[]	
EG10780	thiosulfate sulfurtransferase	pspE	mRNA	1367713	315	+	0.0000555281	282.0	EG10780-MONOMER	[]	[]	
EG10781	PssA	pssA	mRNA	2720749	1356	+	0.0002085802	198.0	PHOSPHASERSYN-MONOMER	[]	[]	
EG10782	phosphate ABC transporter - membrane subunit	pstA	mRNA	3907462	891	-	0.0000932921	282.0	PSTA-MONOMER	[]	[]	
EG10783	phosphate ABC transporter - ATP binding subunit	pstB	mRNA	3906389	774	-	0.0002635974	234.0	PSTB-MONOMER	[]	[]	
EG10784	phosphate ABC transporter - membrane subunit	pstC	mRNA	3908421	960	-	0.0000415879	414.0	PSTC-MONOMER	[]	[]	
EG10785	peptidyl-tRNA hydrolase	pth	mRNA	1257736	585	-	0.0000946712	240.0	EG10785-MONOMER	[]	[]	
EG10786	protease III	ptrA	mRNA	2956906	2889	-	0.0000889168	420.0	EG10786-MONOMER	[]	[]	
EG10787	glucose PTS permease - PtsG subunit	ptsG	mRNA	1157092	1434	+	0.0005525226	324.0	PTSG-MONOMER	[]	[]	
EG10788	HPr	ptsH	mRNA	2531786	258	+	0.0010532045	344.81999999999999	PTSH-MONOMER	[]	[]	
EG10789	PTS enzyme I	ptsI	mRNA	2532088	1728	+	0.0009233844	252.0	PTSI-MONOMER	[]	[]	
EG10790	PurA	purA	mRNA	4402710	1299	+	0.0002561991	282.0	ADENYLOSUCCINATE-SYN-MONOMER	[]	[]	
EG10791	PurC	purC	mRNA	2595640	714	-	0.0005116310	186.0	SAICARSYN-MONOMER	[]	[]	
EG10792	phosphoribosylamine-glycine ligase	purD	mRNA	4203954	1290	-	0.0001408199	312.0	GLYCRIBONUCSYN-MONOMER	[]	[]	
EG10793	PurE	purE	mRNA	552323	510	-	0.0002097790	174.0	PURE-MONOMER	[]	[]	
EG10794	PurF	purF	mRNA	2428260	1518	-	0.0001788132	132.0	PRPPAMIDOTRANS-MONOMER	[]	[]	
EG10795	AICAR transformylase / IMP cyclohydrolase	purH	mRNA	4205555	1590	-	0.0001491961	186.0	AICARTRANSIMPCYCLO-CPLX	[]	[]	
EG10796	N5-carboxyaminoimidazole ribonucleotide synthetase monomer	purK	mRNA	551817	1068	-	0.0001754950	126.0	PURK-MONOMER	[]	[]	
EG10797	phosphoribosylformylglycinamide synthetase	purL	mRNA	2693565	3888	-	0.0000736716	126.0	FGAMSYN-MONOMER	[]	[]	
EG10798	PurM	purM	mRNA	2619219	1038	+	0.0002471198	344.81999999999999	AIRS-MONOMER	[]	[]	
EG10799	phosphoribosylglycinamide formyltransferase 1	purN	mRNA	2620256	639	+	0.0002047091	344.81999999999999	GART-MONOMER	[]	[]	
EG10800	PurR	purR	mRNA	1735868	1026	+	0.0001168730	210.0	PD00219	[]	[]	
EG10801	fused PutA transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	putA	mRNA	1078105	3963	-	0.0000373087	486.0	PUTA-MONOMER	[]	[]	
EG10802	proline:Na<sup>+</sup> symporter	putP	mRNA	1078528	1509	+	0.0001024776	245.99999999999997	PUTP-MONOMER	[]	[]	
EG10803	pyruvate kinase II monomer	pykA	mRNA	1935673	1443	+	0.0001007663	408.0	PKII-MONOMER	[]	[]	
EG10804	pyruvate kinase I monomer	pykF	mRNA	1753722	1413	+	0.0003933620	276.0	PKI-MONOMER	[]	[]	
EG10805	aspartate carbamoyltransferase	pyrB	mRNA	4470418	936	-	0.0016415100	396.0	ASPCARBCAT-MONOMER	[]	[]	
EG10806	PyrC	pyrC	mRNA	1121830	1047	-	0.0002163225	414.0	DIHYDROOROT-MONOMER	[]	[]	
EG10807	dihydroorotate dehydrogenase	pyrD	mRNA	1003991	1011	+	0.0001920081	282.0	DIHYDROOROTOX-MONOMER	[]	[]	
EG10808	PyrE	pyrE	mRNA	3813791	642	-	0.0000328053	318.0	OROPRIBTRANS-MONOMER	[]	[]	
EG10809	PyrF	pyrF	mRNA	1339945	738	+	0.0001163099	342.0	OROTPDECARB-MONOMER	[]	[]	
EG10810	PyrG	pyrG	mRNA	2907688	1638	-	0.0003303900	222.0	CTPSYN-MONOMER	[]	[]	
EG10811	aspartate carbamoyltransferase	pyrI	mRNA	4469470	462	-	0.0015759499	468.0	ASPCARBREG-MONOMER	[]	[]	
EG10812	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	mRNA	424235	1071	+	0.0001132261	954.0	EG10812-MONOMER	[]	[]	
EG10813	Rac prophage; predicted protein	racC	mRNA	1415787	276	-	0.0000013623	330.0	EG10813-MONOMER	[]	[]	
EG10814	ribose ABC transporter - putative ATP binding subunit	rbsA	mRNA	3931801	1506	+	0.0000610482	474.0	RBSA-MONOMER	[]	[]	
EG10815	ribose ABC transporter - putative periplasmic binding protein	rbsB	mRNA	3934301	891	+	0.0005521635	462.0	RBSB-MONOMER	[]	[]	
EG10816	ribose ABC transporter - membrane subunit	rbsC	mRNA	3933311	966	+	0.0000468163	344.81999999999999	RBSC-MONOMER	[]	[]	
EG10817	ribose pyranase	rbsD	mRNA	3931374	420	+	0.0004521408	344.81999999999999	EG10817-MONOMER	[]	[]	
EG10818	ribokinase	rbsK	mRNA	3935317	930	+	0.0000500974	408.0	RIBOKIN-MONOMER	[]	[]	
EG10819	RbsR DNA-binding transcriptional repressor	rbsR	mRNA	3936250	993	+	0.0000410585	270.0	PD03867	[]	[]	
EG10820	positive DNA-binding transcriptional regulator of capsular polysaccharide synthesis	rcsA	mRNA	2021992	624	+	0.0000367136	402.0	PD02233	[]	[]	
EG10821	RcsB	rcsB	mRNA	2314199	651	+	0.0002993230	186.0	RCSB-MONOMER	[]	[]	
EG10822	RcsC sensory histidine kinase	rcsC	mRNA	2317850	2802	-	0.0000489829	294.0	RCSC-MONOMER	[]	[]	
EG10823	DNA strand exchange and recombination protein with protease and nuclease activity	recA	mRNA	2821791	1062	-	0.0003055040	252.0	EG10823-MONOMER	[]	[]	
EG10824	RecB	recB	mRNA	2954025	3543	-	0.0000432807	222.0	EG10824-MONOMER	[]	[]	
EG10825	RecC	recC	mRNA	2960450	3369	-	0.0000410652	344.81999999999999	EG10825-MONOMER	[]	[]	
EG10826	RecD	recD	mRNA	2950483	1827	-	0.0000368720	312.0	EG10826-MONOMER	[]	[]	
EG10827	exonuclease VIII	recE	mRNA	1415410	2601	-	0.0000095008	438.0	EG10827-MONOMER	[]	[]	
EG10828	ssDNA and dsDNA binding	recF	mRNA	3879244	1074	-	0.0000559344	252.0	EG10828-MONOMER	[]	[]	
EG10829	RecG DNA helicase	recG	mRNA	3823233	2082	+	0.0000283272	168.0	EG10829-MONOMER	[]	[]	
EG10830	RecJ	recJ	mRNA	3036128	1734	-	0.0000314312	228.0	EG10830-MONOMER	[]	[]	
EG10831	protein used in recombination and DNA repair	recN	mRNA	2749817	1662	+	0.0000462532	282.0	EG10831-MONOMER	[]	[]	
EG10832	protein interacts with RecR and possibly RecF proteins	recO	mRNA	2700491	729	-	0.0000420887	306.0	EG10832-MONOMER	[]	[]	
EG10833	ATP-dependent DNA helicase	recQ	mRNA	4003887	1830	+	0.0000492493	366.0	EG10833-MONOMER	[]	[]	
EG10834	recombination and repair	recR	mRNA	493629	606	+	0.0002485175	245.99999999999997	EG10834-MONOMER	[]	[]	
EG10835	GDP pyrophosphokinase / GTP pyrophosphokinase	relA	mRNA	2911673	2235	-	0.0000407769	630.0	RELA-MONOMER	[]	[]	
EG10836	RelB Qin prophage; antitoxin of the RelE-RelB toxin-antitoxin system and DNA binding transcriptional repressor	relB	mRNA	1643896	240	-	0.0000816972	300.0	EG10836-MONOMER	[]	[]	
EG10837	rep	rep	mRNA	3958700	2022	+	0.0000302577	348.0	EG10837-MONOMER	[]	[]	
EG10838	ADP-L-glycero-D-mannoheptose-6-epimerase	rfaD	mRNA	3792010	933	+	0.0001845491	264.0	EG10838-MONOMER	[]	[]	
EG10839	RfaH transcriptional antiterminator	rfaH	mRNA	4022844	489	-	0.0000252586	216.0	EG10839-MONOMER	[]	[]	
