Frame ID	Name	Stoichiometry	Modified form	Comments
1-PFK	1-phosphofructokinase	((1-PFK-MONOMER, 2))	
CPLX0-1666	FadJ component of anaerobic fatty acid oxidation complex	((G7212-MONOMER, 2))	
CPLX0-1667	Fad I component of anaerobic fatty acid oxidation complex	((G7213-MONOMER, 2))	
CPLX0-1668	anaerobic fatty acid oxidation complex	((CPLX0-1666, 1) (CPLX0-1667, 1))	
CPLX0-1669	short chain acyl-CoA synthetase	((EG12357-MONOMER, 2))	
CPLX0-1683	cryptic adenine deaminase	((EG11692-MONOMER, 2))	
CPLX0-1721	copper / silver efflux transport system	((G6320-MONOMER, 3) (G6322-MONOMER, 6) (G6321-MONOMER, 1) (YBDE-MONOMER, 3))	
CPLX0-1762	ring 1,2-phenylacetyl-CoA epoxidase	((G6713-MONOMER, 1) (G6709-MONOMER, 1) (G6711-MONOMER, 1) (G6710-MONOMER, 1))	
CPLX0-1821	oligoribonuclease	((G7842-MONOMER, 2))	
CPLX0-1841	predicted xanthine dehydrogenase	((G7500-MONOMER, 1) (G7499-MONOMER, 1))	
CPLX0-1862	vitamin B12 transport system	((CPLX0-1924, 1) (ABC-5-CPLX, 1))	
CPLX0-1863	conserved metal-binding protein	((G6379-MONOMER, 6))	
CPLX0-1881	predicted enamine/imine deaminase	((G7877-MONOMER, 3))	
CPLX0-1923	TonB energy transducing system	((EG11012-MONOMER, 1) (EG10271-MONOMER, 1) (EG10272-MONOMER, 1))	
CPLX0-1924	vitamin B12 outer membrane transport complex	((EG10126-MONOMER, 1) (CPLX0-1923, 1))	
CPLX0-1941	ferric enterobactin outer membrane transport complex	((CPLX0-1923, 1) (EG10293-MONOMER, 1))	
CPLX0-1942	ferrichrome outer membrane transport complex	((CPLX0-1923, 1) (EG10302-MONOMER, 1))	
CPLX0-1943	ferric citrate outer membrane transport complex	((EG10286-MONOMER, 1) (CPLX0-1923, 1))	
CPLX0-1944	ferric enterobactin transport system	((ABC-10-CPLX, 1) (CPLX0-1941, 1))	
CPLX0-1962	3-hydroxy acid dehydrogenase	((EG12345-MONOMER, 4))	
CPLX0-1981	ferrichrome transport system	((ABC-11-CPLX, 1) (CPLX0-1942, 1))	
CPLX0-2	oxidized flavorubredoxin	((TORR-MONOMER, 2))	
CPLX0-2001	ferric dicitrate transport system	((ABC-9-CPLX, 1) (CPLX0-1943, 1))	
CPLX0-201	fructose 6-phosphate aldolase 1	((G6428-MONOMER, 10))	
CPLX0-2021	HU DNA-binding transcriptional dual regulator	((EG10466-MONOMER, 1) (EG10467-MONOMER, 1))	
CPLX0-2061	2,3-diketo-L-gulonate reductase	((EG12279-MONOMER, 2))	
CPLX0-2081	dihydroxyacetone kinase	((EG12399-MONOMER, 2) (G6627-MONOMER, 2) (MONOMER0-1261, 1))	
CPLX0-2121	EmrAB-TolC multidrug efflux transport system	((EG11354-MONOMER, 1) (EMRB-MONOMER, 1) (CPLX0-7964, 1))	
CPLX0-2141	AcrEF-TolC multidrug efflux transport system	((EG10266-MONOMER, 1) (ACRF-MONOMER, 1) (CPLX0-7964, 1))	
CPLX0-2161	EmrKY-TolC multidrug efflux transport system	((G7233-MONOMER, 1) (EMRY-MONOMER, 1) (CPLX0-7964, 1))	
CPLX0-2201	The Tol-Pal Cell Envelope Complex	((EG11007-MONOMER, 1) (EG11010-MONOMER, 1) (EG11011-MONOMER, 1) (EG11008-MONOMER, 1) (EG12854-MONOMER, 1) (EG10684-MONOMER, 1))	
CPLX0-2202	Colicin S4 Transport System	((CPLX0-2201, 1) (EG11124-MONOMER, 1))	
CPLX0-221	RNA polymerase sigma 19	((APORNAP-CPLX, 1) (PD00440, 1))	
CPLX0-222	RNA polymerase sigma 28	((EG11355-MONOMER, 1) (APORNAP-CPLX, 1))	
CPLX0-2221	The Colicin A Import System	((EG10126-MONOMER, 1) (CPLX0-7534, 1) (CPLX0-2201, 1))	
CPLX0-224	NAD(P)H-dependent FMN reductase	((MONOMER0-146, 2))	
CPLX0-225	alkanesulfonate monooxygenase, FMNH<sub>2</sub>-dependent	((MONOMER-162, 4))	
CPLX0-226	CRP-cAMP DNA-binding transcriptional dual regulator	((PC00004, 1) (CAMP, 1))	
CPLX0-227	taurine dioxygenase	((MONOMER0-147, 2))	
CPLX0-228	ArgR-L-arginine DNA-binding transcriptional dual regulator	((PC00005, 1) (ARG, 1))	
CPLX0-229	ribonucleoside triphosphate reductase activase	((RNTRACTIV-MONOMER, 2))	
CPLX0-230	isocitrate dehydrogenase phosphatase / isocitrate dehydrogenase kinase	((ICITDEHASE-KIN-PHOSPHA, 2))	
CPLX0-231	galactitol PTS permease	((GATC-MONOMER, 2) (GATB-MONOMER, 1) (GATA-MONOMER, 1))	
CPLX0-232	PTS permease - unknown specificity	((GLVC-MONOMER, 2) (GLVB-MONOMER, 1))	
CPLX0-234	4-diphosphocytidyl-2C-methyl-D-erythritol synthase	((G7423-MONOMER, 2))	
CPLX0-235	glyoxylate reductase [multifunctional]	((MONOMER-43, 2))	
CPLX0-236	arylamine <i>N</i>-acetyltransferase	((G6770-MONOMER, 2))	
CPLX0-2361	DNA polymerase III, core enzyme	((EG10238-MONOMER, 1) (EG10243-MONOMER, 1) (EG11505-MONOMER, 1))	
CPLX0-237	serine acetyltransferase	((SERINE-O-ACETTRAN-MONOMER, 6))	
CPLX0-238	argininosuccinate synthase	((ARGSUCCINSYN-MONOMER, 4))	
CPLX0-2381	degradosome	((PPK-CPLX, 1) (CPLX0-3461, 1) (CPLX0-3541, 1) (CPLX0-3521, 1) (ENOLASE-CPLX, 1))	
CPLX0-240	tagatose-1,6-bisphosphate aldolase 1	((TAGAALDOL1-MONOMER, 1) (G7631-MONOMER, 1))	
CPLX0-2401	tryptophan synthase, &beta; subunit dimer	((TRYPSYN-BPROTEIN, 2))	
CPLX0-241	tagatose-1,6-bisphosphate aldolase 2	((TAGAALDOL2-MONOMER, 1) (G7128-MONOMER, 1))	
CPLX0-242	thiosulfate sulfurtransferase	((EG10395-MONOMER, 2))	
CPLX0-2423	dimer of topoisomerase IV subunit A	((EG10686-MONOMER, 2))	
CPLX0-2424	topoisomerase IV	((EG10687-MONOMER, 2) (CPLX0-2423, 1))	
CPLX0-2425	DNA gyrase	((EG10423-MONOMER, 2) (EG10424-MONOMER, 2))	
CPLX0-243	inorganic pyrophosphatase	((INORGPYROPHOSPHAT-MONOMER, 6))	
CPLX0-244	NADPH nitroreductase NfsA	((EG11261-MONOMER, 2))	
CPLX0-2441	transcription termination factor Rho	((EG10845-MONOMER, 6))	
CPLX0-245	alkylhydroperoxide reductase	((EG11384-MONOMER, 1) (EG11385-MONOMER, 1))	
CPLX0-246	L-cysteine desulfurase	((G6906-MONOMER, 2))	
CPLX0-248	cysteine desulfurase	((G7325-MONOMER, 2))	
CPLX0-250	hydrogenase 4	((MONOMER0-150, 1) (MONOMER0-151, 1) (MONOMER0-152, 1) (MONOMER0-153, 1) (MONOMER0-154, 1) (MONOMER0-141, 1) (MONOMER0-142, 1) (MONOMER0-143, 1) (MONOMER0-144, 1))	
CPLX0-2502	molybdopterin synthase	((EG11597-MONOMER, 2) (EG11598-MONOMER, 2))	
CPLX0-251	2-methylcitrate synthase	((G6198-MONOMER, 2))	
CPLX0-252	KASIII	((FABH-MONOMER, 2))	
CPLX0-2521	MoaB protein	((MONOMER0-1501, 6))	
CPLX0-253	NADPH quinone reductase	((EG12656-MONOMER, 2))	
CPLX0-254	methylmalonyl-CoA decarboxylase	((G7516-MONOMER, 6))	
CPLX0-2541	ModE transcriptional dual regulator	((MONOMER0-185, 2))	
CPLX0-255	phenylhydantoinase	((G7492-MONOMER, 4))	
CPLX0-2561	bacterial condensin MukBEF	((CPLX0-7696, 1) (CPLX0-7697, 1))	
CPLX0-2621	Gef dimer	((MONOMER0-1564, 2))	
CPLX0-263	isoaspartyl dipeptidase / asparaginase III	((MONOMER0-2, 2) (MONOMER0-3, 2))	
CPLX0-2641	molecular chaperone, HSP90 family	((EG10461-MONOMER, 2))	
CPLX0-2661	McrBC restriction endonuclease	((EG10574-MONOMER, 1) (EG10575-MONOMER, 1))	
CPLX0-2681	ClpXP protease specificity-enhancing factor	((EG10978-MONOMER, 2))	
CPLX0-2781	CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator	((PC00040, 1) (ACETYLSERINE, 1))	
CPLX0-2802	chaperone with DnaK; curved DNA-binding protein	((EG12193-MONOMER, 2))	
CPLX0-2821	TorR-TorI	((TORR-MONOMER, 2))	
CPLX0-2861	BglG transcriptional antiterminator	((EG10116-MONOMER, 2))	(CPLX0-7657)
CPLX0-2881	DNA-binding, ATP-dependent protease La	((EG10542-MONOMER, 4))	
CPLX0-2901	aspartate 1-decarboxylase	((MONOMER0-1842, 4) (MONOMER0-1843, 4))	
CPLX0-2921	serine protease Do	((EG10463-MONOMER, 6))	
CPLX0-2941	protease IV, a signal peptide peptidase	((EG10968-MONOMER, 4))	
CPLX0-2982	HflB, integral membrane ATP-dependent zinc metallopeptidase	((CPLX0-1321, 6) (EG11506-MONOMER, 6))	
CPLX0-3	primosomal replication protein N	((EG10764-MONOMER, 2))	
CPLX0-3001	peptidase D	((EG10695-MONOMER, 2))	
CPLX0-301	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	((EG11396-MONOMER, 6))	
CPLX0-3021	isoaspartyl dipeptidase	((G7925-MONOMER, 8))	
CPLX0-303	fructose 1,6-bisphosphatase II	((EG11517-MONOMER, 2))	
CPLX0-3041	peptidase T	((EG11549-MONOMER, 2))	
CPLX0-3061	aminopeptidase A/I and DNA-binding transcriptional repressor	((EG10694-MONOMER, 6))	
CPLX0-3081	proline aminopeptidase P II	((EG10697-MONOMER, 4))	
CPLX0-3101	ClpP serine protease	((EG10158-MONOMER, 14))	
CPLX0-3102	ClpX ATP-dependent protease specificity component and chaperone	((EG10159-MONOMER, 6))	
CPLX0-3104	ClpAP	((CPLX0-3101, 1) (CPLX0-881, 2))	
CPLX0-3107	ClpXP	((CPLX0-3101, 1) (CPLX0-3102, 2))	
CPLX0-3108	ClpAXP	((CPLX0-3101, 1) (CPLX0-881, 1) (CPLX0-3102, 1))	
CPLX0-3121	chromate reductase	((EG11723-MONOMER, 2))	
CPLX0-3141	quinol monooxygenase	((EG12657-MONOMER, 2))	
CPLX0-3161	<i>N</i>-succinyl-L-diaminopimelate desuccinylase	((MONOMER0-1981, 4))	
CPLX0-3181	tetrahydrodipicolinate succinylase	((MONOMER0-2001, 2))	
CPLX0-3201	murein DD-endopeptidase, penicillin-insensitive	((EG10580-MONOMER, 2))	
CPLX0-321	pyridoxine 5'-phosphate synthase	((PDXJ-MONOMER, 8))	
CPLX0-322	inosine-guanosine kinase	((GSK-MONOMER, 2))	
CPLX0-3221	DnaA initiator-associating factor for replication initiation	((YRAO-MONOMER, 2))	
CPLX0-3241	NapGH, alternative quinol dehydrogenase	((NAPG-MONOMER, 1) (NAPH-MONOMER, 1))	
CPLX0-3281	RNase III	((EG10857-MONOMER, 2))	
CPLX0-3301	DNA replication inhibitor	((EG11111-MONOMER, 2))	
CPLX0-3323	CcmEFGH holocytochrome <I>c</I> synthetase	((CCME-MONOMER, 1) (EG12054-MONOMER, 1) (EG12053-MONOMER, 1) (EG12052-MONOMER, 1))	
CPLX0-3361	soluble NADH dehydrogenase fragment	((NUOE-MONOMER, 1) (NUOF-MONOMER, 1) (NUOG-MONOMER, 1))	
CPLX0-3362	connecting fragment of NADH dehydrogenase I	((NUOB-MONOMER, 1) (NUOC-MONOMER, 1) (NUOI-MONOMER, 1))	
CPLX0-3382	GspC-O secreton  complex	((G7702-MONOMER, 1) (G7703-MONOMER, 1) (G7704-MONOMER, 1) (G7705-MONOMER, 1) (G7706-MONOMER, 1) (G7707-MONOMER, 1) (G7708-MONOMER, 1) (G7709-MONOMER, 1) (G7710-MONOMER, 1) (G7711-MONOMER, 1) (EG12173-MONOMER, 1) (EG11359-MONOMER, 1))	
CPLX0-3401	fimbrial complex	((EG10315-MONOMER, 1) (EG10314-MONOMER, 1) (EG10313-MONOMER, 1) (EG10308-MONOMER, 1))	
CPLX0-341	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	((EG10004-MONOMER, 12))	
CPLX0-3461	ribonuclease E	((EG10859-MONOMER, 4))	
CPLX0-3482	acetaldehyde dehydrogenase	((ALDDEHYDROGB-MONOMER, 4))	
CPLX0-3501	7-cyano-7-deazaguanine reductase	((G7452-MONOMER, 2))	
CPLX0-3521	polynucleotide phosphorylase	((EG10743-MONOMER, 3))	
CPLX0-3541	RhlB, ATP-dependent RNA helicase of the RNA degradosome	((EG10844-MONOMER, 2))	
CPLX0-3561	GTP hydrolase involved in nickel liganding into hydrogenases	((EG10484-MONOMER, 2))	
CPLX0-3581	D-Tyr-tRNA<sup>Tyr</sup> deacylase	((EG11852-MONOMER, 2))	
CPLX0-3601	RNase BN	((G7175-MONOMER, 2))	
CPLX0-3602	RNase T	((EG11547-MONOMER, 2))	
CPLX0-3621	replicative DNA helicase	((EG10236-MONOMER, 6))	
CPLX0-3641	&gamma;-aminobutyraldehyde dehydrogenase	((G6755-MONOMER, 4))	
CPLX0-3661	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	((G7590-MONOMER, 2))	
CPLX0-3681	ADP-L-glycero-D-mannoheptose-6-epimerase	((EG10838-MONOMER, 5))	
CPLX0-3721	ADP-sugar pyrophosphatase	((EG12633-MONOMER, 2))	
CPLX0-3741	glutamyl-tRNA reductase	((GLUTRNAREDUCT-MONOMER, 2))	
CPLX0-3761	DNA polymerase III, &beta; subunit	((EG10242-MONOMER, 2))	
CPLX0-3781	YefM-YoeB antitoxin/toxin complex and DNA-binding transcriptional repressor	((MONOMER0-1041, 1) (EG12844-MONOMER, 2))	
CPLX0-3801	DNA polymerase III, preinitiation complex	((EG10245-MONOMER, 3) (EG11500-MONOMER, 1) (EG11412-MONOMER, 1))	
CPLX0-3802	DNA polymerase III, &tau; subunit dimer	((EG10245-MONOMER, 2))	
CPLX0-3803	DNA polymerase III, holoenzyme	((CPLX0-2361, 3) (CPLX0-3801, 1) (CPLX0-3761, 2) (CPLX0-3802, 1) (CPLX0-7910, 4))	
CPLX0-3821	HypA-HypB heterodimer	((EG10483-MONOMER, 1) (EG10484-MONOMER, 1))	
CPLX0-3841	4-diphosphocytidyl-2-C-methylerythritol kinase	((EG11294-MONOMER, 2))	
CPLX0-3861	fructoselysine 3-epimerase	((G7724-MONOMER, 8))	
CPLX0-3881	GDP-fucose synthase	((FCL-MONOMER, 2))	
CPLX0-3901	&alpha;-D-xyloside xylohydrolase	((EG11685-MONOMER, 6))	
CPLX0-3921	heat shock protein, hemimethylated DNA-binding protein	((G6500-MONOMER, 2))	
CPLX0-3922	primosome	((CPLX0-3621, 1) (CPLX0-0, 1) (CPLX0-3, 1) (EG10763-MONOMER, 1) (EG10765-MONOMER, 1) (EG10239-MONOMER, 1))	
CPLX0-3923	predicted monooxygenase	((G6895-MONOMER, 2))	
CPLX0-3924	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase (rotamase)	((G7865-MONOMER, 2))	
CPLX0-3925	DNA polymerase V	((EG11056-MONOMER, 1) (EG11057-MONOMER, 2))	
CPLX0-3927	regulatory ATPase	((EG11731-MONOMER, 6))	
CPLX0-3929	D-arabinose 5-phosphate isomerase	((EG10973-MONOMER, 4))	
CPLX0-3930	FlhDC DNA-binding transcriptional dual regulator	((EG10320-MONOMER, 4) (MONOMER0-2488, 2))	
CPLX0-3931	Rep helicase, a single-stranded DNA dependent ATPase	((EG10837-MONOMER, 2))	
CPLX0-3932	AcrAD-TolC multidrug efflux transport system	((ACRD-MONOMER, 1) (EG11703-MONOMER, 1) (CPLX0-7964, 1))	
CPLX0-3933	Outer Membrane Protein Assembly Complex	((EG10952-MONOMER, 1) (EG10658-MONOMER, 1) (G7352-MONOMER, 1) (G6093-MONOMER, 1) (G7320-MONOMER, 1))	
CPLX0-3934	GroEL-GroES chaperonin complex	((EG10599-MONOMER, 14) (EG10600-MONOMER, 7))	
CPLX0-3936	dihydroneopterin aldolase	((H2NEOPTERINALDOL-MONOMER, 8))	
CPLX0-3937	evolved &beta;-D-galactosidase	((EG10252-MONOMER, 4) (EG10253-MONOMER, 4))	
CPLX0-3938	copper binding protein CutA	((EG12177-MONOMER, 3))	
CPLX0-3939	universal stress protein UP12	((G6334-MONOMER, 2))	
CPLX0-3941	hydroxyphenylacetyl-CoA thioesterase	((G6717-MONOMER, 4))	
CPLX0-3943	&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase	((G6645-MONOMER, 2))	
CPLX0-3948	XTPase / ITPase	((EG12600-MONOMER, 2))	
CPLX0-3949	thiazole synthase	((THIG-MONOMER, 1) (THIH-MONOMER, 1))	
CPLX0-3950	tRNA m<sup>1</sup>G37 methyltransferase	((EG11023-MONOMER, 2))	
CPLX0-3951	penicillin-binding protein 1B	((EG10605-MONOMER, 2))	
CPLX0-3952	riboflavin synthase	((RIBOFLAVIN-SYN-MONOMER, 3))	
CPLX0-3953	30S ribosomal subunit	((RRSA-RRNA, 1) (EG10900-MONOMER, 1) (EG10901-MONOMER, 1) (EG10902-MONOMER, 1) (EG10903-MONOMER, 1) (EG10904-MONOMER, 1) (EG10905-MONOMER, 1) (EG10906-MONOMER, 1) (EG10907-MONOMER, 1) (EG10908-MONOMER, 1) (EG10909-MONOMER, 1) (EG10910-MONOMER, 1) (EG10911-MONOMER, 1) (EG10912-MONOMER, 1) (EG10913-MONOMER, 1) (EG10914-MONOMER, 1) (EG10915-MONOMER, 1) (EG10916-MONOMER, 1) (EG10917-MONOMER, 1) (EG10918-MONOMER, 1) (EG10919-MONOMER, 1) (EG10920-MONOMER, 1) (EG11508-MONOMER, 1))	
CPLX0-3954	<i>S</i>-lactoylglutathione hydrolase / <i>S</i>-formylglutathione hydrolase	((EG12026-MONOMER, 4))	
CPLX0-3955	50S ribosomal subunit protein L7/L12 dimer	((EG10873-MONOMER, 2))	
CPLX0-3956	50S ribosomal protein complex L8	((EG10871-MONOMER, 1) (CPLX0-3955, 2))	
CPLX0-3957	SbcCD ATP-dependent dsDNA exonuclease	((EG10927-MONOMER, 1) (EG11094-MONOMER, 1))	
CPLX0-3958	<I>Eco</I>KI restriction-modification system	((EG10458-MONOMER, 2) (EG10459-MONOMER, 2) (EG10460-MONOMER, 1))	
CPLX0-3959	Xer site-specific recombination system	((EG11069-MONOMER, 1) (EG11071-MONOMER, 1))	
CPLX0-3961	transthyretin-related protein	((G7058-MONOMER, 4))	
CPLX0-3962	50S ribosomal subunit	((RRLA-RRNA, 1) (RRFA-RRNA, 1) (EG10864-MONOMER, 1) (EG10865-MONOMER, 1) (EG10866-MONOMER, 1) (EG10867-MONOMER, 1) (EG10868-MONOMER, 1) (EG10869-MONOMER, 1) (CPLX0-3956, 1) (EG10870-MONOMER, 1) (EG10872-MONOMER, 1) (EG10874-MONOMER, 1) (EG10875-MONOMER, 1) (EG10876-MONOMER, 1) (EG10877-MONOMER, 1) (EG10878-MONOMER, 1) (EG10879-MONOMER, 1) (EG10880-MONOMER, 1) (EG10881-MONOMER, 1) (EG50001-MONOMER, 1) (EG10882-MONOMER, 1) (EG10883-MONOMER, 1) (EG10884-MONOMER, 1) (EG10885-MONOMER, 1) (EG50002-MONOMER, 1) (EG10886-MONOMER, 1) (EG10887-MONOMER, 1) (EG10888-MONOMER, 1) (EG10889-MONOMER, 1) (EG10890-MONOMER, 1) (EG10891-MONOMER, 1) (EG10892-MONOMER, 1) (EG11231-MONOMER, 1) (EG11232-MONOMER, 1))	
CPLX0-3964	ribosome	((CPLX0-3953, 1) (CPLX0-3962, 1))	
CPLX0-3969	ferritin iron-storage complex	((EG10921-MONOMER, 24))	
CPLX0-3970	murein tripeptide ABC transporter OppBCDFMppA	((OPPB-MONOMER, 1) (OPPC-MONOMER, 1) (OPPD-MONOMER, 1) (OPPF-MONOMER, 1) (G6665-MONOMER, 1))	
CPLX0-3971	GDP-mannose hydrolase	((EG12410-MONOMER, 2))	
CPLX0-3976	Enterobacterial Common Antigen Biosynthesis Protein Complex	((EG11486-MONOMER, 1) (FUC4NACTRANS-MONOMER, 1) (EG11295-MONOMER, 1))	
CPLX0-4	hydroxylated aromatic carboxylic acid efflux transporter	((G7686-MONOMER, 1) (G7685-MONOMER, 1))	
CPLX0-5	EntS-TolC Enterobactin Efflux Transport System	((YBDA-MONOMER, 1) (CPLX0-7964, 1))	
CPLX0-6	ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator	((CPLX0-2541, 1) (CPD-3, 1))	
CPLX0-661	predicted hydrolase	((EG11241-MONOMER, 8))	
CPLX0-682	NAD kinase	((MONOMER0-541, 6))	
CPLX0-7	N-acetylmuramic acid PTS permease	((MONOMER0-5, 1) (CRR-MONOMER, 1))	
CPLX0-721	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	((EG11816-MONOMER, 3))	
CPLX0-7415	lipid A disaccharide synthase	((LIPIDADISACCHARIDESYNTH-MONOMER, 2))	
CPLX0-7417	IS2 insertion element repressor InsA	((G6212-MONOMER, 2))	
CPLX0-7418	MprA DNA-binding transcriptional repressor	((EG10603-MONOMER, 2))	
CPLX0-7420	tRNA Um32 methyltransferase / tRNA Cm32 methyltransferase	((G7327-MONOMER, 2))	
CPLX0-7421	tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase	((EG11888-MONOMER, 2))	
CPLX0-7422	predicted rRNA methyltransferase	((EG12309-MONOMER, 2))	
CPLX0-7423	23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase	((EG11254-MONOMER, 2))	
CPLX0-7425	HipAB toxin/antitoxin complex and DNA-binding transcriptional repressor	((CPLX0-7757, 1) (EG10443-MONOMER, 2))	
CPLX0-7426	octaprenyl diphosphate synthase	((OPPSYN-MONOMER, 2))	
CPLX0-7428	sulfate adenylyltransferase	((SULFATE-ADENYLYLTRANS-CPLX, 4))	
CPLX0-743	1-deoxyxylulose-5-phosphate synthase	((DXS-MONOMER, 2))	
CPLX0-7444	putative structural protein	((EG11126-MONOMER, 2))	
CPLX0-7450	Flagellar Motor Switch Complex	((FLIG-FLAGELLAR-SWITCH-PROTEIN, 26) (FLIM-FLAGELLAR-C-RING-SWITCH, 34) (FLIN-FLAGELLAR-C-RING-SWITCH, 1))	
CPLX0-7451	Flagellar Export Apparatus	((G370-MONOMER, 1) (G7028-MONOMER, 1) (EG11224-MONOMER, 1) (EG11975-MONOMER, 1) (EG11976-MONOMER, 1) (EG11977-MONOMER, 1) (EG11656-MONOMER, 12) (G377-MONOMER, 6) (G378-MONOMER, 1))	
CPLX0-7452	Flagellum	((FLAGELLAR-MOTOR-COMPLEX, 1) (CPLX0-7451, 1) (G361-MONOMER, 120) (EG11967-MONOMER, 1) (EG11545-MONOMER, 1) (EG10321-MONOMER, 1) (EG10841-MONOMER, 5))	
CPLX0-7458	glycolate oxidase	((G7545-MONOMER, 1) (G7544-MONOMER, 1) (MONOMER0-561, 1))	
CPLX0-7462	shikimate dehydrogenase / quinate dehydrogenase	((EG11234-MONOMER, 2))	
CPLX0-7465	alanine racemase 2, PLP-binding	((ALARACECAT-MONOMER, 2))	
CPLX0-7466	xylulokinase	((XYLULOKIN-MONOMER, 2))	
CPLX0-7520	cyanase	((CYANLY-CPLX, 5))	
CPLX0-7521	carbonic anhydrase 2	((EG12319-MONOMER, 4))	
CPLX0-7525	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	((MEND-MONOMER, 2))	
CPLX0-7529	capsular polysaccharide export apparatus	((G7107-MONOMER, 8) (G7105-MONOMER, 4))	
CPLX0-7530	outer membrane porin E	((MONOMER0-282, 3))	
CPLX0-7532	ammonia / ammonium transporter	((AMTB-MONOMER, 3))	
CPLX0-7533	outer membrane porin C	((EG10670-MONOMER, 3))	
CPLX0-7534	outer membrane porin F	((EG10671-MONOMER, 3))	
CPLX0-7535	AdiC arginine:agmatine antiporter	((YJDE-MONOMER, 2))	
CPLX0-7536	FKBP-type peptidyl prolyl cis-trans isomerase	((EG11663-MONOMER, 2))	
CPLX0-7538	cell division factor ZapA, localizes to the cytokinetic ring	((EG12878-MONOMER, 4))	
CPLX0-7541	AlaS-L-alanine	((ALAS-MONOMER, 1) (L-ALPHA-ALANINE, 1))	
CPLX0-7561	ChpB-ChpS complex	((EG12096-MONOMER, 1) (EG11250-MONOMER, 1))	
CPLX0-7564	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	((EG11081-MONOMER, 2))	
CPLX0-7597	protein involved in a tRNA modification pathway	((EG10375-MONOMER, 2))	
CPLX0-7605	IclR-pyruvate DNA-binding transcriptional repressor	((PD04099, 1) (PYRUVATE, 1))	
CPLX0-7606	IclR-glyox	((CPLX0-7605, 1) (GLYOX, 1))	
CPLX0-7608	GTP-binding protein with a role in modification of tRNA	((EG10997-MONOMER, 2))	
CPLX0-7609	complex involved in modification of tRNA	((CPLX0-7608, 1) (CPLX0-7597, 1))	
CPLX0-761	xanthine dehydrogenase	((G7485-MONOMER, 1) (G7486-MONOMER, 1) (G7487-MONOMER, 1))	
CPLX0-7610	<I>N</I>-acetyl-D-galactosamine PTS transporter	((G7632-MONOMER, 1) (G7633-MONOMER, 1))	
CPLX0-7613	predicted carboxysome structural protein	((G7286-MONOMER, 6))	
CPLX0-7614	ATP phosphoribosyltransferase	((ATPPHOSRIBOSTRANS-MONOMER, 2))	
CPLX0-7615	&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase	((KDGALDOL-MONOMER, 6))	
CPLX0-7616	tartronate semialdehyde reductase 2	((G6278-MONOMER, 4))	
CPLX0-7617	essential respiratory protein A	((EG12332-MONOMER, 2))	
CPLX0-7618	RcnR-nickel	((G7137-MONOMER, 1) (NI+2, 1))	
CPLX0-7619	RcnR-Co<SUP>2+</SUP>	((G7137-MONOMER, 1) (CO+2, 1))	
CPLX0-7620	Fur-Fe+2	((PD00260, 1) (FE+2, 1))	
CPLX0-7622	L-serine deaminase III	((LSERINEDEAM3-MONOMER, 2))	
CPLX0-7623	regulator of acid resistance, influenced by indole	((G6606-MONOMER, 2))	
CPLX0-7624	PrlF-YhaV antitoxin-toxin complex	((EG10955-MONOMER, 2) (G7629-MONOMER, 4))	
CPLX0-7625	dCMP phosphohydrolase	((G7185-MONOMER, 2))	
CPLX0-7626	mechanosensitive channel MscS	((EG11160-MONOMER, 7))	
CPLX0-7627	mechanosensitive channel MscL	((EG11180-MONOMER, 5))	
CPLX0-7628	outer membrane lipopolysaccharide transport and assembly complex	((EG11569-MONOMER, 1) (EG10855-MONOMER, 1))	
CPLX0-7629	sodium:H<sup>+</sup> antiporter NhaA	((NHAA-MONOMER, 2))	
CPLX0-7630	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	((THIOESTERI-MONOMER, 4))	
CPLX0-7631	L-fucose isomerase	((FUCISOM-MONOMER, 6))	
CPLX0-7632	NAD(P)H:quinone oxidoreductase	((PD01343, 4))	
CPLX0-7633	L-fuculose-phosphate aldolase	((FUCPALDOL-MONOMER, 4))	
CPLX0-7639	Fur-Fe<sup>2+</sup> DNA-binding transcriptional dual regulator	((CPLX0-7620, 2))	
CPLX0-7641	Zn<sup>2+</sup> / Fe<sup>2+</sup> / Cd<sup>2+</sup> efflux transporter FieF	((YIIP-MONOMER, 2))	
CPLX0-7642	osmolyte:H<sup>+</sup> symporter ProP	((PROP-MONOMER, 2))	
CPLX0-7643	acetohydroxy acid isomeroreductase	((KETOLREDUCTOISOM-MONOMER, 4))	
